id,name,day,objectiveType,objectiveId,objectiveNum,rewardDiamondAmount,rewardPoint
1,일 접속,1,connectGame,0,1,20,10
2,스테이지 클리어,1,stageClear,10003,2,20,20
3,무기 합성,1,mergeWeapon,0,100,20,10
4,계정 레벨 달성,1,reachAccountLevel,0,3,20,20
5,방어구 승급,1,armorGradeUp,0,1,20,30
6,퀘스트 클리어,1,clearQuest,8,1,20,20
7,특성 획득,1,getCharacteristic,WeaponType_1,1,20,10
8,일 접속,2,connectGame,0,2,20,10
9,보스 처치,2,killBoss,Boss_Giant Spider,1,20,20
10,무기 등급업,2,weaponGradeUp,rare,10,20,20
11,소울 레벨업,2,soulLevelUp,0,3,20,30
12,등급 무기 장착,2,equipWeapon,rare,1,20,30
13,챕터 클리어,2,clearChapter,1,1,20,30
14,탐색대 활동 시작하기,2,goPatrol,0,1,20,20
15,일 접속,3,connectGame,0,3,20,20
16,스테이지 클리어,3,stageClear,20001,2,20,20
17,한계의 땅 도전,3,tryLimitLand,0,1,20,30
18,등급 방어구 장착,3,equipArmor,rare,1,20,50
19,퀘스트 클리어,3,clearQuest,21,1,20,30
20,소울 에너지 획득,3,getEssence,0,25,20,20
21,특성 획득,3,getCharacteristic,PetType_1,1,20,20
22,일 접속,4,connectGame,0,4,20,20
23,챕터 클리어,4,clearChapter,2,1,20,30
24,펫 레벨업,4,petLevelUp,0,1,20,30
25,무기 합성,4,mergeWeapon,0,500,20,50
26,탐색대 활동 시작하기,4,goPatrol,0,2,20,10
27,주문서 획득,4,getScroll,0,3000,20,20
28,무기 등급업,4,weaponGradeUp,epic,2,20,30
29,일 접속,5,connectGame,0,5,20,20
30,등급 방어구 장착,5,equipArmor,rare_1,1,20,50
31,계정 레벨 달성,5,reachAccountLevel,0,15,20,30
32,메소 획득,5,getMeso,0,500000,20,10
33,퀘스트 클리어,5,clearQuest,25,1,20,20
34,소울 에너지 획득,5,getEssence,0,300,20,20
35,무기 합성,5,mergeWeapon,0,800,20,20
36,일 접속,6,connectGame,0,6,20,20
37,챕터 클리어,6,clearChapter,3,1,20,20
38,한계의 땅 도전,6,tryLimitLand,0,5,20,80
39,펫 레벨업,6,petLevelUp,0,3,20,20
40,방어구 승급,6,armorGradeUp,0,15,20,50
41,소울 한계 돌파,6,breakLimit,0,2,20,100
42,메소 획득,6,getMeso,0,1000000,20,20
43,일 접속,7,connectGame,0,7,20,30
44,챕터 클리어,7,clearChapter,4,1,20,100
45,한계의 땅 도전,7,tryLimitLand,0,15,20,50
46,전투력 도달,7,reachBattlePower,0,15000,20,30
47,주문서 획득,7,getScroll,0,30000,20,50
48,등급 무기 장착,7,equipWeapon,unique,1,20,100
49,도감 등록,7,registerCollection,0,30,20,50
50,탐색대 활동 시작하기,7,goPatrol,0,7,20,30
