id,name,modifier,attackType,type,tier,defaultHp,addHp,defaultAtk,addAtk,defaultCriProb,minLevel,maxLevel,activeSkill_1,activeSkill_2,exWeaponId,exWeaponValue,passiveSkill_1,thumbnailRUID,iconRUID,pieceLargeRUID,pieceRUID,illustRUID,cardRUID,charRUID,defaultGoldPrice,defaultEssencePrice,charDesc,gachaEffect,levelEffectDesc,lvEffect_desc_0,lvEffect_desc_1,lvEffect_desc_2,lvEffect_desc_3,lvEffect_desc_4,lvEffect_desc_5,relationId,value_diamond,value_card,fieldSkillRUID
111001,캡틴,난사의 구원자,physical,Gunner,B,100,10,10,1,10,1,25,51001,,1_001001,5,,476119dfad73400086ab277ea52655dc,6c8f3efda8624af9851c1d702217cdf0,6fca72a3bc2c4e06ad4d775936997257,5e3dd592c20d4ee2a0375d374f35e317,318b899a22ba4eababf6aa67f3d826c9,9ccab22fd48c427ea069449ffcc6c3e2,2300813c04904257be90d2364e8af2cc,100,1,사연이 깊은 총잡이,bc564dfaf017412d96a70320d25d66d6,공격 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500001,5,1,3509fb86b0ac4a5fb172106314aef622
111002,캐논 슈터,전율의 포격가,physical,Gunner,A,110,11,15,1,12,1,35,51001,,1_008001,10,,45d2a15110124d46938c9b845651f4c1,3af7968de602479691a11f3b87399e59,04fbf96cc136489d88933efd9bf96eb0,e7af2b79723f420f96b386c8920ad3cf,059c9ba7e1ea4c5582da609fdbb54095,9ccab22fd48c427ea069449ffcc6c3e2,84edeb9993274b53bf77d13fd797c13e,100,1,사연이 깊은 총잡이,5f802cd582c84384ae6395722c7c6d95,공격 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500001,5,1,37c56459c0d3488fb365c26db2080162
111003,엔젤릭 버스터,전장의 음악가,magical,Gunner,S,120,12,20,2,14,1,45,51001,51002,1_011001,15,,00b59eb2634048269faf54e0c0ab6363,5e3b2f44122e45c6b79a472b76a01ae0,32db2f75f128419aa73fe17d4396321a,95a972351dd84be0a5200fd4a15c77a1,4eb39cb0f6ae4da9873754387dc7361a,9ccab22fd48c427ea069449ffcc6c3e2,7d69beabd36d4d48aaa5eeda96905160,100,1,사연이 깊은 총잡이,30833db25a9944eda3afc9d886a919c1,공격 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500001,5,1,ab3253aaee7845ba9931217d6119e412
151001,섀도어,침묵의 암살자,physical,Thief,B,100,10,10,1,35,1,25,55001,,1_015001,5,,cabefcf1df684ce2a608838891ccaba5,d45b258efb2646a5a4d4389ebf6c4144,04c25e388c71475bbdb41732ef5eb5d8,cb7194b007934c3997a0efbbdb1750ba,4d0a3f60a7224205986742a8b5dab325,9ccab22fd48c427ea069449ffcc6c3e2,61197d5c2bbc4534aac99cec44573ee0,100,1,사연이 깊은 도적,bc564dfaf017412d96a70320d25d66d6,치명타 확률,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500005,5,1,47b339501f374d508776ea1ba848a6ec
151002,나이트 로드,어둠의 섬멸자,physical,Thief,A,110,11,15,1,40,1,35,55001,,1_002001,10,,25a06bed622b4e23892172c17bdb2180,e7b178b4604a4e31a1615c9f894d0a77,d1e16fe8275549cfb1ccb74ec2161cf5,ad1c8874cab6440e859c6d038c88d0be,d0559ba51a764f418bba05fc7f8b3988,9ccab22fd48c427ea069449ffcc6c3e2,677f633c66ab4d9db97ccea1b5a8d1bc,100,1,사연이 깊은 도적,5f802cd582c84384ae6395722c7c6d95,치명타 확률,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500005,5,1,e5b8edaa5e1b4d3eacfe709515016543
151003,호영,풍류의 방랑자,magical,Thief,S,120,12,20,2,45,1,45,55001,55002,1_006001,15,,7307808b64db42e7a2a7a61324456be0,23d68e7cf6e34a828d4a1ee6a0f5af1a,f43e7dbd323144b1bb9398e11f558745,5dfb302df1de45be995633825f693743,1d3d032c6293466ebb324ca2a8cb54f8,9ccab22fd48c427ea069449ffcc6c3e2,18668ede3ab9475ab580e624e12afbf0,100,1,사연이 깊은 도적,78c0b6abdc7c40ebadcea7542bc047ea,치명타 확률,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500005,5,1,843e5a77a11b45058473bb1027e3e7cb
121001,보우 마스터,속사의 권위자,physical,Archer,B,100,10,10,1,12,1,25,52001,,1_005001,5,,6d055e05b52149e8ac6b3c83673e19fd,08f7cb3f3bff48f68533437746862aaf,f646555c90a2421a8143ef280d0149d8,a14688ab35914e2bb6baf8f84706e947,5058087b782b467c92100320849dda7d,9ccab22fd48c427ea069449ffcc6c3e2,d9599085ee474e34aa394f2d8ab7e695,100,1,사연이 깊은 궁수,bc564dfaf017412d96a70320d25d66d6,이동 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500002,5,1,ca8585d627be449eb97fb4269a4f55eb
121002,카인,불꽃의 해방자,magical,Archer,A,110,11,15,1,14,1,35,52001,,1_009001,10,,28187bf06216417b81aa98a48dc43b76,afc64347197d4c3b90f9526d5685b215,661a3984f0e84159a608c10eac2e1d31,51e6ac7a14084873957d707ebb7d2d16,c5b86273d7fd4c3db57c17e877018be8,9ccab22fd48c427ea069449ffcc6c3e2,20718b8e0416405b9b3cabed785da5dd,100,1,사연이 깊은 궁수,5f802cd582c84384ae6395722c7c6d95,이동 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500002,5,1,1a2db59b1f384b9fbf6bbd0dfa1896dc
121003,신궁,날개의 소환사,magical,Archer,S,120,12,20,2,16,1,45,52001,52002,1_014001,15,,4f23c8ba8b704216b2b6bcaaea5a6680,5ebd64486dee44cba9a822d1e428db02,3a4620925a8a4ca182812fc222de4f57,df9d470cc01c43d5912c76a2f183b652,78d1c338c2744cbfa7624568e684a277,9ccab22fd48c427ea069449ffcc6c3e2,c8d54c7f1b954409a6bbf9d5771c8093,100,1,사연이 깊은 궁수,df9ce4abd6e24a619e72e6f592a28ce7,이동 속도,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500002,5,1,d71d884d975b40b2934b0ffed727a5ff
131001,"아크메이지(불,독)",화염의 계승자,magical,Magician,B,100,10,10,1,0,1,25,53001,,1_003001,5,,168f1ff6630745ff88a3b7cb1d8a1d7e,3fe6078b36244b94880a3e1e038c760a,0b4cfd4052fc43768cf52c1b96a0c922,2cf087e5f60a49c196bf09c26ebdcf65,13c7d0e3e93c4248bbf4081525a6470d,9ccab22fd48c427ea069449ffcc6c3e2,424fe04af4c4400996523b27688582b6,100,1,사연이 깊은 마법사,bc564dfaf017412d96a70320d25d66d6,공격력,전용무기를 1개 장착하고 시작합니다.,전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +5%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +10%),전용무기를 1개 장착하고 시작합니다. (전용무기 공격력 +15%),전용무기를 2개 장착하고 시작합니다. (전용무기 공격력 +20%),전용무기를 3개 장착하고 시작합니다. (전용무기 공격력 +25%),500003,5,1,9379caf0ae454f36bc9f528516407b33
