cardId,characterId,prob,charEffect,cardEffect
800001,111001,0.0662,bc564dfaf017412d96a70320d25d66d6,c98436d5bd0345a38ff8b3fda80ded56
800001,121001,0.1329,bc564dfaf017412d96a70320d25d66d6,486decc4562840ba9256e62e96c89692
800001,131001,0.1996,bc564dfaf017412d96a70320d25d66d6,391665aa2b5a467e9fb460da4865b1fe
800001,141001,0.2663,bc564dfaf017412d96a70320d25d66d6,00b5dd21f0034e62b422494bcc369e3a
800001,151001,0.333,bc564dfaf017412d96a70320d25d66d6,da9b129c2f9d4d118ad4c8eb5ccb5c06
800002,111002,0.3997,5f802cd582c84384ae6395722c7c6d95,c98436d5bd0345a38ff8b3fda80ded56
800002,121002,0.4664,5f802cd582c84384ae6395722c7c6d95,486decc4562840ba9256e62e96c89692
800002,131002,0.5331,5f802cd582c84384ae6395722c7c6d95,391665aa2b5a467e9fb460da4865b1fe
800002,141002,0.5998,5f802cd582c84384ae6395722c7c6d95,00b5dd21f0034e62b422494bcc369e3a
800002,151002,0.6665,5f802cd582c84384ae6395722c7c6d95,da9b129c2f9d4d118ad4c8eb5ccb5c06
800003,111003,0.7332,30833db25a9944eda3afc9d886a919c1,c98436d5bd0345a38ff8b3fda80ded56
800003,121003,0.7999,df9ce4abd6e24a619e72e6f592a28ce7,486decc4562840ba9256e62e96c89692
800003,131003,0.8666,11c5d35d589c40948a012935564ff335,391665aa2b5a467e9fb460da4865b1fe
800003,141003,0.9333,e290ba65fd6648a4b4d5f6bb3ee7ec7b,00b5dd21f0034e62b422494bcc369e3a
800003,151003,1,78c0b6abdc7c40ebadcea7542bc047ea,da9b129c2f9d4d118ad4c8eb5ccb5c06
