id,name,description,ruid,offsetX,offsetY,wealthType,price,rewardType,rewardId,limitPurchaseCount,mapFilter
1,하급 체력 물약,필드에서의 체력을 5% 회복합니다.,873b727f30ea41efb179d6537009413e,,,FieldGem,100,item,104_000001,0,
2,중급 체력 물약,필드에서의 체력을 10% 회복합니다.,9ff4283f528d45a8925667cf1df741c9,,,FieldGem,250,item,104_000002,0,
3,고급 체력 물약,필드에서의 체력을 20% 회복합니다.,9322fb966c834ff48ece78149a741eac,,,FieldGem,800,item,104_000003,0,
4,최고급 체력 물약,필드에서의 체력을 50% 회복합니다.,14ba138b13d44e0e821f07ae89fa215b,,,FieldGem,2500,item,104_000004,0,
5,하급 마나 물약,필드에서의 마나를 5% 회복합니다.,7e9b39b73f4945b1a8d77db6c99a6946,,,FieldGem,100,item,104_000005,0,
6,중급 마나 물약,필드에서의 마나를 10% 회복합니다.,92f45a910a1f437e86a2cbff7987e557,,,FieldGem,250,item,104_000006,0,
7,고급 마나 물약,필드에서의 마나를 20% 회복합니다.,fffc966287d248f98d86e827904bafe8,,,FieldGem,800,item,104_000007,0,
8,최고급 마나 물약,필드에서의 마나를 50% 회복합니다.,320f942c48074e48a9cef3eabd414455,,,FieldGem,2500,item,104_000008,0,
9,순간이동 주문서,"사용 시, 1회에 한해 모닥불로 이동시켜줍니다.",5699610aa8c94457b680406ff18ef9a0,,,FieldGem,100,item,104_000025,0,
10,가방 슬롯+1 확장권,가방의 최대 슬롯을 1칸 확장합니다. (최대 확장 가능 수치: 200),afbccdab3cca40238903a5b1f1fc1384,,,FieldGem,2000,item,104_000026,0,
11,오닉스 링 제작 레시피,노멀 반지인 오닉스 링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000092,0,1
12,레전드 링 제작 레시피,노멀 반지인 레전드 링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000093,0,"1,2"
13,엔젤릭 블레스 제작 레시피,레어 반지인 엔젤릭 블레스 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000094,0,2
14,앱솔루트 링 제작 레시피,레어 반지인 앱솔루트 링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000095,0,"2,3"
15,코스모스 링 제작 레시피,에픽 반지인 코스모스 링  제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000096,0,"3,4"
16,다크 엔젤릭 블레스 제작 레시피,에픽 반지인 다크 엔젤릭 블레스 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000097,0,"4,5"
17,화이트 엔젤릭 블레스 제작 레시피,유니크 반지인 화이트 엔젤릭 블레스 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000098,0,"5,6"
18,결속의 반지 제작 레시피,유니크 반지인 결속의 반지 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000099,0,"6,7"
19,카오스링 제작 레시피,레전더리 반지인 카오스링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000100,0,"7,8"
20,테네브리스 원정대 반지 제작 레시피,레전더리 반지인 테네브리스 원정대 반지 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000101,0,8
21,나뭇잎 귀고리 제작 레시피,노멀 귀고리인 나뭇잎 귀고리 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000102,0,1
22,에메랄드 귀고리 제작 레시피,노멀 귀고리인 에메랄드 귀고리 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1000,item,100_000103,0,"1,2"
23,별 귀고리 제작 레시피,레어 귀고리인 별 귀고리 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000104,0,2
24,홀리윙 이어링 제작 레시피,레어 귀고리인 홀리윙 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,1500,item,100_000105,0,"2,3"
25,새콤달콤 귀고리 제작 레시피,에픽 귀고리인 새콤달콤 귀고리 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000106,0,"3,4"
26,세인트 세이버 이어링 제작 레시피,에픽 귀고리인 세인트 세이버 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2000,item,100_000107,0,"4,5"
27,찬란한 알테어 이어링 제작 레시피,유니크 귀고리인 찬란한 알테어 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000108,0,"5,6"
28,미스틱 이어링 제작 레시피,유니크 귀고리인 미스틱 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2500,item,100_000109,0,"6,7"
29,타임리스 이어링 제작 레시피,레전더리 귀고리인 타임리스 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000110,0,"7,8"
30,데아 시두스 이어링 제작 레시피,레전더리 귀고리인 데아 시두스 이어링 제작에 사용됩니다.,017bb52daed94c0c953e7fcf9b7143f5,,,FieldGem,2750,item,100_000111,0,8
