id,monsterType,stageStep,reward,rewardCount,rewardPercent
1_0001,monster,1,3_000001/3_000002,1/1,675/41
1_0002,elite,1,3_000001,1,100000
1_0003,boss,1,3_000001,1,100000
1_0004,monster,2,3_000001/3_000002,1/1,1093/56
1_0005,elite,2,3_000001,1,100000
1_0006,boss,2,3_000001,1,100000
1_0007,monster,3,3_000001/3_000002,1/1,945/48
1_0008,elite,3,3_000001,1,100000
1_0009,boss,3,3_000001,1,100000
1_0010,monster,4,3_000001/3_000002,1/1,470/22
1_0011,elite,4,3_000001,1,100000
1_0012,boss,4,3_000001,1,100000
1_0013,monster,5,3_000001/3_000002,1/1,714/35
1_0014,elite,5,3_000001,3,100000
1_0015,boss,5,3_000001,3,100000
1_0016,monster,6,3_000001/3_000002,1/1,1069/51
1_0017,elite,6,3_000001,1,100000
1_0018,boss,6,3_000001,1,100000
1_0019,monster,7,3_000001/3_000002,1/1,1680/100
1_0020,elite,7,3_000001,2,100000
1_0021,boss,7,3_000001,2,100000
1_0022,monster,8,3_000001/3_000002,1/1,2128/102
1_0023,elite,8,3_000001,2,100000
1_0024,boss,8,3_000001,2,100000
1_0025,monster,9,3_000001/3_000002,1/1,1683/81
1_0026,elite,9,3_000001,2,100000
1_0027,boss,9,3_000001,2,100000
1_0028,monster,10,3_000001/3_000002,1/1,1241/27
1_0029,elite,10,3_000001/3_000002,3/1,100000/100000
1_0030,boss,10,3_000001/3_000002,3/1,100000/100000
2_0001,monster,11,3_000001/3_000002,1/1,277/172
2_0002,elite,11,3_000001/3_000002,1/1,100000/100000
2_0003,boss,11,3_000001/3_000002,1/1,100000/100000
2_0004,monster,12,3_000001/3_000002,1/1,360/241
2_0005,elite,12,3_000001/3_000002,1/1,100000/100000
2_0006,boss,12,3_000001/3_000002,1/1,100000/100000
2_0007,monster,13,3_000001/3_000002,1/1,341/228
2_0008,elite,13,3_000001/3_000002,1/1,100000/100000
2_0009,boss,13,3_000001/3_000002,1/1,100000/100000
2_0010,monster,14,3_000001/3_000002,1/1,299/145
2_0011,elite,14,3_000001/3_000002,1/1,100000/100000
2_0012,boss,14,3_000001/3_000002,1/1,100000/100000
2_0013,monster,15,3_000001/3_000002,1/1,458/327
2_0014,elite,15,3_000001/3_000002,2/1,100000/100000
2_0015,boss,15,3_000001/3_000002,2/1,100000/100000
2_0016,monster,16,3_000001/3_000002,1/1,310/211
2_0017,elite,16,3_000001/3_000002,1/1,100000/100000
2_0018,boss,16,3_000001/3_000002,1/1,100000/100000
2_0019,monster,17,3_000001/3_000002,1/1,367/248
2_0020,elite,17,3_000001/3_000002,1/1,100000/100000
