id,name,description,missionType,objective,objectiveCondition,limitTime,occurCondition,successCondition,rewardType
1,제한 시간 내에 임무를 수행하십시오.,30초 내에 몬스터를 %d마리 처치하십시오.,timeLimit,40,success,30,SELECT BUFF/START WAVE,KILL,LOW WEALTH
2,다음의 임무를 수행하십시오.,이동 속도를 %d%% 달성하십시오.,objective,30,success,0,SELECT BUFF/START WAVE/APPLIED BUFF/START STAGE,SPEED,BUFF
3,다음의 임무를 수행하십시오.,%d개 이하의 무기만을 사용해 클리어하십시오.,concept,3,fail,0,START STAGE,ETC,WEALTH
4,다음의 임무를 수행하십시오.,대쉬를 %d회 사용하십시오.,bonus,5,success,0,SELECT BUFF/START WAVE/APPEAR BOSS,DASH,LOW BUFF
5,제한 시간 내에 임무를 수행하십시오.,30초 동안 피격 횟수를 %d회 이하로 유지하십시오.,timeLimit,3,fail,30,SELECT BUFF/START WAVE/START STAGE,HIT,LOW WEALTH
6,제한 시간 내에 임무를 수행하십시오.,1분 내에 %d회 레벨업 하십시오.,timeLimit,3,success,60,SELECT BUFF/START WAVE/START STAGE,LEVEL UP,LOW WEALTH
7,제한 시간 내에 임무를 수행하십시오.,1분 내에 보스를 처치하십시오.,timeLimit,1,success,60,APPEAR BOSS,KILL BOSS,LOW WEALTH
8,제한 시간 내에 임무를 수행하십시오.,30초 내에 %d개의 크리스탈 오브를 부수십시오.,timeLimit,5,success,30,SELECT BUFF/START WAVE/START STAGE,DESTROY BOX,LOW WEALTH
9,다음의 임무를 수행하십시오.,등록한 모든 무기를 장착하십시오.,objective,-1,,0,SELECT BUFF/START WAVE/START STAGE,ETC,BUFF
10,다음의 임무를 수행하십시오.,크리스탈 오브를 %d개 부수십시오.,objective,20,success,0,SELECT BUFF/START WAVE/START STAGE,DESTROY BOX,BUFF
11,다음의 임무를 수행하십시오.,물리 무기만을 사용해서 클리어 하십시오.,concept,-1,,0,SELECT FIRST WEAPON,ETC,WEALTH
12,다음의 임무를 수행하십시오.,피격 횟수 %d회 이하로 클리어 하십시오.,concept,20,fail,0,SELECT BUFF/START WAVE/START STAGE,HIT,WEALTH
13,다음의 임무를 수행하십시오.,마법 무기만을 사용해서 클리어 하십시오.,concept,-1,,0,SELECT FIRST WEAPON,ETC,WEALTH
14,다음의 임무를 수행하십시오.,-20%% 이하의 이동 속도로 클리어 하십시오.,concept,-1,,0,SELECT BUFF/START WAVE/START STAGE,ETC,WEALTH
15,다음의 임무를 수행하십시오.,보스와 %d초 이상 대치하십시오.,concept,30,success,30,APPEAR BOSS,ETC,WEALTH
16,다음의 임무를 수행하십시오.,소울 붐 스킬을 %d회 사용하십시오.,bonus,2,success,0,SELECT BUFF/START WAVE/START STAGE,USE CHARGING,LOW BUFF
17,다음의 임무를 수행하십시오.,%d초 동안 멈추지 말고 움직이십시오.,bonus,30,success,30,SELECT BUFF/START WAVE/START STAGE,ETC,LOW BUFF
18,다음의 임무를 수행하십시오.,공격 속도를 %d%% 달성하십시오.,objective,20,success,0,SELECT BUFF/START WAVE/APPLIED BUFF/START STAGE,ATTACK SPEED,BUFF
19,다음의 임무를 수행하십시오.,치명타 확률을 %d%% 달성하십시오.,objective,20,success,0,SELECT BUFF/START WAVE/APPLIED BUFF/START STAGE,CRITICAL PERCENT,BUFF
20,다음의 임무를 수행하십시오.,대미지 증가를 %d%% 달성하십시오.,objective,20,success,0,SELECT BUFF/START WAVE/APPLIED BUFF/START STAGE,ATTACK RATIO,BUFF
21,다음의 임무를 수행하십시오.,몬스터를 %d회 공격하십시오.,bonus,200,success,0,SELECT BUFF/START WAVE/START STAGE,ATTACK COUNT,LOW BUFF
22,다음의 임무를 수행하십시오.,물약을 %d개 획득하십시오.,bonus,3,success,0,SELECT BUFF/START WAVE/START STAGE,POTION,LOW BUFF
23,다음의 임무를 수행하십시오.,소울 붐 스킬을 사용하지 않고 클리어,concept,1,fail,0,SELECT BUFF/START WAVE/APPLIED BUFF/START STAGE/APPEAR BOSS,ETC,WEALTH
