id,iconRUID,skillDesc,requiredPoint,skillName
WeaponType_1,8a89eee4b5ee41b7890e3a8b9c4e4b4a,무기를 최대 4개까지 장착할 수 있습니다.,1,무기 장착 개수 증가 +1
WeaponType_2,3379ace452914603bd333b90e3714f17,무기를 최대 5개까지 장착할 수 있습니다.,2,무기 장착 개수 증가 +2
WeaponType_3,a44d20d4666d45afbcc4967f7bc830e2,무기를 최대 6개까지 장착할 수 있습니다.,3,무기 장착 개수 증가 +3
LaboratoryType_1,39df9830d42c4bc0b6d5984ceb0e393b,대쉬가 2회까지 충전됩니다.,1,대쉬 강화
LaboratoryType_2,b9b6daa2479c453aa0ff627b03c2c3aa,"E키로 '소울 붐' 스킬을 사용합니다. 주변 몬스터들을 강하게 밀어내 스턴을 주며, 투사체를 파괴합니다.",2,소울 붐
LaboratoryType_3,9485a91e94864c7cb4f74588653ea12c,탐색대 시간이 최대 12시간으로 증가합니다.,3,탐색대 시간 증가
PhysicsType_1,ffa35056d0e24c48a3a342bc7193e221,이동 속도가 10% 증가합니다.,1,이동 속도 증가
PhysicsType_2,ab1c5650d3074d43b5ae2d94fadec43a,회복력 버프 카드의 회복 주기가 10초에서 8초로 감소합니다.,2,붕대 효율 증가
PhysicsType_3,b0e74e62aa984ae387ed3882bb7a7d82,체력이 20% 이하일 경우 대미지가 20% 증가합니다.,3,아드레날린
PhysicsType_4,70880f8842d541db9eb7b7c4c78b49a7,레벨 업 할 때마다 최대 체력의 1%를 회복합니다.,3,레벨 업 회복
RelicType_1,281cbf3935fd45519042b79051d7f3b8,레벨 업 버프 선택 시에 1회 새로고침이 가능합니다.,1,버프 새로고침
RelicType_2,6c31b65dfdfd4dff81df9606b5241473,스테이지 클리어 보상으로 메소를 5% 추가 획득합니다.,2,메소 획득 증가
RelicType_3,c86d2cbeb0134c59b343f48e384cb083,"몬스터 사냥 시, 소울 에그 드롭 확률이 5% 증가합니다.",3,소울 에그 드롭률 증가
PetType_1,32773813706f430db7bc9cb14e30480a,펫을 최대 2개까지 장착할 수 있습니다.,1,펫 장착 개수 증가 +1
PetType_2,6cad8831ac144e2c88aa76e5d9d95942,펫을 최대 3개까지 장착할 수 있습니다.,2,펫 장착 개수 증가+2
