Type,Objective,Description,Condition,RewardName1,RewardQuantity1,RewardName2,RewardQuantity2,RewardName3,RewardQuantity3
모험,Achi_Objective_1,Achi_Desc_VisitMine,1,PlayerTitle_Name_1,1,,,,
모험,Achi_Objective_2,Achi_Desc_BreakKeyBox,1,AchiReward_PetEgg,1,,,,
모험,Achi_Objective_3,Achi_Desc_VisitTown2,1,ChairName_1,1,,,,
모험,Achi_Objective_4,Achi_Desc_VisitTown3,1,AchiReward_EmotToken,1,,,,
모험,Achi_Objective_5,Achi_Desc_VisitTown4,1,AchiReward_EmotToken,1,,,,
모험,Achi_Objective_6,Achi_Desc_VisitTown5,1,AchiReward_EmotToken,1,,,,
모험,Achi_Objective_7,Achi_Desc_VisitTown6,1,AchiReward_EmotToken,1,,,,
모험,Achi_Objective_8,Achi_Desc_VisitTown7,1,AchiReward_EmotToken,1,,,,
모험,Achi_Objective_9,Achi_Desc_VisitTown8,1,AchiReward_EmotToken,1,,,,
광석 수집,Achi_Objective_10,Achi_Desc_Ore,100,PlayerTitle_Name_2,1,,,,
광석 수집,Achi_Objective_11,Achi_Desc_Ore,1000,PlayerTitle_Name_3,1,,,,
광석 수집,Achi_Objective_12,Achi_Desc_Ore,10000,PlayerTitle_Name_4,1,,,,
광석 수집,Achi_Objective_13,Achi_Desc_Ore,100000,PlayerTitle_Name_5,1,,,,
광석 수집,Achi_Objective_14,Achi_Desc_Ore,1000000,PlayerTitle_Name_6,1,,,,
광석 수집,Achi_Objective_15,Achi_Desc_Ore,10000000,PlayerTitle_Name_7,1,,,,
광석 수집,Achi_Objective_16,Achi_Desc_Ore,100000000,PlayerTitle_Name_8,1,,,,
보석 수집,Achi_Objective_17,Achi_Desc_Jewerly,1,PlayerTitle_Name_9,1,,,,
보석 수집,Achi_Objective_18,Achi_Desc_Jewerly,10,PlayerTitle_Name_10,1,,,,
보석 수집,Achi_Objective_19,Achi_Desc_Jewerly,100,PlayerTitle_Name_11,1,,,,
보석 수집,Achi_Objective_20,Achi_Desc_Jewerly,1000,PlayerTitle_Name_12,1,,,,
보석 수집,Achi_Objective_21,Achi_Desc_Jewerly,10000,PlayerTitle_Name_13,1,,,,
화석 수집,Achi_Objective_22,Achi_Desc_fossil,1,PlayerTitle_Name_14,1,,,,
화석 수집,Achi_Objective_23,Achi_Desc_fossil,10,PlayerTitle_Name_15,1,,,,
화석 수집,Achi_Objective_24,Achi_Desc_fossil,100,PlayerTitle_Name_16,1,,,,
화석 수집,Achi_Objective_25,Achi_Desc_fossil,1000,PlayerTitle_Name_17,1,,,,
유적 탐사,Achi_Objective_26,Achi_Desc_VisitRuins2,1,AchiReward_PetEgg,1,,,,
유적 탐사,Achi_Objective_27,Achi_Desc_VisitRuins3,1,AchiReward_PetEgg,1,,,,
유적 탐사,Achi_Objective_28,Achi_Desc_VisitRuins4,1,AchiReward_PetEgg,1,,,,
유적 탐사,Achi_Objective_29,Achi_Desc_VisitRuins5,1,AchiReward_PetEgg,1,,,,
모험,Achi_Objective_30,Achi_Desc_VisitTown10,1,CurrencyItemName_6,1,,,,
건설,Achi_Objective_31,Achi_Desc_Construction1,1,CurrencyItemName_2,150,,,,
건설,Achi_Objective_32,Achi_Desc_Construction2,1,CurrencyItemName_2,150,,,,
성장,Achi_Objective_33,Achi_Desc_MythicEquip,10,PlayerTitle_Name_18,1,,,,
성장,Achi_Objective_34,Achi_Desc_GoldKey,1,CurrencyItemName_6,1,,,,
건설,Achi_Objective_35,Achi_Desc_Construction3,1,CurrencyItemName_2,300,,,,
건설,Achi_Objective_36,Achi_Desc_Construction4,1,CurrencyItemName_2,300,,,,
성장,Achi_Objective_37,Achi_Desc_AccessoryMerge,1,PlayerTitle_Name_23,1,,,,
성장,Achi_Objective_38,Achi_Desc_MythicEquip,40,PlayerTitle_Name_19,1,,,,
성장,Achi_Objective_39,Achi_Desc_MythicEquipLevelUp,1,PlayerTitle_Name_24,1,,,,
성장,Achi_Objective_40,Achi_Desc_AccessoryLevelUp,1,PlayerTitle_Name_25,1,,,,
성장,Achi_Objective_41,Achi_Desc_VoidItem,1,PlayerTitle_Name_26,1,,,,
성장,Achi_Objective_42,Achi_Desc_VoidItem,20,PlayerTitle_Name_27,1,,,,
성장,Achi_Objective_43,Achi_Desc_VoidItem,50,PlayerTitle_Name_28,1,,,,
성장,Achi_Objective_44,Achi_Desc_VoidItem,100,PlayerTitle_Name_29,1,,,,
성장,Achi_Objective_45,Achi_Desc_MythicEquip,80,PlayerTitle_Name_20,1,,,,
성장,Achi_Objective_46,Achi_Desc_MythicEquip,200,PlayerTitle_Name_21,1,,,,
성장,Achi_Objective_47,Achi_Desc_MythicEquip,400,PlayerTitle_Name_22,1,,,,
