name_part,name_grade,name_set,flavorText
Ring,Common,Hermes,AccessoryFlavorText_1
Neckless,Normal,Persephone,AccessoryFlavorText_2
Earring,Advanced,Ares,AccessoryFlavorText_3
,Rare,Hephaestus,AccessoryFlavorText_4
,Legendary,Dionysus,AccessoryFlavorText_5
,,,AccessoryFlavorText_6
,,,AccessoryFlavorText_7
,,,AccessoryFlavorText_8
,,,AccessoryFlavorText_9
,,,AccessoryFlavorText_10
,,,AccessoryFlavorText_11
,,,AccessoryFlavorText_12
,,,AccessoryFlavorText_13
,,,AccessoryFlavorText_14
,,,AccessoryFlavorText_15
,,,AccessoryFlavorText_16
,,,AccessoryFlavorText_17
,,,AccessoryFlavorText_18
,,,AccessoryFlavorText_19
,,,AccessoryFlavorText_20
,,,AccessoryFlavorText_21
,,,AccessoryFlavorText_22
,,,AccessoryFlavorText_23
,,,AccessoryFlavorText_24
,,,AccessoryFlavorText_25
,,,AccessoryFlavorText_26
,,,AccessoryFlavorText_27
,,,AccessoryFlavorText_28
,,,AccessoryFlavorText_29
,,,AccessoryFlavorText_30
,,,AccessoryFlavorText_31
,,,AccessoryFlavorText_32
,,,AccessoryFlavorText_33
,,,AccessoryFlavorText_34
,,,AccessoryFlavorText_35
,,,AccessoryFlavorText_36
,,,AccessoryFlavorText_37
,,,AccessoryFlavorText_38
,,,AccessoryFlavorText_39
,,,AccessoryFlavorText_40
,,,AccessoryFlavorText_41
,,,AccessoryFlavorText_42
,,,AccessoryFlavorText_43
,,,AccessoryFlavorText_44
,,,AccessoryFlavorText_45
,,,AccessoryFlavorText_46
,,,AccessoryFlavorText_47
,,,AccessoryFlavorText_48
,,,AccessoryFlavorText_49
,,,AccessoryFlavorText_50
,,,AccessoryFlavorText_51
,,,AccessoryFlavorText_52
,,,AccessoryFlavorText_53
,,,AccessoryFlavorText_54
,,,AccessoryFlavorText_55
,,,AccessoryFlavorText_56
,,,AccessoryFlavorText_57
,,,AccessoryFlavorText_58
,,,AccessoryFlavorText_59
,,,AccessoryFlavorText_60
,,,AccessoryFlavorText_61
,,,AccessoryFlavorText_62
,,,AccessoryFlavorText_63
,,,AccessoryFlavorText_64
,,,AccessoryFlavorText_65
,,,AccessoryFlavorText_66
,,,AccessoryFlavorText_67
,,,AccessoryFlavorText_68
,,,AccessoryFlavorText_69
,,,AccessoryFlavorText_70
,,,AccessoryFlavorText_71
,,,AccessoryFlavorText_72
,,,AccessoryFlavorText_73
,,,AccessoryFlavorText_74
,,,AccessoryFlavorText_75
