name,iconRUID,EntityRUID-front,EntityRUID-back,EntityRUID-back2,FlavorText,PlayerPos.Y,SetPos.X-1,SetPos.Y-1,SetPos.X-2,SetPos.Y-2,SetPos.X-3,SetPos.Y-3,보유효과1,보유효과1수량,보유효과2,보유효과2수량,버프효과1,버프효과1수량,버프효과2,버프효과2수량
ChairName_1,6456dfd58a694f04acca1cb517787230,,9536981c392541ae87cc0fa1ac8163c0,,ChairDesc_1,0,0,0,0.07,0.15,0,0,8001,1,8002,3,8002,3,,
ChairName_2,b88d726342994eb0b951bd0b9f7f2d3f,99ee377c515b4971ba6fe6041f551e66,9536981c392541ae87cc0fa1ac8163c0,,ChairDesc_2,0,0,0.5,0.07,0.15,0,0,8001,2,8004,5,8004,3,,
ChairName_3,e834eb660d1f4a8db475c2c419ae68d3,c5b6f62f852d46b0980a741f55f9a905,16bf673255f9433db121784098d1349f,,ChairDesc_3,0,0,0.53,0.35,0.47,0,0,8002,7,,,8002,5,,
ChairName_4,54d25fcb826d478c90226525ad88a175,,08c3a0fbfa894acf8fa15dc63a7082db,,ChairDesc_4,0.35,0,0,0.1,0,0,0,8005,8,8002,3,8005,5,,
ChairName_5,598f8e55797d43b1b66aa819593d8802,,5ead8bce036e4a3b8ef8ba1fa38d6476,,ChairDesc_5,0.25,0,0,0.1,0,0,0,8001,3,8008,2,8001,3,,
ChairName_6,40a87834429c4edc981e85d5d7b8085f,,cda1a789fa70478db30e167d9d87043c,,ChairDesc_6,0,0,0,0,0,0,0,8002,5,8004,5,8004,5,,
ChairName_7,621ee92aa3d5455cbf9ca057c6f894c2,,c32c9eec9de3433388c5395efaf6a510,,ChairDesc_7,0.4,0,0,0.25,0.1,0,0,8004,8,,,8004,6,,
ChairName_8,5fe1b0076a79422b9191840c9e8c5a66,067dbdddbf534555991daf87712395b6,b01e916e7ff349168b74ef4a19e80636,a0663d47c85c446db63bbd80e94114ed,ChairDesc_8,0.4,0,0,0,0,0,0,8008,5,8009,10,8008,3,8009,5
ChairName_9,756c61bb4b6a46839f2045ee2489274b,,f320584c825b4cda9f181c9ffa185a51,,ChairDesc_9,0,0,0,-0.15,0,0,0,8002,10,8006,12,8002,7,8006,5
ChairName_10,00f271d7f6e648a3b2ac0e3c697ea4c2,f4d2c02472b940be8151a76b58bac80a,,,ChairDesc_10,0.7,0.1,-0.15,0,0,0,0,8001,8,8004,4,8001,4,8004,4
ChairName_11,af086e11348846bcbf9d89ae2cc477b0,,18e8ba78d10b49d093f88fc382db68b1,57c95c0d5fdd49d88f30c45c3286ddc7,ChairDesc_11,0,0,0,0,0,0,0,8001,12,8012,5,8001,7,,
ChairName_12,cc993f47abed4ef0a27e12fe9f8d826f,52763b64ecf04235bd0037e9ef639772,9536981c392541ae87cc0fa1ac8163c0,d705f3b14f13430db743dd041d89ec1d,ChairDesc_12,0,0,-0.3,0.07,0.15,0,0,8002,15,8012,5,8002,10,,
ChairName_13,6443d5f457824e03aca3be95b2fb323a,,61621491231c4e41890a8792acbb56d4,,ChairDesc_13,0,0,0,0,0,0,0,8004,12,8012,5,8004,8,,
ChairName_14,45f4fb80061f450fb83d437cf42a7e14,,1dd643979e784cfba0a190f3aee5637d,,ChairDesc_14,0.08,0,0,0,-0.03,0,0,8008,1,8009,2,8002,3,,
ChairName_15,dbdb5f31a008441296861dac4eaef5e6,,1c10fb9fcffa4a299b5d485ecec3f273,,ChairDesc_15,0,0,0,1,2.7,0,0,8008,1,8009,2,8004,3,,
ChairName_16,5478c5972f23470b9128230453e7e61b,76816a0ffe1144d7b0e160f3f5df67d5,d46bed23c4dd46da9204ca783f007dc8,,ChairDesc_16,0,0,0,0,0,0,0,8008,1,8009,2,8004,6,,
ChairName_17,b099f46b524e489383e82cea32419e7a,7b93b40a19a9495b8f141cff6e0dfc06,,,ChairDesc_17,0.25,0,0,0,0,0,0,8008,1,8009,2,8008,3,8009,5
ChairName_18,132d1e5a6db84089be7a5d20a986c39f,,1781e650cab84b0bb2e7ec058011c5ef,,ChairDesc_18,0,0,0,0,0,0,0,8008,1,8009,2,8001,3,,
ChairName_19,090330730435496e976a9d892c6eedb9,,883cad64e5a642d4ad7dbaeff0f9329c,,ChairDesc_19,0.2,0.15,0.2,0,0,0,0,8008,1,8009,2,8004,5,,
ChairName_20,42518bbb64344993b366e622d084e878,77ea0374f3e84cd1a9fe394a2cfa6de0,0e69f05ec76d4a9899754cfffac450d8,,ChairDesc_20,0,0,0.45,0,0.45,0,0,8008,1,8009,2,8002,5,,
ChairName_21,3b9290ba8acb4322b63827c7e771df1f,1b21c20e08b74246880cfe86f94b15f9,ab1aa6ca3d9c452e860a1ed6ef3a1c13,,ChairDesc_21,0,0,0.45,0,0.45,0,0,8008,1,8009,2,8005,5,,
ChairName_22,31d62bf21c2e4d7597def2893d39ab26,,20d0809d02374700bfc1fcfb8ea33455,,ChairDesc_22,0,0,0,0,0,0,0,8008,1,8009,2,8002,7,8006,5
ChairName_23,1b7e506a16e34365bf9eedbed996b646,,4f80b44b785240a1b526f47afc9747de,,ChairDesc_23,0,0,0,0,0,0,0,8008,1,8009,2,8001,4,8004,4
ChairName_24,59127772fc0c40e094e0039da08e83a9,c3070d8964c242fcb8bce87bff8b739f,406811dc1aea4fd9a5249bbf39c62989,,ChairDesc_24,0,0,0,0,0,0,0,8008,1,8009,2,8001,7,,
ChairName_25,71bade97d8a14685b93f7f49bffa602b,,58f23e0382d94ce88df865d5e6594c09,,ChairDesc_25,0,0,0,0,0,0,0,8008,1,8009,2,8002,10,,
ChairName_26,4a43ea1d264c4510a6e02e41c5d6fd8d,,053a1560040f4fc8a864b6ec608fcfe3,,ChairDesc_26,1,0,1,0,0,0,0,8008,1,8009,2,8004,8,,
ChairName_27,66120358e6c44a98b2b760cc63ed207a,3834e96cb2c24be0b86865b07e70c367,,,ChairDesc_27,0,0,0,0,0,0,0,8008,1,8009,2,8002,3,,
ChairName_28,2c079f90e958450290be62b0ce6145f5,,540428283ce44274a8f7e5ce4a415c3d,,ChairDesc_28,0,0,0,-0.08,0.45,0,0,8008,1,8009,2,8004,3,,
ChairName_29,fa6380435f93411e9bbcd1a22d75854e,,e2bf63f4cde24f8498095a26b0f625ce,,ChairDesc_29,0,0,0,0,0,0,0,8008,1,8009,2,8002,5,,
ChairName_30,37e3eb734d5e41aeb94cb73d47e48c5a,58cd72c39fef4a3a8583764a1eb9e039,7f980e760ee84dce9f65f785171298da,,ChairDesc_30,0.15,0,0,0,0,0,0,8008,1,8009,2,8005,5,,
