레벨,최소값,최대값,평균값
1,225,450,337.5
2,750,1500,1125
3,3000,6000,4500
4,4500,9000,6750
5,11250,22500,16875
6,28500,57000,42750
7,42750,85500,64125
8,105000,210000,157500
9,240000,480000,360000
10,360000,720000,540000
11,825000,1650000,1237500
12,1950000,3900000,2925000
13,2925000,5850000,4387500
14,6375000,12750000,9562500
15,14250000,28500000,21375000
16,22500000,45000000,33750000
17,56250000,112500000,84375000
18,168750000,337500000,253125000
19,525000000,1050000000,787500000
20,1312500000,2625000000,1968750000
21,3750000000,7500000000,5625000000
27,10500000000,21000000000,
