EntityName,mapName,entranceCost,desc,권장채광력_min,권장채광력_max
Mine1_1,MineName_1,0,MineDesc_1,1,11
Mine1_2,,,,3,9
Mine1_3,,,,10,30
Mine1_4,,,,,
Mine2_1,MineName_2,0,MineDesc_2,12,119
Mine2_2,,,,40,75
Mine2_3,,,,80,190
Mine2_4,,,,,
Mine3_1,MineName_3,0,MineDesc_3,120,999
Mine3_2,,,,350,700
Mine3_3,,,,800,1600
Mine3_4,,,,,
Mine4_1,MineName_4,0,MineDesc_4,1000,7999
Mine4_2,,,,2800,5500
Mine4_3,,,,6500,13000
Mine4_4,,,,,
Mine5_1,MineName_5,0,MineDesc_5,8000,59999
Mine5_2,,,,22000,42500
Mine5_3,,,,50000,95000
Mine5_4,,,,,
Mine6_1,MineName_6,0,MineDesc_6,60000,449999
Mine6_2,,,,190000,375000
Mine6_3,,,,,
Mine6_4,,,,,
Mine7_1,MineName_7,0,MineDesc_7,450000,3499999
Mine7_2,,,,1750000,3500000
Mine7_3,,,,,
Mine7_4,,,,,
Mine8_1,MineName_8,,MineDesc_8,3500000,23999999
Mine8_2,,1,,12500000,25000000
Mine8_3,,1,,,
Mine8_4,,1,,,
Mine9_1,MineName_9,1,MineDesc_9,24000000,999999999
Mine9_2,,1,,,
Mine9_3,,1,,,
Mine9_4,,1,,,
Mine10_1,,1,,,
Mine10_2,,1,,,
Mine10_3,,1,,,
Mine10_4,,1,,,
