광맥레벨,내구도,광맥RUID
1,3,41683d7479ad4f869af2c8e9944765d5
2,10,65074a91b2e1452a882a04c6916bac87
3,40,5f1d3cfd97014b9faa8c057b89dd2c4f
4,60,17d47c361e0043c4beb284ac131ea05b
5,150,f7a6476ee15e4ae88024196c4c265b6d
6,380,52f381c4af4045bfa193798c5d07e1ea
7,570,1e8927c4d1064a2b8d2137bfd5ad6a45
8,1400,1e8927c4d1064a2b8d2137bfd5ad6a45
9,3200,1e8927c4d1064a2b8d2137bfd5ad6a45
10,4800,3a4c9bcc517a448aadfb7f75fa9dcb76
11,11000,3a4c9bcc517a448aadfb7f75fa9dcb76
12,26000,3a4c9bcc517a448aadfb7f75fa9dcb76
13,39000,0bdf264e424d4aea8962caf0a22d5319
14,85000,0bdf264e424d4aea8962caf0a22d5319
15,190000,0bdf264e424d4aea8962caf0a22d5319
16,300000,62b27b6fb3ce4c10b348d97c8662233f
17,750000,9f293480ef4d4661a1de29ae495ced55
18,2250000,70502a5080be4c4d81e54266f2377e4d
19,7000000,3b887e8b205a4dffb04249531dc3b826
20,17500000,17778190908a44ac9f440c0f4ff80829
21,50000000,57888ab6ad3a452cb05527154853cb8d
22,120000000,2e95dfea0c304f5e82af820f46a7ecf1
23,180000000,22c61c66a2a24b2cb713363e272d36ee
24,240000000,dab6ddee82db4d34ab48608d6103f4f2
25,300000000,1c19347d865847e388b6f844dac2d2ef
26,360000000,7e24f4bd386c4e8981de546fb0a38054
27,700000000,aedeca582b4541eca996b728188998eb
