세트효과명,필요유물1,필요강화1,필요유물2,필요강화2,필요유물3,필요강화3,필요유물4,필요강화4,증가스탯1,수치1,증가스탯2,수치2,등급 필터
고대 문화의 시작,1,1,2,1,,,,,8001,650000,,,Grade_2
마음을 담는 항아리,3,1,4,1,,,,,8001,650000,,,Grade_2
별을 보며 차 한 잔,5,1,6,1,,,,,8001,650000,,,Grade_2
궁금한 건 참을 수 없다,7,1,8,1,,,,,8001,650000,,,Grade_2
끝내 열리지 않았다,9,1,10,1,,,,,8001,650000,,,Grade_2
물고기와 강아지,11,1,12,1,,,,,8002,216990,,,Grade_2
초식 전갈,13,1,14,1,,,,,8002,216990,,,Grade_2
유혹,15,1,16,1,,,,,8002,216990,,,Grade_2
황금알을 낳는 잉어,17,1,18,1,,,,,8002,216990,,,Grade_2
선과 악을 나란히,19,1,20,1,,,,,8002,216990,,,Grade_2
한때는 빛이 났으리라,21,1,22,1,,,,,8003,60000000,,,Grade_2
왕가의 평화,23,1,24,1,,,,,8003,60000000,,,Grade_2
누구나 흙으로 돌아간다,25,1,26,1,,,,,8003,60000000,,,Grade_2
어울리지 않는 한 쌍,27,1,28,1,,,,,8003,60000000,,,Grade_2
어디에 담을까?,29,1,30,1,,,,,8003,60000000,,,Grade_2
쏘고 베고 찌르고,31,1,32,1,,,,,8004,0.45,8005,6,Grade_2
미래를 통해 본 것,33,1,34,1,,,,,8004,0.45,8005,6,Grade_2
찬란했던 과거,35,1,36,1,,,,,8004,0.45,8005,6,Grade_2
눈부시던 왕궁,37,1,38,1,,,,,8004,0.45,8005,6,Grade_2
아무리 담아도 부족한,39,1,40,1,,,,,8004,0.45,8005,6,Grade_2
풍족한 시작,1,1,2,1,3,1,,,8001,650000,,,Grade_2
운치 있는 두근거림,4,1,5,1,6,1,,,8001,650000,,,Grade_2
더욱 더 궁금한,7,1,8,1,9,1,,,8001,650000,,,Grade_2
취미를 모아보자,10,1,11,1,12,1,,,8002,216990,,,Grade_2
풍족함을 보여주다,13,1,14,1,15,1,,,8002,216990,,,Grade_2
어울릴 수 있을까?,16,1,17,1,18,1,,,8002,216990,,,Grade_2
"지혜로운 뼈, 그리고 뼈",19,1,20,1,21,1,,,8002,216990,,,Grade_2
몰락하지 않는 왕가,22,1,23,1,24,1,,,8003,60000000,,,Grade_2
무엇이든 모아봅시다,25,1,26,1,27,1,,,8003,60000000,,,Grade_2
"사냥, 그리고 더 많은 사냥",28,1,29,1,30,1,,,8003,60000000,,,Grade_2
세 가지 신기,31,1,32,1,33,1,,,8004,0.45,,,Grade_2
"빛났고, 몰락했다",34,1,35,1,36,1,,,8004,0.45,,,Grade_2
빛이 나는 유물,37,1,38,1,39,1,,,8004,0.45,,,Grade_2
제사장과 금덩어리,1,1,2,1,3,1,4,1,8001,650000,,,Grade_2
"궁금하게, 운치 있게",5,1,6,1,7,1,8,1,8001,650000,,,Grade_2
보물로 꽉 찬 상자?,9,1,10,1,11,1,12,1,8001,650000,,,Grade_2
금으로 만들어진,13,1,14,1,15,1,16,1,8002,216990,,,Grade_2
누구나 갖고 싶은,17,1,18,1,19,1,20,1,8002,216990,,,Grade_2
걸다 지쳐 상자로,21,1,22,1,23,1,24,1,8003,60000000,,,Grade_2
알 수 없는 조합,25,1,26,1,27,1,28,1,8003,60000000,,,Grade_2
잊힌 무기들,29,1,30,1,31,1,32,1,8003,60000000,,,Grade_2
고대유물을 모아보자,33,1,34,1,35,1,36,1,8004,0.45,8005,6,Grade_2
빛을 모아보자,37,1,38,1,39,1,40,1,8004,0.45,8005,6,Grade_2
마법 도구,1,2,2,2,,,,,8001,650000,,,Grade_2
신기한 친구들,3,2,4,2,,,,,8001,650000,,,Grade_2
좀처럼 보기 힘든,5,2,6,2,,,,,8001,650000,,,Grade_2
찾을 수 있으면 찾아보자,7,2,8,2,,,,,8001,650000,,,Grade_2
고대의 기원,9,2,10,2,,,,,8001,650000,,,Grade_2
어인의 눈물,11,2,12,2,,,,,8002,216990,,,Grade_2
금붙이와 독수리,13,2,14,2,,,,,8002,216990,,,Grade_2
엽전과 상자,15,2,16,2,,,,,8002,216990,,,Grade_2
보내고 받고,17,2,18,2,,,,,8002,216990,,,Grade_2
대마법사와 삼위일체,19,2,20,2,,,,,8002,216990,,,Grade_2
고급 유물 모음,21,2,22,2,,,,,8003,60000000,,,Grade_2
우리 어울리나요?,23,2,24,2,,,,,8003,60000000,,,Grade_2
고대 유물 모음,25,2,26,2,,,,,8003,60000000,,,Grade_2
명성이 높은 유물,27,2,28,2,,,,,8003,60000000,,,Grade_2
수수께끼,29,2,30,2,,,,,8003,60000000,,,Grade_2
완벽한 두 쌍,31,2,32,2,,,,,8004,0.45,8005,6,Grade_2
부의 상징,33,2,34,2,,,,,8004,0.45,8005,6,Grade_2
바다와 땅의 이야기,35,2,36,2,,,,,8004,0.45,8005,6,Grade_2
이야기를 모으다,37,2,38,2,,,,,8004,0.45,8005,6,Grade_2
뜨거운 한 잔,39,2,40,2,,,,,8004,0.45,8005,6,Grade_2
"녹지 않는 금, 뜨거운 자루",1,2,2,2,3,2,,,8001,650000,,,Grade_2
무섭고도 귀여운,4,2,5,2,6,2,,,8001,650000,,,Grade_2
재료만 알려진,7,2,8,2,9,2,,,8001,650000,,,Grade_2
피하고 모으고,10,2,11,2,12,2,,,8002,216990,,,Grade_2
익숙하고 그리운 무언가,13,2,14,2,15,2,,,8002,216990,,,Grade_2
미묘하게 애정을 담은,16,2,17,2,18,2,,,8002,216990,,,Grade_2
마력을 느껴보자,19,2,20,2,21,2,,,8002,216990,,,Grade_2
넓디넓은 대지,22,2,23,2,24,2,,,8003,60000000,,,Grade_2
이야기가 궁금한 것들,25,2,26,2,27,2,,,8003,60000000,,,Grade_2
좀처럼 모이지 않는 유물,28,2,29,2,30,2,,,8003,60000000,,,Grade_2
잘 알려진,31,2,32,2,33,2,,,8004,0.45,,,Grade_2
"기원을 알지만, 사용법은 모르는",34,2,35,2,36,2,,,8004,0.45,,,Grade_2
이어지지 않는 무언가,37,2,38,2,39,2,,,8004,0.45,,,Grade_2
붉은 대지,1,2,2,2,3,2,4,2,8001,650000,,,Grade_2
한 번도 모인 적 없는,5,2,6,2,7,2,8,2,8001,650000,,,Grade_2
미스터리 시리즈,9,2,10,2,11,2,12,2,8001,650000,,,Grade_2
궁금한 모임,13,2,14,2,15,2,16,2,8002,216990,,,Grade_2
유용하고도 신묘한 물건,17,2,18,2,19,2,20,2,8002,216990,,,Grade_2
