generation,name,name (참고),type,ruid,description,description (참고),product,product (참고용),Itemruid,egg,isSecret
1,Monster_name_1,푸리,몬스터,de2da91bcdab468995f940ace3e54475,Monster_dsc_1,작고 포근하다. \n\n푸리가 지나간 자리에는 \n동그란 자국이 남는다. ,20220,푸근한 깃털,950278df823645e8bd27687b9afe6cec,sky,
1,Monster_name_2,별이,몬스터,630113c26b334b90b77938a56630bfef,Monster_dsc_2,바다에서 태어난 작은 불가사리. \n\n자신은 하늘에서 떨어진 별똥별이라고 \n생각한다.,20221,별 조각,24f6b7a6e22c426b9d27f197ecb3f4d1,stone,
1,Monster_name_3,핍,몬스터,0a075016438f43b0b0cefe13720edc49,Monster_dsc_3,시력이 나빠서 여기저기에 자주 부딪힌다. \n\n그래도 굴하지 않고 활기차게 뛰어다닌다. ,20222,다듬은 뼈,7a3ff04d311a48fc8c060f6d813809f6,dust,
1,Monster_name_4,라라,몬스터,0c47843470c34f02af80b0e6de55ae4c,Monster_dsc_4,나뭇잎 요정이다. \n\n평상시엔 나무 안에 몸을 감추고 있다가 \n아이들의 웃음소리가 들려오면 나타난다. ,20223,나뭇잎,3c1695a6704e479290ff5aa496d560b5,green,
1,Monster_name_5,꼬미,몬스터,5869ea9baa7d40adae57702542b7cac8,Monster_dsc_5,어린 불의 정령이다. \n너무 가까이 다가가는 것은 조심해야 한다.,20224,불꽃,2fd8b6c663b0484a980bdd8cdde6bdd6,fire,
2,Monster_name_6,풀푸리,몬스터,94ff71ef69f846f8a4578b6d2df04ef5,Monster_dsc_6,좋고 싫음을 확실하게 표현하는 성격이다. \n\n귀여웠던 푸리 시절을 \n흑역사라고 생각한다. ,20225,포근한 깃털,8cc1608f003a4e149a1d932fecea69b2,sky,
2,Monster_name_7,앵글독,몬스터,94f90669705644fb85003b449ba0f172,Monster_dsc_7,평상시에도 화나 보인다. \n\n사실은 약해 보이지 않으려고 \n일부러 무서운 표정을 짓고 있다. ,20226,고기,e38c954d1ae0453bb167546b64807f59,dust,
2,Monster_name_8,별가리,몬스터,34d9ab87ae014c02a37d5b75e1f2b8c8,Monster_dsc_8,호기심이 많다. \n사람 근처에서 맴도는 모습이 자주 보인다.\n\n가끔 관심을 달라며 물을 뿌리기도 한다. ,20227,별꽃,d6c596fd1d65444187a395278103303f,green,
2,Monster_name_9,리라,몬스터,bdd625ff3f4846d2a68e0a0b54c5d2de,Monster_dsc_9,바다의 생물을 이용해 멜로디를 \n만들 수 있다. \n\n다 같이 모여 연주하는 것을 좋아한다. ,20228,물방울,20bfca442bcb45668644911c1d250a56,green,
2,Monster_name_10,꼬미꼬,몬스터,47285d54ba4a40beac872ba55bdc2d22,Monster_dsc_10,무슨 생각을 하고 있는지 알고 싶다면 \n프로펠러를 보면 된다. ,20229,프로펠러,2de6f925010c4f4c9cee29f9dde52dd7,fire,
2,Monster_name_11,뽀미,몬스터,2eccc104f9114701b2bac18a8d7f3845,Monster_dsc_11,몸을 동그랗게 말아서 자곤 한다. \n가끔 완두콩으로 착각하는 사람들이 있다. ,20230,알,19181b621ff14564a9f356f380e7e334,green,
2,Monster_name_12,화난 별,몬스터,f20793ccb072484b976c157af2d5dcbf,Monster_dsc_12,대장 역할을 좋아한다.\n큰일이 나면 앞장서서 해결한다. ,20231,붉은 별,f6da1b8166da4064932dd02695e6b483,water,
2,Monster_name_13,펀치냥,몬스터,016bc9a459104e2a8a2fea03d7130519,Monster_dsc_13,세상 순수한 눈을 하고 있다. \n\n하지만 화가 나면 야생 본능이 \n깨어날 수 있으니 조심해야 한다. ,20232,작은 뿔,72fe27116f294c5abece7a1e97cf1359,fire,
2,Monster_name_14,미니,몬스터,a03e7cf573a34607adaa9a27996b1d43,Monster_dsc_14,주머니에 넣고 다니고 싶은 \n몬스터 1위에 뽑힌 적이 있다. \n\n여러 마리가 무리 지어 다닌다. ,20233,씨앗,08eb0924d6fa4d58a7867b4bd3098c85,dust,
2,Monster_name_15,까미,몬스터,2b1c3e9f5c344ef6906b228e326f878d,Monster_dsc_15,한 번 폭발하게 되면 \n건물을 통째로 날려버린다는 소문이 있다. ,20234,레드 링,6a9e86776f2c4d90984400e921108208,devil,
2,Monster_name_16,모모,몬스터,498247438e4a4c3ea4cd26889b2caa28,Monster_dsc_16,한겨울에도 모모의 털이 있으면 \n얼어 죽지 않는다. \n\n주 서식지인 눈밭에선 보호색을 \n띠고 있어서 발견하기가 어렵다. ,20235,털뭉치,9e206a15e85e44de827c01d65e97a82a,dust,TRUE
2,Monster_name_17,뱀뱀,몬스터,03865bd69ec24123a1f06107768bf3c4,Monster_dsc_17,천적으로부터 몸을 보호하기 위해 \n늪지대 근처에서 생활한다. \n\n하지만 지나간 자리에 곡선 모양이 \n남아 쉽게 찾을 수 있다. ,20236,뱀 가죽,5c44b6a6385040cea09a0b3dd50884d1,green,TRUE
2,Monster_name_18,보나파,몬스터,3109357701ae41a4bcc7543f52f1f4c3,Monster_dsc_18,큰 생선과 작은 생선이 있을 때 \n무조건 작은 생선만 먹는다. \n\n이 습관은 커서도 변하지 않는다. \n\n비교적 수심이 얕은 곳에서 거주한다. ,20237,펭귄 인형,91d1597bb6c245db875e1b926f693fd0,water,TRUE
2,Monster_name_19,액체괴물,몬스터,1f4eed308edd44d4875fcfc2514db1fd,Monster_dsc_19,장난기가 많다. \n특히 아이들을 놀라게 하는 것을 좋아한다. \n\n몸을 납작하게 만들어 숨는다.,20238,액괴,3202467c01fe49839a5aa00a4ad08a2a,green,TRUE
2,Monster_name_20,아루,몬스터,a49d7a01bd17452598305fd4b3aa194f,Monster_dsc_20,태어난 지 얼마 되지 않아서 \n수영에 미숙하다. \n\n가끔 스쿠파에게 도움을 요청하여 \n함께 바다를 탐험한다.  ,20239,물개 인형,4bf527f2b9c74812b32fe6b37c787753,water,TRUE
3,Monster_name_21,포니,몬스터,65fb313a2fd145f8888afc650d20484d,Monster_dsc_21,몬스터 지휘관이 되기 위해 노력한다. \n\n최근에 가장 관심 있는 것은 리더십이다. ,20240,고운 깃털,c23887240e804e378fa63e820b487ae6,sky,
3,Monster_name_22,글라스독,몬스터,ebded183dd684962bd9b934b0c32f58e,Monster_dsc_22,방문객이 떨어트리고 간 안경을 \n우연히 주워서 착용했다. \n\n마음에 들었는지 항시 착용하고 다닌다. ,20241,선글라스,7039db8838cf463fa12cd96f2c7a5cda,dust,
3,Monster_name_23,별별가리,몬스터,4e13c580c9694258a48ce721945d6e00,Monster_dsc_23,대대손손 꼬리로 해초를 잡아 생존했다. \n\n무엇이든 일단 매달려 보는 습성이 있다. ,20242,말린 꼬리,a3a2f6b4252c4a2b9111ebb9d6c9bc5e,water,
3,Monster_name_24,별파리,몬스터,47a66390a7d248a6ac5b77bd5ec185f6,Monster_dsc_24,바다의 등불이다. \n\n어두운 바다에서 길을 잃었을 때 \n별파리에게 부탁해보자. \n\n가까운 육지까지 안내해준다.,20243,미끄덩 액체,59aacc90e5354e9ba6bf45d5bee51942,water,
3,Monster_name_25,두리두,몬스터,5ff986aafc164f77b274d2181448d5ab,Monster_dsc_25,아직 나이가 어려 \n도적단 가입을 거부당했다. \n\n미래의 도적을 꿈꾸며 \n소리 없이 나는 것을 연습 중이다. ,20244,날개,7b16a771f90e49b7a99c8c4f54e25f96,fire,
3,Monster_name_26,뽐뽀미,몬스터,5b16d0f5c5ac48a9970d69003476439b,Monster_dsc_26,소나무 잎을 제일 좋아해서 \n집에 가득 쌓아두고 먹는다. ,20245,애벌레 인형,6ec1d28429b14a1bb22b02a5e5eb5b31,green,
3,Monster_name_27,픽시,몬스터,6c86fa0a1cfa4041a46bb9297b2f895f,Monster_dsc_27,마법으로 장난치는 것을 좋아한다. \n\n개구리로 변신해 주인을 놀라게 한다. ,20246,별빛 조각,d3b052a8877a4460bb801c4aebea442c,fire,
