name,item_ui_y,shadow_x_scale,shadow_y_scale,Thumbnail_x,Thumbnail_y,idle_ruid,walk_ruid
푸리,0.7,0.5,0.5,0.97,1,de2da91bcdab468995f940ace3e54475,6da58f8e04ed4b2abf7d82310efa89d7
벼리,0.75,0.4,0.4,1,0.97,630113c26b334b90b77938a56630bfef,a5eeac5b7ca14ca7933012b2987fbe33
핍,0.75,0.45,0.45,1,0.97,0a075016438f43b0b0cefe13720edc49,2f7700012b7e49399595932f9ef8e1ac
라라,1.1,0.45,0.45,0.76,1,8a938de367fc4b7da261d67fd46cdc25,0c47843470c34f02af80b0e6de55ae4c
꼬미,1,0.45,0.45,1,0.61,5869ea9baa7d40adae57702542b7cac8,da6681cf912e444389b19c4ee596b06b
풀푸리,0.8,0.5,0.5,0.86,1,94ff71ef69f846f8a4578b6d2df04ef5,8be3493f73ba4bd9ad896e201b77afcf
앵글독,0.8,0.8,0.6,1,0.57,0220552f300c4a9f9a4a5b806f4df2f8,94f90669705644fb85003b449ba0f172
별가리,1.1,0.5,0.5,0.65,1,abd150de261a4f9aa98feac97f81d340,a04271c2a13f49599ceb454934d9d654
리라,1.5,0.5,0.5,0.93,1,bdd625ff3f4846d2a68e0a0b54c5d2de,bdd625ff3f4846d2a68e0a0b54c5d2de
꼬미꼬,1.3,0.6,0.4,0.69,1,47285d54ba4a40beac872ba55bdc2d22,47285d54ba4a40beac872ba55bdc2d22
뽀미,0.9,0.65,0.45,1,0.86,2eccc104f9114701b2bac18a8d7f3845,f5f4d35b8e7f4c6599b6598ec1023c5a
화난 별,0.75,0.4,0.4,1,0.97,f20793ccb072484b976c157af2d5dcbf,84197f22325e41caacaa46d8b4e3b356
펀치냥,0.7,0.4,0.4,0.81,1,016bc9a459104e2a8a2fea03d7130519,966306ea1fca44fe861a2b6e7043e15d
미니,0.9,0.65,0.5,1,0.67,a03e7cf573a34607adaa9a27996b1d43,a264159818ce480ca101359f670785c7
까미,0.9,0.45,0.45,0.79,1,2b1c3e9f5c344ef6906b228e326f878d,2b1c3e9f5c344ef6906b228e326f878d
모모,0.8,0.4,0.35,1,1,498247438e4a4c3ea4cd26889b2caa28,06a45ac974274fd498b6489d2e79ee8c
