아이템이름,아이콘RUID
ChairName_1,6456dfd58a694f04acca1cb517787230
AchiReward_PetEgg,354f7770bded480b98c003aa3e068dc4
PlayerTitle_Name_1,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_2,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_3,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_4,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_5,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_6,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_7,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_8,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_9,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_10,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_11,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_12,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_13,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_14,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_15,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_16,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_17,b3e964f355d94ecb83a3722000d7df0c
AchiReward_EmotToken,64cef85ec16149f1aad9bff60c4c25ab
CurrencyItemName_6,e2773121146a443d96e701df6ea74f51
CurrencyItemName_2,fb14328ed2164b5b972c8e8a98e82ed7
PlayerTitle_Name_18,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_19,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_20,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_21,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_22,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_23,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_24,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_25,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_26,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_27,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_28,b3e964f355d94ecb83a3722000d7df0c
PlayerTitle_Name_29,b3e964f355d94ecb83a3722000d7df0c
