Name,iconbackRUID,IconRUID,Desc,DetailDesc,Price,FilterType
DailyReward_NRBox,d5f72796e87647fab528eeec3b04805e,0381a6f33326484abe239a557fe204b2,/ui/InventoryGroup/Inventory/DetailInfoPopup_RelicBox/Panel/FlavorText,RelicBox_ProbTableText_Normal,400,3
DailyReward_HRRBox,db5d4ddb2d3f4c659fcb160df0fb1cab,00b2393673bd4944a37b563039aa12d9,/ui/InventoryGroup/Inventory/DetailInfoPopup_RelicBox/Panel/FlavorText,RelicBox_ProbTableText_HighRank,700,3
ConsumableItemName_3,,153b3ba43b38442b90edef6e7218c233,ConsumableItemDesc_3,,1200,1
ConsumableItemName_4,,55ce8199707448318f0b58340df16b56,ConsumableItemDesc_4,,1200,1
ConsumableItemName_5,,c75e8794b6c6448c83e25f9996083289,ConsumableItemDesc_5,,400,2
ConsumableItemName_6,,fc8a27078dad4a60adb633b61cc64a13,ConsumableItemDesc_6,,400,2
ConsumableItemName_7,,f24ad853f2cc4d79bd24add2ad7b21b7,ConsumableItemDesc_7,,400,2
ConsumableItemName_8,,034e4bbaa6b94f94a69ede00239285d2,ConsumableItemDesc_8,,400,2
ConsumableItemName_9,,96c0fc60035842159eb59d390342e7d3,ConsumableItemDesc_9,,400,2
ConsumableItemName_10,,b0662552a96b4161a5c544c81de700ec,ConsumableItemDesc_10,,400,2
ConsumableItemName_11,,180a8bd82b53413192ac0710a5c9ba02,ConsumableItemDesc_11,ConsumableItemDetailDesc_11,3000,3
