아이템이름,IconRUID,등급,설명,가치,타입
60101,06e60b8b97f941feb79f2a71256035a8,Grade_1,60401,10,MineralType1
60102,fa8d9b0b161b4d8b825113721715d3c8,Grade_1,60402,15,MineralType1
60103,7efe7eb94ebc48878ebe4b1592295a15,Grade_1,60403,20,MineralType1
60104,67d3f7b618a24125a24c4ea4f25d9a6f,Grade_2,60404,200,MineralType2
60105,93457de0d6f8414b9e8c8a27e5378ab9,Grade_2,60405,750,MineralType2
60106,de1a8cfba8b0424db4be056520e795cf,Grade_2,60406,1500,MineralType2
60107,79f438d0427142f09f979b58e982b1bd,Grade_2,60407,3000,MineralType2
60108,7ac77c77fdc0480080303b2dc0b96c35,Grade_2,60408,6000,MineralType2
60109,914eb87802b64924b5f78bb97a55faeb,Grade_2,60409,4500,MineralType2
60110,d7429bc723034933b9b51de9b6b912fc,Grade_2,60410,9000,MineralType2
60111,6b88af87fdc642b78f484391d36743de,Grade_2,60411,11250,MineralType2
60112,889c35cd3890468ea404e24fd36a9e12,Grade_2,60412,22500,MineralType2
60113,4bad190b58cf42ec9ea619b8060ba865,Grade_3,60413,28500,MineralType2
60114,c23750942e9b4cf18c2b4aee246fadd0,Grade_3,60414,57000,MineralType2
60115,925c22d16d264bbcacd81f62dad951aa,Grade_3,60415,42750,MineralType2
60116,f518eba5c5c540e7b817de12a04431cf,Grade_3,60416,85500,MineralType2
60117,040c3648f57648ce9a87cfede3aa8b22,Grade_3,60417,105000,MineralType2
60118,b244baf75a1c4e2981b06ab6530934a4,Grade_3,60418,210000,MineralType2
60119,9dd30e4a48cf4fa69c68ab940281ba9f,Grade_3,60419,240000,MineralType2
60120,63240b9ee954422f90ef7073a97ccb75,Grade_3,60420,480000,MineralType2
60121,243bdf3d54e14de6ba671659649d5d6b,Grade_4,60421,360000,MineralType2
60122,e19dfdcf384f4e168b286672bc785a72,Grade_4,60422,720000,MineralType2
60123,86c8f27dc390450a9840595d5ba89289,Grade_4,60423,825000,MineralType2
60124,471b92d3f51042c0b50e04297ec5e4cb,Grade_4,60424,1650000,MineralType2
60125,28144012cbc742d1a2af27603ff63ce2,Grade_4,60425,1950000,MineralType2
60126,56ca9484dafb461894d9ad107a41473e,Grade_4,60426,3900000,MineralType2
60127,089bfb6f9c8845f8bea1cc28ded7e800,Grade_4,60427,2925000,MineralType2
60128,ce803b9618e54e2cad211563a2b72a35,Grade_4,60428,5850000,MineralType2
60129,b84dd7e134f74eba81dbcfd56b3cec53,Grade_4,60429,6375000,MineralType2
60130,a54126dfec8f44689a9f7d84fb4c5b11,Grade_4,60430,12750000,MineralType2
60131,9d35513ad6e04d87b90d875f64c62be2,Grade_4,60431,14250000,MineralType2
60132,9b1796a9a66d4248bcee8af6464dfb0e,Grade_4,60432,28500000,MineralType2
60133,cdd37f9696514f8d939f9b7c251db2a7,Grade_4,60433,22500000,MineralType2
60134,6124592434bd4349bae5332af9dd5f97,Grade_4,60434,45000000,MineralType2
60135,df792d1e1b554727860cb6e050600b86,Grade_5,60435,56250000,MineralType2
60136,2a3f1a35d46c420197467cb92b3fe42b,Grade_5,60436,112500000,MineralType2
60137,ca85b65333024151a74355b0997ee0a9,Grade_5,60437,168750000,MineralType2
60138,765a17a20dd44f75851fc0229db68168,Grade_5,60438,337500000,MineralType2
60139,3a949b36c739411994c857b5fcbfc719,Grade_5,60439,525000000,MineralType2
60140,5a7405818a3c40358ea16907e6cb4c75,Grade_5,60440,1050000000,MineralType2
60141,4854135ad37a434b8c4f22539e532186,Grade_5,60441,1312500000,MineralType2
60142,59cac3585e854cc59b0fd349315736c2,Grade_5,60442,3750000000,MineralType2
60143,41d3f58291f54f039739331fd75884ab,Grade_4,60443,10000,MineralType3
60144,4d7d3a78602c437c93862f53539ef674,Grade_4,60444,10000,MineralType3
60145,5dcc8ef695084518931b16b4c041b00a,Grade_4,60445,10000,MineralType3
60146,10327b238eb2421eb1adc284d710d501,Grade_4,60446,10000,MineralType3
60147,6aacd68917c04f32a3d22107c38b796a,Grade_4,60447,10000,MineralType3
60148,f298b8cb7e1445f68c9ae4954dc30738,Grade_4,60448,10000,MineralType3
60149,295f68516f8c4cd2873cf4aeaf56d35c,Grade_4,60449,10000,MineralType3
