name,RUID,flavorText
EmblemName1,241a73318278499385b1f7a8884a405f,
EmblemName2,2570bff32a5c45ec906f782a15cf2f14,
EmblemName3,330abad733334551a73ce41ac4388987,
EmblemName4,42bfd63afef2420384d857663266e85f,
EmblemName5,6e62dbdf164d4a29bb4b81f58068c3fb,
EmblemName6,763ed51af22d447babd0e641c45922a0,
EmblemName7,8c7a40b0b6c84c419cbb70aebbf07086,
EmblemName8,90d1fd14ec4e47688d6305dfbcedb245,
EmblemName9,944caab4c8c64b2c9369f3095d2cad31,
EmblemName10,969c22aa517c45a78079ab40abce0672,
EmblemName11,980e66dd1f4e474389dbab656dbb91db,
EmblemName12,b5a7ba34eb714618bcffc4c2605a219c,
EmblemName13,be59894714334fed892febd507a4d997,
EmblemName14,ce1d2af6d37747a98b07b95b825ce1a3,
EmblemName15,fde13a1b19e241f2b15dd1ee859a906c,
EmblemName16,bcc135bfe8734499a2ea88d29d1ad768,
