이름,ruid,LocalPosX,LocalPosY
6001,0a16a50420f64e40b71cdee56930cc1c,0,-50
6002,026c024cd0e04c02bbac2b457571c218,0,-30
6003,2ebb2b370b2540ddb002d178edd12c36,0,-50
6004,14961505c6804264a32181ffaf1d520a,0,-50
6005,0e40987e35ee4b83b3c316c547a2a093,0,-30
6006,00e4d822d8f84539b5737d3853a0985c,0,-30
6007,005fa9e246c84ef797a0678847864ef0,10,-120
6008,01af56855d51471f8d6703ce572ee979,95,-65
6009,0d48b3a6bf3641608c89af4f41972b17,71,66
6010,1b3aff3f219d46f1bc0f43886ae168e2,-30,10
6011,5d4019c8aeb34b44b3ddb827c176354d,0,-20
6012,7784edabe86c4ac4a69c9507772dc6a2,0,-250
6013,00f5fe4c56e04200ab4726860f3642b7,0,-50
6014,052fa16147d9414281523ef9f7cf48aa,0,-50
6015,31026b41330e47879f6545ad9ce5e4a3,0,-70
