구매비용,채광도구 이름,채광력,플레이버텍스트,작업복 이름,체력,플레이버텍스트-copy6,가방 이름,가방,플레이버텍스트-copy9,신발 이름,이동속도,플레이버텍스트-copy12,기력
400,10201,1,10401,10501,20,10701,10801,60,11001,11101,0.007,11301,2
800,10202,2,10402,10502,40,10702,10802,90,11002,11102,0.0074,11302,2.15
1200,10203,3,10403,10503,60,10703,10803,120,11003,11103,0.0078,11303,2.3
1600,10204,4,10404,10504,80,10704,10804,150,11004,11104,0.0082,11304,2.45
2000,10205,5,10405,10505,100,10705,10805,180,11005,11105,0.0086,11305,2.6
8000,10206,10,10406,10506,140,10706,10806,370,11006,11106,0.009,11306,2.75
14000,10207,15,10407,10507,180,10707,10807,800,11007,11107,0.0094,11307,2.9
20000,10208,20,10408,10508,220,10708,10808,1200,11008,11108,0.0098,11308,3.05
26000,10209,25,10409,10509,260,10709,10809,1600,11009,11109,0.0102,11309,3.2
50000,10210,30,10410,10510,300,10710,10810,2000,11010,11110,0.0106,11310,3.35
100000,10211,65,10411,10511,480,10711,10811,4000,11011,11111,0.011,11311,3.5
150000,10212,100,10412,10512,660,10712,10812,6000,11012,11112,0.0114,11312,3.65
200000,10213,150,10413,10513,840,10713,10813,8000,11013,11113,0.0118,11313,3.8
250000,10214,225,10414,10514,1020,10714,10814,10000,11014,11114,0.0122,11314,3.95
500000,10215,325,10415,10515,1200,10715,10815,12400,11015,11115,0.0126,11315,4.1
1000000,10216,500,10416,10516,1860,10716,10816,25000,11016,11116,0.013,11316,4.25
1500000,10217,750,10417,10517,2520,10717,10817,48000,11017,11117,0.0134,11317,4.4
2000000,10218,1250,10418,10518,3180,10718,10818,75000,11018,11118,0.0138,11318,4.55
2500000,10219,1750,10419,10519,3840,10719,10819,100000,11019,11119,0.0142,11319,4.7
5000000,10220,2750,10420,10520,4500,10720,10820,125000,11020,11120,0.0146,11320,4.85
10000000,10221,4000,10421,10521,7020,10721,10821,200000,11021,11121,0.015,11321,5
15000000,10222,6000,10422,10522,9540,10722,10822,340000,11022,11122,0.0154,11322,5.15
20000000,10223,9000,10423,10523,12060,10723,10823,500000,11023,11123,0.0158,11323,5.3
25000000,10224,13000,10424,10524,14580,10724,10824,640000,11024,11124,0.0162,11324,5.45
50000000,10225,20000,10425,10525,17100,10725,10825,800000,11025,11125,0.0166,11325,5.6
75000000,10226,30000,10426,10526,26640,10726,10826,1200000,11026,11126,0.017,11326,5.75
100000000,10227,45000,10427,10527,36180,10727,10827,1600000,11027,11127,0.0174,11327,5.9
125000000,10228,65000,10428,10528,45720,10728,10828,2000000,11028,11128,0.0178,11328,6.05
150000000,10229,100000,10429,10529,55260,10729,10829,2300000,11029,11129,0.0182,11329,6.2
200000000,10230,150000,10430,10530,64800,10730,10830,5000000,11030,11130,0.0186,11330,6.35
500000000,10231,225000,10431,10531,100980,10731,10831,7000000,11031,11131,0.019,11331,6.5
800000000,10232,325000,10432,10532,137160,10732,10832,14000000,11032,11132,0.0194,11332,6.65
1100000000,10233,500000,10433,10533,173340,10733,10833,21000000,11033,11133,0.0198,11333,6.8
1400000000,10234,750000,10434,10534,209520,10734,10834,28000000,11034,11134,0.0202,11334,6.95
2000000000,10235,1250000,10435,10535,245700,10735,10835,35000000,11035,11135,0.0206,11335,7.1
4000000000,10236,1750000,10436,10536,382860,10736,10836,150000000,11036,11136,0.021,11336,7.25
6000000000,10237,2750000,10437,10537,520020,10737,10837,180000000,11037,11137,0.0214,11337,7.4
8000000000,10238,4000000,10438,10538,657180,10738,10838,210000000,11038,11138,0.0218,11338,7.55
10000000000,10239,6000000,10439,10539,794340,10739,10839,240000000,11039,11139,0.0222,11339,7.7
40000000000,10240,9000000,10440,10540,931500,10740,10840,1100000000,11040,11140,0.0226,11340,7.85
