레벨,보너스 등장확률,보석광맥 확률,화석,돈,유물,의자,장신구
1,0.1,0.8,0,0.19,0,0.01,0
2,0.1025,0.8,0,0.19,0,0.01,0
3,0.105,0.8,0,0.19,0,0.01,0
4,0.1075,0.8,0,0.19,0,0.01,0
5,0.11,0.75,0.05,0.19,0,0.01,0
6,0.1125,0.747,0.053,0.19,0,0.01,0
7,0.115,0.744,0.056,0.19,0,0.01,0
8,0.1175,0.741,0.059,0.19,0,0.01,0
9,0.12,0.733,0.062,0.19,0.005,0.01,0
10,0.1225,0.725,0.065,0.19,0.01,0.01,0
11,0.125,0.717,0.068,0.19,0.015,0.01,0
12,0.1275,0.709,0.071,0.19,0.02,0.01,0
13,0.13,0.701,0.074,0.19,0.025,0.01,0
14,0.1325,0.693,0.077,0.19,0.03,0.01,0
15,0.135,0.685,0.08,0.19,0.035,0.01,0
16,0.1375,0.677,0.083,0.19,0.04,0.01,0
17,0.14,0.669,0.086,0.19,0.045,0.01,0
18,0.1425,0.661,0.089,0.19,0.05,0.01,0
19,0.145,0.653,0.092,0.19,0.055,0.01,0
20,0.1475,0.645,0.095,0.19,0.06,0.01,0
21,0.15,0.637,0.098,0.19,0.065,0.01,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0.15,0.4,0.03,0.47,0,0,0.1
