Name,IconRUID,FlavorText,Grade
RelicName_1,8ac745d27daf4f9eb413bf1438cea3b2,RelicDesc_1,Grade_2
RelicName_2,6355b727b5c74fa19109336f9302b1f4,RelicDesc_2,Grade_2
RelicName_3,2bcff2756bf248969882eb3d1b0f7426,RelicDesc_3,Grade_2
RelicName_4,f883858c8a01499884b9ec69a487be3f,RelicDesc_4,Grade_2
RelicName_5,410bd1a103ca4fecb5ad1dc1be3c0267,RelicDesc_5,Grade_2
RelicName_6,40ca78bc8bbb44449f2864ccb29caa30,RelicDesc_6,Grade_2
RelicName_7,464e0f6f33964413a1e731478522aeb2,RelicDesc_7,Grade_2
RelicName_8,e41ad028e5be4483a846ab32a662a6d1,RelicDesc_8,Grade_2
RelicName_9,bb74f915323b4a8b9c47f6fdff1e2f58,RelicDesc_9,Grade_2
RelicName_10,f3dd00fc73784491aec0979be357243b,RelicDesc_10,Grade_2
RelicName_11,2b8fcf1149ac46dca609d91952eecf65,RelicDesc_11,Grade_2
RelicName_12,263b49e7d9c54f508f6b7a5ba7265ab5,RelicDesc_12,Grade_2
RelicName_13,3028ba0a09584dc890606b30cb5c3d8a,RelicDesc_13,Grade_2
RelicName_14,48fe33fcdc8a4e11bac007edab57fc04,RelicDesc_14,Grade_2
RelicName_15,7dc9475a8b32492093375fc72eeeb121,RelicDesc_15,Grade_2
RelicName_16,8b52311d796247b8be08adb0b7f39fe3,RelicDesc_16,Grade_2
RelicName_17,929d27f3d61e44479659198416f4ef21,RelicDesc_17,Grade_2
RelicName_18,e3c6dd414727486c8fe04c6e2b2b1f73,RelicDesc_18,Grade_2
RelicName_19,475369c5ce68432ea9127e1fe77d4942,RelicDesc_19,Grade_2
RelicName_20,38ad7ea4978d418b92590205902be1ba,RelicDesc_20,Grade_2
RelicName_21,0f4b20de37034d9fb0b44ab5e6234706,RelicDesc_21,Grade_2
RelicName_22,aab33dc1c7c0468fa3f0c86baf46749b,RelicDesc_22,Grade_2
RelicName_23,ccc798433c8947dfaab8662f3c135c97,RelicDesc_23,Grade_2
RelicName_24,90ab5103a61c4e919ca94beba5babfdb,RelicDesc_24,Grade_2
RelicName_25,2983c689bb914a6793b6a53e8edf834d,RelicDesc_25,Grade_2
RelicName_26,7720551ad33b4a3a82ae7fe9dd46f3cb,RelicDesc_26,Grade_2
RelicName_27,727047c7379e4f3cae5d6883cab4a2b1,RelicDesc_27,Grade_2
RelicName_28,b4d01db53b424753b1596cf6a63be944,RelicDesc_28,Grade_2
RelicName_29,d036f6081e4949f192f89a77153b194f,RelicDesc_29,Grade_2
RelicName_30,ca1b362c7bb447d9b8f6772fee2b9ed0,RelicDesc_30,Grade_2
RelicName_31,1e55e38ad6a84b0d937880e1675ac3a4,RelicDesc_31,Grade_2
RelicName_32,ca56486c7c394341b8e845653fb8ed73,RelicDesc_32,Grade_2
RelicName_33,a929fdde335b4a36b6d14b0c65e13f4b,RelicDesc_33,Grade_2
RelicName_34,b45e3d525fbc48d384215175445f9cfa,RelicDesc_34,Grade_2
RelicName_35,4bdf1fc2c72e4a7c969a0ecdfb5b5085,RelicDesc_35,Grade_2
RelicName_36,57676f52a538428b9a4ab984b67e22da,RelicDesc_36,Grade_2
RelicName_37,6ce7cba3fc654e26aa26abf27c7d64a6,RelicDesc_37,Grade_2
RelicName_38,ef79ea7f4ee0416c8d9ed1e223f4f6a9,RelicDesc_38,Grade_2
RelicName_39,2b86cf4d5c094923990b7e5fd9ca0b17,RelicDesc_39,Grade_2
RelicName_40,9e35f71b3c9f489889f9fd62054cdcee,RelicDesc_40,Grade_2
RelicName_41,001ad75a3f66488cb2804a84ed2cb732,RelicDesc_41,Grade_3
