이름,NameTagRUID,FontColor,획득 업적 명,보유효과,보유효과수량,장착효과1,장착효과수량1,장착효과2,장착효과수량2,장착효과3,장착효과수량3,#NAME?,#NAME?-copy13
PlayerTitle_Name_1,0f285b280d5c4213af9c9331598e4db4,black,Achi_Objective_1,8002,5,8005,12,,,,,,
PlayerTitle_Name_2,07fd8c560de74afcb70cb3410d4eb1aa,white,Achi_Objective_10,8005,5,8005,6,8006,6,,,,
PlayerTitle_Name_3,07f15179bbf644528bdb8d83167d8d1e,white,Achi_Objective_11,8005,8,8004,6,8005,6,,,,
PlayerTitle_Name_4,11458f33b2d5413f95bc9622fbad6f7d,white,Achi_Objective_12,8005,11,8001,4,8004,4,8006,4,,
PlayerTitle_Name_5,10db12a13f844469bab0f2597a7189dc,white,Achi_Objective_13,8005,14,8004,4,8006,4,8009,4,,
PlayerTitle_Name_6,0f402fc032124a6e9561f5910da85ccf,white,Achi_Objective_14,8005,17,8002,4,8004,4,8009,4,,
PlayerTitle_Name_7,15382b55b3d24b4dbebbb63e2e82bfa2,white,Achi_Objective_15,8005,20,8001,6,8002,6,,,,
PlayerTitle_Name_8,0704b0cd902c4107a1120bd8eb6d8c4c,white,Achi_Objective_16,8005,23,8008,12,,,,,,
PlayerTitle_Name_9,11458f33b2d5413f95bc9622fbad6f7d,white,Achi_Objective_17,8001,2,8002,6,8005,6,,,,
PlayerTitle_Name_10,0331fa82a70d4f5eaef0dcbc848752f8,black,Achi_Objective_18,8001,4,8001,4,8002,4,8008,4,,
PlayerTitle_Name_11,0ca00e1bb19e4b0b83ab1edc10e6dfe9,white,Achi_Objective_19,8001,6,8004,4,8005,4,8008,4,,
PlayerTitle_Name_12,0cd370926c0c4ac199647409a8aabff1,white,Achi_Objective_20,8001,8,8002,6,8004,6,,,,
PlayerTitle_Name_13,0cc34df5ffc341369d5836725cd43cd5,white,Achi_Objective_21,8001,10,8001,12,,,,,,
PlayerTitle_Name_14,04ee8fd598ea45ac99b2d4a39affa413,white,Achi_Objective_22,8002,3,8004,6,8009,6,,,,
PlayerTitle_Name_15,088599fa3bcf401298b86398593dd416,white,Achi_Objective_23,8002,6,8006,4,8008,4,8009,4,,
PlayerTitle_Name_16,053701db07e04d6d9f47022d39c34c93,black,Achi_Objective_24,8002,9,8008,6,8009,6,,,,
PlayerTitle_Name_17,15bc85f0aaa14ee2a67bc2ec01511414,white,Achi_Objective_25,8002,12,8002,12,,,,,,
PlayerTitle_Name_18,e45a1dc2c70645bc9e33bc36b8c12bf3,white,Achi_Objective_33,8008,3,8005,15,,,,,신석획득1,신화 수호자
PlayerTitle_Name_19,6f72f51348af4438bfcb5f5308a05ae8,white,Achi_Objective_38,8008,3,8006,15,,,,,신석획득2,신화 탐구가
PlayerTitle_Name_20,e1bac8f9a9b846628721f996c0ff2f4c,black,Achi_Objective_45,8008,3,8009,15,,,,,신석획득3,신화 기록가
PlayerTitle_Name_21,70feca2c4005455d96dc9de595382154,white,Achi_Objective_46,8008,3,8008,15,,,,,신석획득4,신화의 주인
PlayerTitle_Name_22,a971a62bd516479e938f3be62ff8ae87,white,Achi_Objective_47,8008,3,8010,15,,,,,신석획득5,신화 창조자
PlayerTitle_Name_23,f216457b50904a20a08b291695923f81,white,Achi_Objective_37,8008,3,8001,15,,,,,장신구합성,황금 곡괭이
PlayerTitle_Name_24,94e8508bd4584928bf85c504d2bdb0a4,white,Achi_Objective_39,8008,3,8002,15,,,,,신화장비레벨올리기,붉은 심장
PlayerTitle_Name_25,ff7dc72451af4cae8c729505982f0f26,white,Achi_Objective_40,8008,3,8003,15,,,,,장신구숙련도레벨올리기,여유로운 마음
PlayerTitle_Name_26,709ceb23d48741d88e4bd6c05e243577,white,Achi_Objective_41,8010,4,8001,5,8002,5,8003,5,공허1,혼돈
PlayerTitle_Name_27,74700e0e93c04f0e984718608ab56e5c,white,Achi_Objective_42,8010,4,8005,8,8006,8,,,공허2,파수꾼
PlayerTitle_Name_28,29aa897749524646856b3010170fdc5c,white,Achi_Objective_43,8010,4,8008,8,8009,8,,,공허3,개척자
PlayerTitle_Name_29,cbdedc4e81574449ba3881aa2bff149f,white,Achi_Objective_44,8010,4,8010,15,,,,,공허4,태초
