Name,IconRUID,Desc,CurrentAbilityDesc,MaxLevel,InitAbility,AbilityPerLevel,AbilityUnit
VoidItemName1,b7e9cf688662443dac2d14367cd59940,VoidItemDesc1,VoidItemAbility1,2147483647,0,20000000,
VoidItemName2,e63115d08fbd4d978e91fa4fdc2f9871,VoidItemDesc2,VoidItemAbility2,2147483647,0,2000000,
VoidItemName3,bc7d09fc79af46d3b14ca27cdd0196cc,VoidItemDesc3,VoidItemAbility3,2147483647,0,2000000000,
VoidItemName4,89d784dc474846d5891dafa1559fa4d9,VoidItemDesc4,VoidItemAbility4,2147483647,10,1,%
VoidItemName5,2b756863931347b2b71e450ba63d608d,VoidItemDesc5,VoidItemAbility5,2147483647,500000,250000,
VoidItemName6,83f6ca0a7f5448c28418fcdc6be68bc5,VoidItemDesc6,VoidItemAbility6,2147483647,500000,250000,
VoidItemName7,caf8471fac4142dd9b318e1044ddf7c6,VoidItemDesc7,VoidItemAbility7,280,100,5,%
VoidItemName8,fdda290ab623428987eb0d752a9391bf,VoidItemDesc8,VoidItemAbility8,30,10,3,%
VoidItemName9,dd3a497cf36c4c46aba1000449445ffa,VoidItemDesc9,VoidItemAbility9,30,3,1,%
VoidItemName10,5bdd663e043744d3b0d458d2cbc365fd,VoidItemDesc10,VoidItemAbility10,45,10,2,%
VoidItemName11,6b2f54e8eab14f9fb190f363a04ba747,VoidItemDesc11,VoidItemAbility11,30,10,3,%
VoidItemName12,2a61185d90964bb79b677d50fb9e8c13,VoidItemDesc12,VoidItemAbility12,30,10,3,%
VoidItemName13,5ef7d7b9f3544c4e8b238d4031d6139a,VoidItemDesc13,VoidItemAbility13,30,0,4,%
VoidItemName14,44697eca818046849548d8f6d55a65a8,VoidItemDesc14,VoidItemAbility14,10,0,2,
VoidItemName15,5151ede83de4468babb29b045dfe5604,VoidItemDesc15,VoidItemAbility15,45,5,1,%
VoidItemName16,99aa1f09b5c848b0a0c48e0018967ad8,VoidItemDesc16,VoidItemAbility16,30,10,2,%
VoidItemName17,96cc6e14a0fb49cd9f5ad9fef9b71e51,VoidItemDesc17,VoidItemAbility17,40,1,0.05,%
VoidItemName18,76cf77cb3c6f47669017d90ec9730ff0,VoidItemDesc18,VoidItemAbility18,30,10,3,%
VoidItemName19,9257febe9cf04beeb06c275bd605f5b2,VoidItemDesc19,VoidItemAbility19,10,0,2,
VoidItemName20,8c08e848722442a8825b70b2d2a02c32,VoidItemDesc20,VoidItemAbility20,30,5,1,%
