userLevel,gold,scroll,essence,diamond
1,75,1,1,0
2,100 ,3,1,0
3,125 ,4,1,0
4,200 ,6,1,0
5,250 ,7,1,0
6,425 ,18,2,0
7,425 ,18,2,0
8,900 ,20,3,0
9,900 ,20,3,0
10,975 ,22,3,0
11,1775 ,55,3,0
12,1775 ,55,3,0
13,3550 ,59,7,0
14,3550 ,59,7,0
15,3950 ,65,7,0
16,7325 ,142,8,0
17,7325 ,142,8,0
18,14625 ,141,15,0
19,14625 ,141,15,0
20,15850 ,153,17,0
21,29250 ,358,19,0
22,29250 ,358,19,0
23,58525 ,347,37,0
24,58525 ,347,37,0
25,63700 ,378,40,0
26,117025 ,856,45,0
27,117025 ,856,45,0
28,234050 ,816,85,0
29,234050 ,816,85,0
30,256000 ,893,93,0
31,468125 ,1920,99,0
32,477700 ,1960,102,0
33,955400 ,1772,184,0
34,956425 ,1772,184,0
35,1024000 ,1898,197,0
36,1910775 ,4304,221,0
37,1910775 ,4304,221,0
38,3821575 ,3971,410,0
39,3825675 ,3971,410,0
40,4111425 ,4272,441,0
41,7651325 ,9786,501,0
42,7643125 ,9786,501,0
43,15286275 ,8960,922,0
44,15286275 ,8960,922,0
45,16453400 ,9638,992,0
46,30572550 ,21367,1092,0
47,30605300 ,21367,1092,0
48,61145100 ,20785,1517,0
49,61210625 ,20785,1517,0
50,65782725 ,14168,1632,0
51,65782725 ,14168,1632,0
52,65782725 ,14168,1632,0
53,65782725 ,14168,1632,0
54,65782725 ,14168,1632,0
55,65782725 ,14168,1632,0
56,65782725 ,14168,1632,0
57,65782725 ,14168,1632,0
58,65782725 ,14168,1632,0
59,65782725 ,14168,1632,0
60,65782725 ,14168,1632,0
61,65782725 ,14168,1632,0
62,65782725 ,14168,1632,0
63,65782725 ,14168,1632,0
64,65782725 ,14168,1632,0
65,65782725 ,14168,1632,0
66,65782725 ,14168,1632,0
67,65782725 ,14168,1632,0
68,65782725 ,14168,1632,0
69,65782725 ,14168,1632,0
70,65782725 ,14168,1632,0
71,65782725 ,14168,1632,0
72,65782725 ,14168,1632,0
73,65782725 ,14168,1632,0
74,65782725 ,14168,1632,0
75,65782725 ,14168,1632,0
76,65782725 ,14168,1632,0
77,65782725 ,14168,1632,0
78,65782725 ,14168,1632,0
79,65782725 ,14168,1632,0
