id,name,attack,hp,exp,minGem,maxGem,type,dropId,monsterLevel,fieldSpeedRatio,firstEntranceSectionNum,firstEntranceDropEssenceId,Chapter,originalHP
Pudgy Flower,통통꽃,15,1300,1,16,31,monster,900001,1,0.35,2,105_000002,1,27
Toxiblossom,독독꽃,15,2151,2,17,33,monster,900001,2,0.35,2,105_000002,1,78
Hoppin' Sprout,토기 토끼,35,4910,3,18,37,monster,900001,3,0.36,1,105_000002,1,47
EliteBoss_Toxiblossom,엘리트 독독꽃,53,55010,20,24,47,boss,900017,4,0.36,4,105_000002,1,6530
Chargin' Sprout,향로 토끼,35,7882,5,19,39,monster,900001,5,0.36,2,105_000002,1,117
Log-a-Rhythmic Bugs,나무 숲 벌레,70,12201,7,20,41,monster,900001,7,0.36,5,105_000002,1,131
Sparkinstone Bugs,돌돌 숲 벌레,70,14144,8,21,42,monster,900001,8,0.36,5,105_000002,1,154
EliteBoss_Chargin' Sprout,엘리트 향로 토끼,105,136074,40,26,51,boss,900018,8,0.37,1,105_000002,1,12812
Ruins Guardian,유적 방어병,105,16011,9,21,42,monster,900001,9,0.37,5,105_000002,1,304
green_slime,초록 슬라임,105,17278,10,21,42,monster,900002,10,0.37,11,105_000003,1,350
Ruins Sentinel,유적 공격병,140,32419,11,23,45,monster,900001,11,0.37,5,105_000002,1,449
ribbon_pig,리본돼지,140,36383,12,23,46,monster,900002,12,0.38,11,105_000003,1,490
EliteBoss_Sparkinstone Bugs,엘리트 돌돌 숲 벌레,210,433351,60,28,56,boss,900019,12,0.38,9,105_000002,1,50898
buggy,부기,175,49962,14,23,47,monster,900002,14,0.38,10,105_000003,1,622
snail_big,이끼달팽이,175,91563,16,25,50,monster,900002,16,0.38,11,105_000003,1,733
EliteBoss_Ruins Sentinel,엘리트 유적 공격병,263,997386,80,30,60,boss,900020,16,0.38,6,105_000002,1,128792
Thorny Bramble,뾰족 가시 나무,210,93944,17,25,50,monster,900002,17,0.39,16,105_000003,1,819
Forest Howlet,숲의 울음꾼,245,138210,20,26,51,monster,900002,20,0.39,11,105_000003,1,909
EliteBoss_Thorny Bramble,엘리트 뾰족 가시 나무,368,1509888,100,31,62,boss,900021,20,0.39,10,105_000003,1,280017
Sparrow,참새,245,167825,21,26,52,monster,900002,21,0.39,14,105_000003,1,928
Night Howlet,밤의 울음꾼,245,166952,22,26,52,monster,900002,22,0.39,11,105_000003,1,1000
Hay Bundle,지푸라기 뭉치,280,188065,23,26,53,monster,900002,23,0.4,13,105_000003,1,1086
Blue Spring Sprite,푸른 샘의 정령,280,195718,23,26,53,monster,900002,23,0.4,12,105_000003,1,1162
EliteBoss_Blue Spring Sprite,엘리트 푸른 샘의 정령,420,1843558,120,31,63,boss,900022,24,0.4,0,105_000003,1,451473
Dust Bundle,먼지 뭉치,280,217359,25,27,53,monster,900002,25,0.4,0,105_000003,1,1577
Forest Glimmerfox,숲의 파수꾼,315,237426,26,27,54,monster,900002,26,0.41,15,105_000003,1,1580
Night Glimmerfox,밤의 파수꾼,315,286688,28,27,55,monster,900002,28,0.41,16,105_000003,1,1634
EliteBoss_Dust Bundle,엘리트 먼지 뭉치,473,2800466,140,32,64,boss,900023,28,0.41,13,105_000003,1,248954
Deep Spring Sprite,깊은 샘의 정령,350,374105,29,28,56,monster,900002,29,0.41,12,105_000003,1,2109
EliteBoss_Night Glimmerfox,엘리트 밤의 파수꾼,525,3713654,150,33,66,boss,900024,30,0.41,15,105_000003,1,451824
White Desert Rabbit,흰 모래토끼,350,539930,31,29,57,monster,900003,31,0.42,3,105_000004,2,2692
Monster_Dark Sand Dwarf,붉은 모래난쟁이,425,551512,33,29,57,monster,900003,33,0.42,3,105_000004,2,2737
Homunscullo,호문스큘러,425,640985,34,29,58,monster,900003,34,0.42,5,105_000004,2,2200
EliteBoss_White Desert Rabbit,엘리트 흰 모래토끼,750,6624097,180,34,68,boss,900025,35,0.42,1,105_000004,2,858707
Sand Tortoise,모래벌레,575,761091,41,29,59,monster,900003,39,0.42,7,105_000004,2,2800
Mysterious Desert Soldier,정체모를 사막병사,575,736061,42,29,59,monster,900003,40,0.43,0,105_000004,2,1840
EliteBoss_Dark Sand Dwarf,엘리트 붉은 모래난쟁이,863,7638309,210,34,69,boss,900026,40,0.43,4,105_000004,2,935425
Undead Scorpion,부패된 사막전갈,725,935023,48,30,60,monster,900003,45,0.43,5,105_000004,2,3063
Desert Mush,사막달팽이,725,1002564,49,30,60,monster,900003,46,0.43,5,105_000004,2,3261
Crystal Sand Tortoise,크리스탈 모래벌레,800,1092235,52,30,60,monster,900003,48,0.44,7,105_000004,2,5357
EliteBoss_Mysterious Desert Soldier,엘리트 정체모를 사막병사,1200,11245471,260,35,71,boss,900027,48,0.44,6,105_000004,2,959554
Crystal Hermit Crab,크리스탈 소라게,875,1113819,55,30,60,monster,900003,50,0.44,8,105_000004,2,4762
Bomber Hermit Crab,폭발 소라게,875,1367584,57,31,61,monster,900003,52,0.44,8,105_000004,2,5053
Gale Fox,돌풍여우,950,1468162,59,31,62,monster,900004,53,0.44,0,105_000005,2,3957
EliteBoss_Undead Scorpion,엘리트 부패된 사막전갈,1425,17896400,305,36,73,boss,900028,55,0.45,7,105_000004,2,1087433
Sand Helm,모래 투구,1025,1799183,64,31,63,monster,900004,57,0.45,13,105_000005,2,5174
Ferocious Gale Fox,사나운 돌풍여우,1100,1783707,67,31,63,monster,900004,59,0.45,10,105_000005,2,4180
Sand Armor,모래 갑옷,1175,2001415,72,32,63,monster,900004,63,0.45,13,105_000005,2,6688
Ancient Scorpion,유적 전갈,1250,2396206,75,32,64,monster,900004,65,0.45,12,105_000005,2,7539
Ferocious Desert Mush,사나운 사막달팽이,1250,2509532,78,32,64,monster,900004,67,0.46,12,105_000005,2,8512
EliteBoss_Gale Fox,엘리트 돌풍여우,1875,24452509,390,37,74,boss,900029,67,0.46,10,105_000005,2,1834820
Deo,데우,1325,2630955,82,32,64,monster,900004,70,0.46,0,105_000005,2,10591
Sand Dwarf,모래난쟁이,1400,2901661,83,32,65,monster,900004,71,0.46,11,105_000005,2,9480
AndoridB,실패작 안드로이드b,1475,2973330,89,32,65,monster,900004,75,0.47,16,105_000005,2,12416
EliteBoss_Deo,엘리트 데우,2213,31655496,445,38,75,boss,900030,75,0.47,13,105_000005,2,1830968
Desert Giant,모래거인,1475,3430988,90,33,65,monster,900004,76,0.47,11,105_000005,2,12935
Neo Huroid,네오 휴로이드,1550,3549269,96,33,66,monster,900004,80,0.47,16,105_000005,2,13230
Mole,땅굴두더지,1625,3995866,100,33,66,monster,900004,83,0.47,15,105_000005,2,11275
Azwan Grave Robber,아스완 도굴꾼,1700,4113088,103,33,66,monster,900004,85,0.48,0,105_000005,2,17345
EliteBoss_Azwan Grave Robber,엘리트 아스완 도굴꾼,2663,43460132,530,38,76,boss,900031,87,0.48,15,105_000005,2,2432878
Elite Pikeman Skeleknight,스켈레톤 스피어나이트,1775,4095264,108,33,66,monster,900004,88,0.48,17,105_000005,2,20148
Speedy Mole,재빠른 땅굴 두더지,1850,4313968,111,33,66,monster,900004,90,0.48,15,105_000005,2,7500
EliteBoss_Elite Pikeman Skeleknight,엘리트 스켈레톤 스피어나이트,2775,45818405,555,38,77,boss,900032,90,0.48,17,105_000005,2,2392280
Yellow Starfish,노란 불가사리,1850,6937475,158,34,68,monster,900005,91,0.49,11,105_000006,3,13600
Angry Starfish,화난 불가사리,2050,6500504,160,34,68,monster,900005,92,0.49,11,105_000006,3,22400
Jellyfish,젤리피쉬,2050,7321059,163,34,69,monster,900005,93,0.49,15,105_000006,3,23040
Cool Jellyfish,쿨 젤리피쉬,2050,6489034,165,34,68,monster,900005,94,0.49,0,105_000006,3,24243
Lorang,로랑,2250,6601914,168,34,68,monster,900005,95,0.5,10,105_000006,3,24834
Clang,클랑,2250,7597375,170,34,69,monster,900005,96,0.5,10,105_000006,3,25351
Tortie,엄티,2450,7332078,175,34,69,monster,900005,98,0.5,7,105_000006,3,26203
EliteBoss_Cool Jellyfish,엘리트 쿨 젤리피쉬,3675,71011876,875,39,79,boss,900033,98,0.5,15,105_000006,3,3140433
Palm Tree Slime,야자수 슬라임,2650,8128880,188,35,69,monster,900005,103,0.5,0,105_000006,3,27444
EliteBoss_Tortie,엘리트 엄티,3975,92545184,940,40,80,boss,900034,103,0.51,7,105_000006,3,3153612
Coconut Slime,코코넛 슬라임,2850,14970131,193,36,72,monster,900005,105,0.51,8,105_000006,3,28098
EliteBoss_Palm Tree Slime,엘리트 야자수 슬라임,4575,153269640,1005,41,82,boss,900035,108,0.51,8,105_000006,3,3700766
Emerald Clam Slime,초록조개 슬라임,3250,16215726,206,36,72,monster,900005,110,0.51,6,105_000006,3,28686
Violet Clam Slime,보라조개 슬라임,3450,18987679,219,36,73,monster,900005,115,0.51,0,105_000006,3,29707
EliteBoss_Violet Clam Slime,엘리트 보라조개 슬라임,5475,179133363,1135,41,83,boss,900036,118,0.52,0,105_000006,3,4001548
Flying Fish Slime,날치 슬라임,3850,22388212,233,37,74,monster,900005,120,0.52,1,105_000006,3,23600
Seagull Slime,갈매기 슬라임,3850,18487953,233,36,73,monster,900005,120,0.52,2,105_000006,3,30631
Shrimp Slime,새우 슬라임,3850,22256567,235,37,73,monster,900005,121,0.52,1,105_000006,3,33344
Blue Tube Slime,파란 튜브 슬라임,4050,22631873,238,37,74,monster,900005,122,0.53,3,105_000006,3,32277
Red Tube Slime,빨간 튜브 슬라임,4050,20525757,241,37,73,monster,900005,123,0.53,3,105_000006,3,31512
Starfish Octopus Slime,불가사리 문어 슬라임,4050,21511762,241,37,73,monster,900006,123,0.53,4,105_000007,3,35027
Seashell Octopus Slime,소라문어 슬라임,4250,22735457,246,37,74,monster,900006,125,0.53,5,105_000007,3,35701
EliteBoss_Seashell Octopus Slime,엘리트 소라문어 슬라임,6675,218856590,1285,42,83,boss,900037,129,0.53,4,105_000007,3,5609958
Mr. Alli,게비알,4650,27301517,266,37,74,monster,900006,132,0.54,12,105_000007,3,36374
Kru,크루,4650,25943714,269,37,74,monster,900006,133,0.54,9,105_000007,3,37826
Captain,캡틴,4850,25312650,277,37,74,monster,900006,136,0.54,9,105_000007,3,39186
