id,name,model,type,skill,phase,attack,hp,criticalRate,criticalRatio,dieSound,firstEntranceStage,chapter,monsterType,thumbnail,thumbnailScale,thumbnailOffset,purpose,CircleRadius,ColliderOffset,exp,stand-ruid,move-ruid,attack-ruid,hit-ruid,die-ruid,speed,attackCoolTime,interval,stopMovingAfterSkillDuration,Scale,isSpeedy
TrainingScarecrow,훈련용 허수아비,model://af9f0a03-d60e-4a58-9940-9915a6ee2ed8,monster,,,0,3899999999,0.1,1.3,88b0f101b4714a71a53b00665ea849b2,1,1,,,,,abnormal,0.31363,"(-0.030, 0.405)",3,232e643813d9444c9be0b8cb901692af,232e643813d9444c9be0b8cb901692af,232e643813d9444c9be0b8cb901692af,232e643813d9444c9be0b8cb901692af,232e643813d9444c9be0b8cb901692af,0,5,0.1,0.5,1,
Boss_Kariaine,보스 - 카리아인,model://72c8cae9-31ba-4c82-b139-31ab6daa7485,boss,,,0,25000000,0.1,1.3,a5a3d32aee4841c390c8274a1badccee,1,999,,c236fb3505144435b60fa514c545f746,,,common,0.6,"(0.0, 0.42)",3,6b605b0d252c4310a696a6cb80ed2efd,c236fb3505144435b60fa514c545f746,7e6414171b3046d9b3788f4c8514655c,89a17197e6ea4c36886871b5fe80472d,028b528ff0354952b311623219d621fe,2,6,2,0.5,1,
Pudgy Flower,통통꽃,model://e26ba802-fa70-43b9-b908-47056bc9c7b3,monster,,,16,27,0.1,1.3,d7b9104dfe6e440c9c6b2d42ee53a656,1,1,,,,,common,0.29123,"(0.000, 0.237)",3,bc4bac1b8b5f44fda6eeb2d114b73127,58a311dc25b24e7392c39e626255877d,c1e08dd5593a4ce395fc948722ee8bd6,3cbbda6c34fc4164830e1ef1b0770e44,c4d4a758cedc4c91aa446e5b9efc3932,2,5,0.1,0.5,1,
Toxiblossom,독독꽃,model://7280fa57-a842-490f-acfc-a0597d28cbbe,monster,,,18,78,0.1,1.3,af7be55dc0974ed4a63a2f5afda5b01e,1,1,,,,,common,0.29123,"(0.000, 0.237)",3,903a5a2a627e41a4a4c56f852c509197,3be663f7846649518dcdf2e44c6687fb,002f6d6eee7b44c889bade26dd40cd68,9e2e01d5570b46b68f57aa4aa02bef40,3870967dac2f46a7a997b270ae5f23e6,2,5,0.1,0.5,1,
Hoppin' Sprout,토기 토끼,model://327be22e-79bd-4ac8-a927-49b756ef8253,monster,,,24,47,0.1,1.3,d7b7fb2b0cdd47a08b44c701318f02a2,2,1,,,,,common,0.24475,"(0.053, 0.270)",3,7c472e807bf9487ba780230d9ad49bc8,402dd6596d4c4429911d6b99af144ab7,a676d8505db84587b3b10933b795f72e,5755424316734ab89d748d1817e4dfc3,7f7844326a4b46edabefc6c2e67ec24d,3.2,5,0.1,0.5,1,1
EliteBoss_Toxiblossom,엘리트 독독꽃,model://af6403db-70ab-45a0-9663-8ab4bb8e8c45,boss,23,100,20,6530,0.1,1.3,af7be55dc0974ed4a63a2f5afda5b01e,1,1,,903a5a2a627e41a4a4c56f852c509197,,0,common,0.29123,"(0.000, 0.237)",3,903a5a2a627e41a4a4c56f852c509197,3be663f7846649518dcdf2e44c6687fb,002f6d6eee7b44c889bade26dd40cd68,9e2e01d5570b46b68f57aa4aa02bef40,3870967dac2f46a7a997b270ae5f23e6,2,2,2,0.5,2,
EliteBoss_Chargin' Sprout,엘리트 향로 토끼,model://85a1f800-95b4-4312-95fa-636e64218d02,boss,25,100,43,12812,0.1,1.3,c42f710cb250401f983a8fa5e67d86c0,2,1,,1c0e1706d63e494895d33414e72d4c02,,0,common,0.29123,"(0.000, 0.237)",3,6ffbb53e005f43179a5e5c6236ece469,1c0e1706d63e494895d33414e72d4c02,98988c6a16e7402baa758f0ce84c30a5,b09fb6b2e68e48ce8ddb81d1fbf86fec,cfd750d3d7df40719f16c366738394d9,2,4,4,0.5,2,
Chargin' Sprout,향로 토끼,model://1a89b484-6d46-4032-8da7-867f1c24f46c,monster,,,24,117,0.1,1.3,c42f710cb250401f983a8fa5e67d86c0,3,1,,,,,common,0.34523,"(0.087, 0.417)",3,6ffbb53e005f43179a5e5c6236ece469,1c0e1706d63e494895d33414e72d4c02,98988c6a16e7402baa758f0ce84c30a5,b09fb6b2e68e48ce8ddb81d1fbf86fec,cfd750d3d7df40719f16c366738394d9,2.6,5,0.1,0.5,1,
Log-a-Rhythmic Bugs,나무 숲 벌레,model://94a46de8-66da-466b-8d12-b9c38c30d8a3,monster,,,26,131,0.1,1.3,e26ca3804e4e4aae950c926941ee6c49,3,1,,,,,common,0.30895,"(-0.022, 0.341)",3,6072b2c9702243ae8ba1dde94cc99dd0,61ea56df2e7f45438c824a35de81df77,c96a0dc58ea043ec9ee745cbf818a670,ab65b6b8f4104ad4b5cee986af5d1ac5,14616db500a7448296b96af234f4a1af,2.2,5,0.1,0.5,1,
Sparkinstone Bugs,돌돌 숲 벌레,model://f0b501a6-cb0b-4e41-84ce-168bcc784117,monster,,,26,154,0.1,1.3,7f61308d96cf4ca3a926f04dc88dc346,3,1,,,,,common,0.27126,"(0.009, 0.291)",3,e204d3816a53463e8d5331a9a622f018,99401df3e6a8417382c77951393b8ad4,d69c23acfac54e49977d4745bc1b3686,04a7c2facdcc40bca898c0d782b2ad01,ae95e9e44d324963a18e3b14fbc7d4bb,3,5,0.1,0.5,1,
