id,desc(개발용),type,effectModelId,shot,angle,damage,hpRatioDamage,spec,duration,afterSkill,randomRadiusMin,randomRadiusMax,randomAngle,multiShot,multiShotDelay,offsetX,offsetY,monsterRUID,skillDelay,sound,isNotBoss
1,slime_attack,nontarget,model://3877d027-84ac-4836-b583-e4723cc1d6b3,0.2/0.2/0.2/0.2,0/90/180/270,1,0,0,2.7,11/12,0,0,0,1,0,0,0,,0.84,09610c1924fa4a65b02b2a990b6bc1e9,0
2,slime_attack2,nontarget,model://3877d027-84ac-4836-b583-e4723cc1d6b3,0.2/0.2/0.2/0.2/0.4/0.5/0.6/0.7,0/90/180/270/45/135/225/315,1,0,0,2.7,11/12,0,0,0,1,0,0,0,,0.84,09610c1924fa4a65b02b2a990b6bc1e9,0
3,slime_attack3,nontarget,model://82417c72-6750-4daf-9ef1-cce069168836,0.5,0,1,0,speed_10_1.9,2,0,0,0,0,1,0,0,0,,,,0
4,slime_attack4,target,model://366402f7-0b9f-4efb-8187-78c10f76bd8a,0/0.5/1/1.5,0/0/0/0,1,0,0,0.75,0,0,0,0,1,0,0,0,efd954aee2d2487a8a312cbbce7fbfaa,,8bbc2030ac9042c08887e7b5eb451c84,0
5,slime_attack5,targetDir,model://1593ae11-f7fb-4cd8-a52a-b9023cce1113,0/0/0,0/-20/20,1,0,0,1.17,0,0,0,0,1,0,0,0,91800805e57241548bc8f4efc62716c1,1.17,a6e9132ac84a4c33a10014c5a668652c,0
6,slime_attack6,targetDir,model://844e8a56-eb44-44af-b478-dd354c667d38,0/0.2/0.4/0.6/0.8/1/1.2/1.4,0/45/90/135/180/225/260/305,1,0,0,1,7,0,0,0,1,0,0,0,,,,0
7,slime_attack6_1,targetDir,model://844e8a56-eb44-44af-b478-dd354c667d38,0.2/0.2/0.2/0.2,0/90/180/270,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
8,slime_attack7,target,model://0cf9c470-904a-4f95-9da9-b362cb636df2,0/0.5/1/1.5,0/0/0/0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
9,Bullet_Snail,targetDir,model://1ac1ef13-838b-4e55-a463-833d203bb7ef,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0.3,,,,1
10,Bullet_buggy,targetDir,model://b41befb0-037f-42c2-a5f1-592db8d3c9d2,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0.5,,,,1
11,slime_attack_sub,targetDir,model://84c9f087-47cf-4fd0-b7b2-e110da90b340,0/0/0/0,0/90/180/270,1,0,0,0,0,0,0,0,1,0,0,0,,,,0
12,slime_attack_sub,targetDir,model://84c9f087-47cf-4fd0-b7b2-e110da90b340,0/0/0/0/0/0,0/60/120/180/240/300,1,0,0,0,0,0,0,0,1,0,0,0,,,,0
13,Bullet_Sparrow,targetDir,model://1beadfdc-04f2-4e34-8eb8-bf254d6060b7,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0.7,,,,1
14,Bullet_Blue Spring Sprite,targetDir,model://962f7f7d-6682-4ef1-8966-e00b27c05253,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,,,,1
15,Bullet_Deep Spring Sprite,targetDir,model://a739c329-3e97-4149-b160-02375fc4ef4d,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,,,,1
16,Bullet_Giant Spider_WAVE,nontarget,model://a20e3318-fbbc-4980-b492-812107101558,0.2/0.2/0.2/0.2/0.2/0.2/0.2/0.2/0.2/0.2/0.2/0.2,0/30/60/90/120/150/180/210/240/270/300/330,1,0,stop_2,0,0,0,0,0,1,0,-0.3868,0.2596,,0.84,77819bfd0786490f831dc799e8290500,0
17,Bullet_Giant Spider,nontarget,model://03ebdcd9-cf18-46ac-aa92-c2d91654d2f5,0.2/0.2/0.2/0.2/0.4/0.5/0.6/0.7/0.8/0.9/1,0/90/180/270/45/135/225/315/335/355/375,1,0,speed_6_2,1.68,0,0,0,0,1,0,-3.7,2.5,e3d4fa6d5de94bdc846c6611a3e7f6a3,0.96,e783828e5f84414ca7cb62fb836fc7d3,0
18,Bullet_Giant Spider2,nontarget,model://89639f65-b895-4eba-bc4f-21d413b46d80,0/0.1/0.2/0.3/0.4/0.5/0.6/0/0.1/0.2/0.3/0.4/0.5/0.6,0/30/60/90/120/150/180/210/240/270/300/330/350/358,1,0,0,2.76,22,0,0,0,1,0,-2.3569,0.1252,2bd3d662011e427592cb1fc5d484f9d5,1.8,77b885d491244be3ac37a0c9a2f14d2b,0
19,Bullet_GiantSpider_3WAVE,nontarget,model://1e78d31f-6ef6-4a91-84ea-83c259d11d8c,0.2/0.4/0.5/0.6/0.7,0/60/90/120/150,1,0,0,2.16,20,0,0,0,1,0,0,0,29aff8b392b04de6a1a8a3295baaca6c,1.2,3d696b34bdb74f1ab3c4ab0ae832de48,0
20,GiantSpiderSkill,targetDir,model://1b964bd1-9a6b-4f6f-8823-ee0a15a5ac8c,0/0/0/0/0/0,0/0/0/0/0/0,1,0,0,1,21,0,0,0,1,0,0,0,,,,0
21,GiantSpiderSkill2,nontarget,model://93fdf2e5-4cbb-4926-a52b-6ba55d730717,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
22,GiantSpiderSkill3,nontarget,model://33c22033-4e51-474d-bc60-b3a1e90e74d8,0.3,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
23,Bullet_EliteBoss_Toxiblossom,targetDir,model://7e5b2751-59ba-4795-b8d8-886028f068b4,1,0,1,0,0,1.5,0,0,0,0,1,0,0,1.6,,,,0
24,Bullet_EliteBoss_Ruins Sentinel,targetDir,model://d5765c51-0259-4ce7-abc9-300b58b471f5,0.8,0,1,0,0,1,0,0,0,0,1,0,0,0,,,,0
