id,name,grade,type,class,attribute,model,ruid,ruid_pc_only,outglow,bullet,fireEffect,coolTime,damage,specialBuffDamageRate,criticalRate,criticalDamage,range,bulletCount,bulletAngle,pierceCount,knockback,bulletDelay,stunDuration,cardDescription,graph_attack,graph_speed,graph_util,graph_multihit,graph_accuracy,boxDamage,mana,spawnDuration,fieldCoolTime,fieldRatio
1_001001,pistol01,normal,pistol,Gunner,physical,model://99bb957b-1ea1-4442-aa8a-57f52f29f2eb,1de369cf2f47402e8e0a532054245b3d,8d69a414784243c78e491371cf38ad92,47511d35c1d543b0be305e6d33bc820c,model://a7a90022-d48a-4fd6-8735-45645e3ce86d,0adadef6c0f348029f6709c591ab6613,1,15,1,0,50,6,1,0,3,0,0,,1_001001,5,8,0,3,6,2,2,5.04,8,1.2
1_001002,pistol02,rare,pistol,Gunner,physical,model://99bb957b-1ea1-4442-aa8a-57f52f29f2eb,8fb4f6444b0e4139a3603b09939d7ff5,c0303ad37bc049ea844dcce4882d8012,dfd98c62ca284ce7906d543e4e07a1bb,model://11fea824-df5d-4fbc-9718-b8226d06fbff,0adadef6c0f348029f6709c591ab6613,0.7,15,1,0,50,6,1,0,3,0,0,,1_001001,5,10,0,3,6,2,2,5.04,8,1.45
1_001003,pistol03,epic,pistol,Gunner,physical,model://99bb957b-1ea1-4442-aa8a-57f52f29f2eb,b7e5d0fd47174d3f855fe7388038a635,bbe4d82470ec4c18bf190e0f1b7be8bf,f6a1c85f2e234ba981dbf30ad40348be,model://82831b64-2f90-4e43-93b3-e1609bf8dc6a,0adadef6c0f348029f6709c591ab6613,0.7,15,1,0,50,6,1,0,5,0,0,,1_001001,5,10,0,4,6,2,7,5.04,8,2
1_001004,pistol04,unique,pistol,Gunner,physical,model://99bb957b-1ea1-4442-aa8a-57f52f29f2eb,881d63f94af045449770f444aafefb89,99a1decba02b486a8161c007ae63ab2f,8465aa912fac44b8aa7844aac61020f2,model://3bbcff89-dcc3-486c-94f4-e590816a67a7,0adadef6c0f348029f6709c591ab6613,0.7,15,1,0,50,6,3,10,5,0,0,,1_001001,5,10,0,6,6,2,16,5.04,8,1.55
1_001005,pistol05,legendary,pistol,Gunner,physical,model://99bb957b-1ea1-4442-aa8a-57f52f29f2eb,9afb012bbc97431c9ef913c4887fef3e,70583b7a22ec499389567b6710eb2411,92a511e97830432b89e16a3ef09e6b5d,model://eeaf31d6-49b3-4bf5-bb48-08f901bc9bf8,0adadef6c0f348029f6709c591ab6613,0.7,15,1,0,50,6,5,10,5,0,0,,1_001001,5,10,0,7,6,2,29,5.04,8,1.37
1_002001,wristband01,normal,wristband,Thief,physical,model://17b04b28-f00c-4e64-a2a1-687089b220df,a97dfd5d40bf4ab99805a46bcb0d6797,a8643adbfd0640c8a3041296f67a3921,9f55ee978d9e495c8a69f50289c383cd,model://e119cb86-0d07-48bd-848b-f255b0ecdd06,69e5fcc9de39462c8c33bb34c154e77e,1.3,9,1,0,50,6,3,0,2,0,0.1,,1_002001,3,6,0,5,7,2,3,6,10.5,1.4
1_002002,wristband02,rare,wristband,Thief,physical,model://17b04b28-f00c-4e64-a2a1-687089b220df,4af88284804b45f68b8d69fc673c9c21,e126a4a648bb4db9b82174485e65672d,f62e05f05cc94bf7b1daecc95d236cd0,model://ec5bdf3c-62fa-4375-a55d-1b589fb403b5,69e5fcc9de39462c8c33bb34c154e77e,1,9,1,0,50,6,3,0,2,0,0.1,,1_002001,3,8,0,5,7,2,4,6.3,10.5,1.5
1_002003,wristband03,epic,wristband,Thief,physical,model://17b04b28-f00c-4e64-a2a1-687089b220df,5e69e74d7f2844149aea30cacbd2ec9f,0c21b7f5f2c547abb56c930b59b0e263,dee88e59e8f64ffb82d27cdb2086f24b,model://d7d971fd-6be5-4286-8242-1fda2d4d2d01,69e5fcc9de39462c8c33bb34c154e77e,1,9,1,0,50,6,3,0,2,0,0.1,,1_002001,3,8,2,5,7,2,11,6.3,10.5,2
1_002004,wristband04,unique,wristband,Thief,physical,model://17b04b28-f00c-4e64-a2a1-687089b220df,88329145a44d47598f8f391ad7ec1873,609ec7509e014f6ea82af1afb8c68546,99597a03f2a641fb9d2a473bd1571bf3,model://dcc1be9c-b504-4a9f-9864-54a7525a3d52,69e5fcc9de39462c8c33bb34c154e77e,1,9,1,0,50,6,3,0,5,0,0.1,,1_002001,3,8,2,7,7,2,25,7.1,10.5,3.2
1_002005,wristband05,legendary,wristband,Thief,physical,model://17b04b28-f00c-4e64-a2a1-687089b220df,ce857f19ddb542c18706890359ac6a61,b53f0f00a2da4af8ab64c2ebeb6583b9,e005c6f873994773bb3623728274ab9b,model://fea1ca1e-7dc9-41c0-9e9d-caf50b80ff9a,69e5fcc9de39462c8c33bb34c154e77e,1,9,1,0,50,6,5,0,5,0,0.1,,1_002001,3,8,2,9,7,2,47,7.1,10.5,4.7
