id,grade,percent
2_101001,normal,530
2_101002,rare,80
2_101004,epic,10
2_101006,unique,5
2_102001,normal,530
2_102002,rare,80
2_102004,epic,10
2_102006,unique,5
2_103001,normal,530
2_103002,rare,80
2_103004,epic,10
2_103006,unique,5
2_104001,normal,530
2_104002,rare,80
2_104004,epic,10
2_104006,unique,5
2_201001,normal,530
2_201002,rare,80
2_201004,epic,10
2_201006,unique,5
2_202001,normal,530
2_202002,rare,80
2_202004,epic,10
2_202006,unique,5
2_203001,normal,530
2_203002,rare,80
2_203004,epic,10
2_203006,unique,5
2_204001,normal,530
2_204002,rare,80
2_204004,epic,10
2_204006,unique,5
2_301001,normal,530
2_301002,rare,80
2_301004,epic,10
2_301006,unique,5
2_302001,normal,530
2_302002,rare,80
2_302004,epic,10
2_302006,unique,5
2_303001,normal,530
2_303002,rare,80
2_303004,epic,10
2_303006,unique,5
2_304001,normal,530
2_304002,rare,80
2_304004,epic,10
2_304006,unique,5
2_401001,normal,530
2_401002,rare,80
2_401004,epic,10
2_401006,unique,5
2_402001,normal,530
2_402002,rare,80
2_402004,epic,10
2_402006,unique,5
2_403001,normal,530
2_403002,rare,80
2_403004,epic,10
2_403006,unique,5
2_404001,normal,530
2_404002,rare,80
2_404004,epic,10
2_404006,unique,5
