id,categoryId,order,name,description,ruid,offsetX,offsetY,wealthType,price,rewardType,rewardId,rewardNum,limitPurchaseCount,initInterval,minAccountLevel,maxAccountLevel,displayMinStage,displayMaxStage,mainDisplayMinStage,mainDisplayMaxStage
WAH2QVRI9,"1,5",14,초보자 패키지 1,초보자 패키지 1,7874de32685e4778b5867cf462bea4dd,0,0,worldCoin,400,bundle,26,1,1,account,0,100000,0,100000,0,9
9KVJQ6G4J,"1,5",13,초보자 패키지 2,초보자 패키지 2,f498a569363846bbb0cdb7648c31bcdb,0,0,worldCoin,800,bundle,64,1,1,account,0,100000,10,100000,10,14
Y0D0PFNNQ,"1,5",12,초보자 패키지 3,초보자 패키지 3,8da33f244cb4433fa7d8f40f74262c55,0,0,worldCoin,1200,bundle,65,1,1,account,0,100000,15,100000,15,19
OTWIZKUB9,"1,5",10,전투 패키지,전투 패키지,5abb6a4ddf5e49bfb280c9d3c3db0dd8,0,0,worldCoin,2000,bundle,27,1,1,account,0,100000,20,100000,20,49
WEU8TE60B,"1,5",8,숙련 패키지,숙련 패키지,ed99b5cc8d6a49b6ade36ac57cfa1bcb,0,0,worldCoin,4000,bundle,28,1,1,account,0,100000,50,100000,50,100000
KE7VU57WI,"1,5",15,방어구 성장 패키지 1,방어구 성장 패키지 1,6b0bde4e33c1466db0593d32d0a9b6be,0,0,worldCoin,400,bundle,58,1,3,day,0,100000,20,100000,20,39
QX5GAKVSX,"1,5",15,방어구 성장 패키지 2,방어구 성장 패키지 2,f2ba76892ecd4a0481c98d9dcc32899f,0,0,worldCoin,500,bundle,59,1,3,day,0,100000,40,100000,40,59
MQWIFO8OE,"1,5",15,방어구 성장 패키지 3,방어구 성장 패키지 3,180d6f73855644edb97ca5e134ac4203,0,0,worldCoin,600,bundle,60,1,3,day,0,100000,60,100000,60,100000
6PSR4ONXY,"1,5",16,소울 성장 패키지 1,소울 성장 패키지 1,28961bf30a3a4755a395372a7308afec,0,0,worldCoin,1200,bundle,61,1,3,day,0,100000,20,100000,20,39
Y1FNCZO2N,"1,5",16,소울 성장 패키지 2,소울 성장 패키지 2,ef3e163d46fb45deafc6c41e0174727b,0,0,worldCoin,1400,bundle,62,1,3,day,0,100000,40,100000,40,59
DVAP9QR7C,"1,5",16,소울 성장 패키지 3,소울 성장 패키지 3,482deedf0b464fb981473dc054e14fd4,0,0,worldCoin,1600,bundle,63,1,3,day,0,100000,60,100000,60,100000
1,"1,5",7,소울 에그(Lv. 1~5) 1개,소울 에그 (Lv. 1 ~ 5) 1개,77ac57dc9e0a48f1854b86466314e5d6,0,0,diamond,0,egg,3_000001,1,1,day,0,100000,0,100000,0,100000
VTR4H4CXF,"1,5",6,소울 에그 꾸러미 1,소울 에그 (Lv. 11 ~ 15) 10개,1feda5ebbb3a4190a7fb5312378af11f,0,0,worldCoin,1000,item,6_000022,1,3,day,0,100000,10,100000,10,19
OEFX6F5V3,"1,5",5,소울 에그 꾸러미 2,소울 에그 (Lv. 16 ~ 20) 10개,ef1a19ff639f411e9b151e3c4d4e14b5,0,0,worldCoin,1200,item,6_000023,1,3,day,0,100000,20,100000,20,29
XWH4UC6M9,"1,5",4,소울 에그 꾸러미 3,소울 에그 (Lv. 21 ~ 25) 10개,63da18cb68524030b1c2d36a8ead3c5f,0,0,worldCoin,1400,item,6_000024,1,3,day,0,100000,30,100000,30,39
38UK83IC6,"1,5",3,소울 에그 꾸러미 4,소울 에그 (Lv. 26 ~ 30) 10개,b5c05fe9569641cd9a2f85898ce8b342,0,0,worldCoin,1500,item,6_000025,1,3,day,0,100000,40,100000,40,49
69765EHPD,"1,5",2,소울 에그 꾸러미 5,소울 에그 (Lv. 31 ~ 35) 10개,2076d6425c264fd6b7ce8249779c65c5,0,0,worldCoin,1600,item,6_000026,1,3,day,0,100000,50,100000,50,59
GW1MZPWKP,"1,5",1,소울 에그 꾸러미 6,소울 에그 (Lv. 31 ~ 35) 10개,208d5fbca0f045cf8267987f87bb89eb,0,0,worldCoin,1800,item,6_000027,1,3,day,0,100000,60,100000,60,100000
C14E5HK2W,6,19,야자수 대미지 스킨,"착용 후 몬스터를 공격하면, 야자수 대미지 스킨이 출력됩니다.",5b3c11e340b7416a8bcdaf72d137baaa,-16,-16,worldCoin,120,item,5_000124,1,0,,0,100000,0,100000,100000,100000
TGQW0KWEZ,6,19,월묘의 떡 대미지 스킨,"착용 후 몬스터를 공격하면, 월묘의 떡 대미지 스킨이 출력됩니다.",0173b969ffa941f882ed221b926aecd5,-16,-16,worldCoin,120,item,5_000151,1,0,,0,100000,0,100000,100000,100000
BQFXK4CXJ,6,19,신수 대미지 스킨,"착용 후 몬스터를 공격하면, 신수 대미지 스킨이 출력됩니다.",01bfa12ea9a848e0a1be81eb215d2ee8,-16,-16,worldCoin,120,item,5_000153,1,0,,0,100000,0,100000,100000,100000
1SG6STP5L,6,19,붓글씨 대미지 스킨,"착용 후 몬스터를 공격하면, 붓글씨 대미지 스킨이 출력됩니다.",069d935b9b514c5faf496dae97eaea04,-16,-16,worldCoin,120,item,5_000159,1,0,,0,100000,0,100000,100000,100000
XP1B2PO0B,6,19,밤하늘 대미지 스킨,"착용 후 몬스터를 공격하면, 밤하늘 대미지 스킨이 출력됩니다.",081e6ccbb1194bbeae911a834169d682,-16,-16,worldCoin,120,item,5_000160,1,0,,0,100000,0,100000,100000,100000
UVAJA0UJV,6,19,주황 버섯 대미지 스킨,"착용 후 몬스터를 공격하면, 주황 버섯 대미지 스킨이 출력됩니다.",09c8020464eb460a8735669d0fee8372,-16,-16,worldCoin,120,item,5_000164,1,0,,0,100000,0,100000,100000,100000
6C9UV308H,6,19,키보드 워리어 대미지 스킨,"착용 후 몬스터를 공격하면, 키보드 워리어 대미지 스킨이 출력됩니다.",0bc033c0f81846c4b5ce8d24100c540e,-16,-16,worldCoin,120,item,5_000168,1,0,,0,100000,0,100000,100000,100000
YQX00F63X,6,19,돈 많이 대미지 스킨,"착용 후 몬스터를 공격하면, 돈 많이 대미지 스킨이 출력됩니다.",0e635a7ce34f483ab75fb7467df71593,-16,-16,worldCoin,120,item,5_000171,1,0,,0,100000,0,100000,100000,100000
CAPAOZ0P7,6,19,크로우 대미지 스킨,"착용 후 몬스터를 공격하면, 크로우 대미지 스킨이 출력됩니다.",13528d0e6a2e48b6b713e3cb7a02efba,-16,-16,worldCoin,120,item,5_000182,1,0,,0,100000,0,100000,100000,100000
1VTZDH562,6,19,먹구름 대미지 스킨,"착용 후 몬스터를 공격하면, 먹구름 대미지 스킨이 출력됩니다.",108c42206a324a479cba267a3b400998,-16,-16,worldCoin,120,item,5_000178,1,0,,0,100000,0,100000,100000,100000
I804BSMMH,6,19,눈꽃 나무 대미지 스킨,"착용 후 몬스터를 공격하면, 눈꽃 나무 대미지 스킨이 출력됩니다.",196477d163e54761a1ee6cf20d36c1a7,-16,-16,worldCoin,120,item,5_000190,1,0,,0,100000,0,100000,100000,100000
SD0BA7M7F,6,19,크리스마스 대미지 스킨,"착용 후 몬스터를 공격하면, 크리스마스 대미지 스킨이 출력됩니다.",0e6c72c804db47e280688fed91232f9b,-16,-16,worldCoin,120,item,5_000079,1,0,,0,100000,0,100000,100000,100000
K72092O0Y,6,20,수박 명찰,"착용 시, 수박 명찰이 적용됩니다.",0dd43734e6dc4597899e67d44a6cae7d,-16,-16,worldCoin,120,item,5_000020,1,0,,0,100000,0,100000,100000,100000
86W3IPR1T,6,20,파도 명찰,"착용 시, 파도 명찰이 적용됩니다.",0dfa1880cdef45f6bf9179e9f3da78a2,-16,-16,worldCoin,120,item,5_000023,1,0,,0,100000,0,100000,100000,100000
OSMS7RYYN,6,20,파인애플 명찰,"착용 시, 파인애플 명찰이 적용됩니다.",199ba39682c142798bc9efddd8bab1b4,-16,-16,worldCoin,120,item,5_000032,1,0,,0,100000,0,100000,100000,100000
