id,statType,statNum,enchantScroll,enchantMeso,transplantMaterialId,transplantMaterialCount,transplantMeso
101_000001,attack,3,10,100,100_000138,1,1000
101_000002,attack,4,10,320,100_000138,1,3500
101_000003,attack,6.2,10,8300,100_000139,1,100000
101_000004,attack,8.5,10,30000,100_000139,1,400000
101_000005,attack,13,10,140000,100_000140,1,2000000
101_000006,attack,17.5,10,460000,100_000140,1,7000000
101_000007,attack,25,10,1562500,100_000141,1,25000000
101_000008,attack,32,10,3235000,100_000141,1,55000000
101_000009,attack,48,10,15000000,100_000142,1,300000000
101_000010,attack,60,10,26000000,100_000142,1,500000000
102_000001,wealthBonus,2,10,100,100_000138,1,1000
102_000002,wealthBonus,2.5,10,320,100_000138,1,3500
102_000003,wealthBonus,5,10,8300,100_000139,1,100000
102_000004,wealthBonus,7,10,30000,100_000139,1,400000
102_000005,wealthBonus,11,10,140000,100_000140,1,2000000
102_000006,wealthBonus,16.2,10,460000,100_000140,1,7000000
102_000007,wealthBonus,23,10,1562500,100_000141,1,25000000
102_000008,wealthBonus,31,10,3235000,100_000141,1,55000000
102_000009,wealthBonus,41.5,10,15000000,100_000142,1,300000000
102_000010,wealthBonus,50,10,26000000,100_000142,1,500000000
103_000001,hitDamage,0.3,10,100,100_000138,1,1000
103_000002,hitDamage,0.38,10,320,100_000138,1,3500
103_000003,hitDamage,0.68,10,8300,100_000139,1,100000
103_000004,hitDamage,1.06,10,30000,100_000139,1,400000
103_000005,hitDamage,1.63,10,140000,100_000140,1,2000000
103_000006,hitDamage,2.35,10,460000,100_000140,1,7000000
103_000007,hitDamage,3.28,10,1562500,100_000141,1,25000000
103_000008,hitDamage,4.35,10,3235000,100_000141,1,55000000
103_000009,hitDamage,6.2,10,15000000,100_000142,1,300000000
103_000010,hitDamage,7.5,10,26000000,100_000142,1,500000000
