id,name,min,max
1,권총 공격력 증가,1.2,12
2,캐논 공격력 증가,1.2,12
3,사운드 슈터 공격력 증가,1.2,12
4,활 공격력 증가,1.2,12
5,브레스 슈터 공격력 증가,1.2,12
6,버드 보우 공격력 증가,1.2,12
7,파이어 스태프 공격력 증가,1.2,12
8,라이트닝 완드 공격력 증가,1.2,12
9,체스피스 공격력 증가,1.2,12
10,아대 공격력 증가,1.2,12
11,부채 공격력 증가,1.2,12
12,단검 공격력 증가,1.2,12
13,폴암 공격력 증가,1.2,12
14,망치 공격력 증가,1.2,12
15,데몬 소드 공격력 증가,1.2,12
16,최대 체력 증가,0.46,4.67
17,받는 피해량 감소,0.1,1
18,물리 대미지 증가,1,10
19,마법 대미지 증가,1,10
20,보스 대미지 증가,1.6,16
21,치명타 확률 증가,0.13,1.3
22,치명타 대미지 증가,1.4,14
23,이동 속도 증가,0.4,4
24,공격 속도 증가,0.8,8
25,필드 경험치 획득량 증가,0.65,6.5
26,필드 아이템 드롭 확률 증가,0.4,4
27,스테이지 소울 에그 드롭 확률 증가,0.4,4
28,스테이지 클리어 보상 증가,0.46,4.65
