key,name,text,event,option,thumb,emotion,theOtherName,theOtherThumb,localizationKey
main_0,player,"뭐지? 엄청나게 강해 보이는 검이 바닥에 박혀있길래 뽑아보려고 했을 뿐인데, 산산조각이 났어...",shake,,avatar,당황,,,dialog_1
main_0,111001,"네가 부쉈으니까 그 대가로 날 도와라, 메소전사!",,,soul,,,,dialog_2
main_0,player,으악!! 누구세요?! 왜 머릿속에서 목소리가...?,,,avatar,분노,111001,soul,dialog_3
main_0,player,메소전사라는 구린 호칭은 또 뭐야?!,,,avatar,분노,111001,soul,dialog_4
main_0,111001,"머릿속에 '소울'이 들어온 메이플 전사니까, 메이플 소울 전사! 줄여서 메!소!전!사!",,,soul,,,,dialog_5
main_0,111001,"반갑다. 내 이름은 캡틴, 권총의 소울이지!",,,soul,,,,dialog_6
main_0,111001,네가 박살 낸 소.울.칼.리.버!!,,,soul,,,,dialog_7
main_0,111001,그 안에 들어있던 무려 578178943개의 소울 중 하나야.,,,soul,,,,dialog_8
main_0,player,소울...? 그게 뭐야?,,,avatar,,111001,soul,dialog_9
main_0,111001,소울은 무기의 자아야. 소울칼리버는 나 같은 소울이 578178943개 들어있던 검이었고!,,,soul,,,,dialog_10
main_0,111001,소울칼리버를 만든 대장장이가 우리 소울들의 힘을 감당하지 못해서 숲에 봉인해버렸고...,,,soul,,,,dialog_11
main_0,111001,무기로서 활약하지 못하고 가만히 있으니 아주 절망스러운 상황이었지...!,,,soul,,,,dialog_12
main_0,player,오... 그래서 마침 지나가던 내가 무기로 잘 써주려고 했는데 깨졌잖아?!,,,avatar,흐음,111001,soul,dialog_13
main_0,111001,"안 그래도 불안정했던 걸 겨우 봉인해둔 건데, 네가 갑자기 건드리니까 그렇지!",,,soul,,,,dialog_14
main_0,111001,아무튼! 내가 널 강하게 만들어 주고 소울칼리버 같이 좋은 무기도 얻을 수 있게 해줄게. 대신 날 돕는 게 어때?,,,soul,,,,dialog_15
