id,name,grade,gradeLevel,stars,sellScrollValue,type,class,ruid,outglow,mainStatus,maxHp,attack,reductDamage,speed,attackSpeed,addMaxHpRate,addAttackRate,criticalRate,criticalDamageRate,range,evade,hpRecovery,bossDamage,reductMeleeDamage,reductProjectileDamage
2_101001,Helmet_Warrior,normal,1,0,10,helmet,none,thumbnail://2b98d365fe424a749994fb98f0e2ab8e,8773bee07048400f97a396ca4e8a9a07,hp,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_101002,Helmet_Warrior,rare,2,0,20,helmet,none,thumbnail://1cbb4e3ee8c2493d93a32cee1e0f9abd,f3b084fe53e042e3a9d2efe70959e49c,hp,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_101003,Helmet_Warrior,rare_1,3,1,30,helmet,none,thumbnail://1cbb4e3ee8c2493d93a32cee1e0f9abd,f3b084fe53e042e3a9d2efe70959e49c,hp,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0
2_101004,Helmet_Warrior,epic,4,0,40,helmet,none,thumbnail://19874ef1dc374cdd9eab981d176fb6b4,f6eb2f0c40734c948347e7810b915102,hp,80,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101005,Helmet_Warrior,epic_1,5,1,50,helmet,none,thumbnail://19874ef1dc374cdd9eab981d176fb6b4,f6eb2f0c40734c948347e7810b915102,hp,160,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101006,Helmet_Warrior,unique,6,0,60,helmet,none,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,7e8ad63274da4d398a578e9d7d697b2a,hp,320,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101007,Helmet_Warrior,unique_1,7,1,80,helmet,none,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,7e8ad63274da4d398a578e9d7d697b2a,hp,640,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101008,Helmet_Warrior,unique_2,8,2,100,helmet,none,thumbnail://6e745317e4b64a67b70d7f4d4227d15c,7e8ad63274da4d398a578e9d7d697b2a,hp,1280,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101009,Helmet_Warrior,legendary,9,0,200,helmet,none,thumbnail://cff79f326604462cbecfb6d7af8c30e1,511c5b559d4e4b1cb14fd71d882a8850,hp,2560,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101010,Helmet_Warrior,legendary_1,10,1,250,helmet,none,thumbnail://cff79f326604462cbecfb6d7af8c30e1,511c5b559d4e4b1cb14fd71d882a8850,hp,5120,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101011,Helmet_Warrior,legendary_2,11,2,300,helmet,none,thumbnail://cff79f326604462cbecfb6d7af8c30e1,511c5b559d4e4b1cb14fd71d882a8850,hp,10240,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_101012,Helmet_Warrior,legendary_3,12,3,400,helmet,none,thumbnail://cff79f326604462cbecfb6d7af8c30e1,511c5b559d4e4b1cb14fd71d882a8850,hp,20480,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0
2_102001,Helmet_Sniper,normal,1,0,10,helmet,none,thumbnail://71d91acf5acc4f21b7b23b259ed3d7a2,210b3a5676a1489491259d7298c75164,hp,10,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
2_102002,Helmet_Sniper,rare,2,0,20,helmet,none,thumbnail://48c44ce512724270802df64235c49dc4,42bf2b97fb0640bbbc1b5a1d88d44d93,hp,20,0,0,0,0,0,0,5,0,6.25,0,0,0,0,0
2_102003,Helmet_Sniper,rare_1,3,1,30,helmet,none,thumbnail://48c44ce512724270802df64235c49dc4,42bf2b97fb0640bbbc1b5a1d88d44d93,hp,40,0,0,0,0,0,0,5,0,6.25,0,0,0,0,0
2_102004,Helmet_Sniper,epic,4,0,40,helmet,none,thumbnail://e86edb95d9934c4c9ebe8a233596ee77,86d0248f353540a387991e7f25981013,hp,80,0,0,0,0,0,0,5,0,12.5,0,0,0,0,0
2_102005,Helmet_Sniper,epic_1,5,1,50,helmet,none,thumbnail://e86edb95d9934c4c9ebe8a233596ee77,86d0248f353540a387991e7f25981013,hp,160,0,0,0,0,0,0,5,0,12.5,0,0,0,0,0
2_102006,Helmet_Sniper,unique,6,0,60,helmet,none,thumbnail://f8b533047c8844b39eb5648b236e6ed9,58e04ea2c1474aab9d95dbe8f13fbc20,hp,320,0,0,0,0,0,0,15,0,12.5,0,0,0,0,0
2_102007,Helmet_Sniper,unique_1,7,1,80,helmet,none,thumbnail://f8b533047c8844b39eb5648b236e6ed9,58e04ea2c1474aab9d95dbe8f13fbc20,hp,640,0,0,0,0,0,0,15,0,12.5,0,0,0,0,0
2_102008,Helmet_Sniper,unique_2,8,2,100,helmet,none,thumbnail://f8b533047c8844b39eb5648b236e6ed9,58e04ea2c1474aab9d95dbe8f13fbc20,hp,1280,0,0,0,0,0,0,15,0,12.5,0,0,0,0,0
2_102009,Helmet_Sniper,legendary,9,0,200,helmet,none,thumbnail://30a1928450fa4bf5bb09964716acbc1f,cfeb4d80dd744cdea69050da377d7d37,hp,2560,0,0,0,0,0,0,30,0,12.5,0,0,0,0,0
2_102010,Helmet_Sniper,legendary_1,10,1,250,helmet,none,thumbnail://30a1928450fa4bf5bb09964716acbc1f,cfeb4d80dd744cdea69050da377d7d37,hp,5120,0,0,0,0,0,0,30,0,12.5,0,0,0,0,0
2_102011,Helmet_Sniper,legendary_2,11,2,300,helmet,none,thumbnail://30a1928450fa4bf5bb09964716acbc1f,cfeb4d80dd744cdea69050da377d7d37,hp,10240,0,0,0,0,0,0,30,0,12.5,0,0,0,0,0
2_102012,Helmet_Sniper,legendary_3,12,3,400,helmet,none,thumbnail://30a1928450fa4bf5bb09964716acbc1f,cfeb4d80dd744cdea69050da377d7d37,hp,20480,0,0,0,0,0,0,30,0,12.5,0,0,0,0,0
2_103001,Helmet_Shark,normal,1,0,10,helmet,none,thumbnail://6d212427fa4b438998211244f33733f0,bfcd95c0005e414db8f48b11361f55d9,hp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_103002,Helmet_Shark,rare,2,0,20,helmet,none,thumbnail://0516947e3f304b44963c445ada9d0806,549fe681558f423987ca59bc5f4fc337,hp,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_103003,Helmet_Shark,rare_1,3,1,30,helmet,none,thumbnail://0516947e3f304b44963c445ada9d0806,549fe681558f423987ca59bc5f4fc337,hp,40,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025
2_103004,Helmet_Shark,epic,4,0,40,helmet,none,thumbnail://282e749e638240ab9f7bfc711e1a757a,da02c9d5007b4362aeb990965edf96af,hp,80,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103005,Helmet_Shark,epic_1,5,1,50,helmet,none,thumbnail://282e749e638240ab9f7bfc711e1a757a,da02c9d5007b4362aeb990965edf96af,hp,160,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
2_103006,Helmet_Shark,unique,6,0,60,helmet,none,thumbnail://0bb495573d5e4d9ca16781a957833106,fef205e418b7437fb049d913db7ad466,hp,320,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
