id,bundleId,bundleType,bundleDescription,itemType,itemId,itemNum
1,1,free,테스트,item,2_103005,1
2,1,free,테스트,item,3_000001,10
3,1,free,테스트,meso,　,5000
4,1,free,테스트,item,3_000009,1
5,1,free,테스트,weaponScroll,　,30
6,1,free,테스트,essence,　,10
7,1,free,테스트,diamond,　,500
8,2,cash,테스트2,diamond,　,1000
9,3,free,한계의 땅 주간 랭킹 보상 - 1위,item,5_000004,1
10,3,free,한계의 땅 주간 랭킹 보상 - 1위,item,5_000005,1
11,3,free,한계의 땅 주간 랭킹 보상 - 1위,item,5_000006,1
12,3,free,한계의 땅 주간 랭킹 보상 - 1위,essence,　,100
13,3,free,한계의 땅 주간 랭킹 보상 - 1위,diamond,　,5000
14,4,free,한계의 땅 주간 랭킹 보상 - 2위,item,5_000097,1
15,4,free,한계의 땅 주간 랭킹 보상 - 2위,item,5_000098,1
16,4,free,한계의 땅 주간 랭킹 보상 - 2위,item,5_000099,1
17,4,free,한계의 땅 주간 랭킹 보상 - 2위,diamond,　,2500
18,5,free,한계의 땅 주간 랭킹 보상 - 3위,item,5_000136,1
19,5,free,한계의 땅 주간 랭킹 보상 - 3위,item,5_000137,1
20,5,free,한계의 땅 주간 랭킹 보상 - 3위,item,5_000138,1
21,5,free,한계의 땅 주간 랭킹 보상 - 3위,diamond,　,1500
22,6,free,한계의 땅 주간 랭킹 보상 - 상위 5% 이내,diamond,　,1000
23,7,free,한계의 땅 주간 랭킹 보상 - 상위 10% 이내,diamond,　,900
24,8,free,한계의 땅 주간 랭킹 보상 - 상위 30% 이내,diamond,　,800
25,9,free,한계의 땅 주간 랭킹 보상 - 상위 60% 이내,diamond,　,700
26,10,free,한계의 땅 주간 랭킹 보상 - 상위 80% 이내,diamond,　,600
27,11,free,한계의 땅 주간 랭킹 보상 - 상위 100% 이내,diamond,　,100
28,12,free,7일 도전 100 포인트 보상,diamond,　,200
29,12,free,7일 도전 100 포인트 보상,item,6_000002,3
30,13,free,7일 도전 200 포인트 보상,diamond,　,200
31,13,free,7일 도전 200 포인트 보상,item,6_000002,3
32,14,free,7일 도전 300 포인트 보상,diamond,　,200
33,14,free,7일 도전 300 포인트 보상,item,6_000002,5
34,15,free,7일 도전 400 포인트 보상,diamond,　,200
35,15,free,7일 도전 400 포인트 보상,item,6_000002,5
36,16,free,7일 도전 500 포인트 보상,diamond,　,200
37,16,free,7일 도전 500 포인트 보상,item,6_000002,5
38,17,free,7일 도전 1200 포인트 보상,diamond,　,200
39,17,free,7일 도전 1200 포인트 보상,item,6_000002,10
40,18,free,(구) 출석 1일차 보상,diamond,　,100
41,18,free,(구) 출석 1일차 보상,item,6_000002,5
42,18,free,(구) 출석 1일차 보상,meso,　,3000
43,19,free,(구) 출석 2일차 보상,diamond,　,100
