id,ruid,category,color,offsetX,offsetY,exception,제외 사유
5_000001,3271c3e79bf04ecba9a107d55495970d,damageSkin,　,,,1,기본 값
5_000002,9bf18287398c44699c20fc5123d1a1ae,nameTag,#FFFFFFFF,,-0.02,1,기본 값
5_000003,7b6bd117bd0446a5bacec8ea6831c997,chatBalloon,#000000FF,,,1,기본 값
5_000004,5ee3b84f8b494ef18ebb7572170dcff7,damageSkin,　,,,1,한계의 땅 1위 보상
5_000005,29aa897749524646856b3010170fdc5c,nameTag,#B20505FF,,,1,한계의 땅 1위 보상
5_000006,4f45960715324f4ebc49f672efa65bf4,chatBalloon,#B20505FF,,-0.01,1,한계의 땅 1위 보상
5_000007,889114887d0a4b739abc774bf5954239,damageSkin,,,,,
5_000008,c58072edf8e34109a52a308a92c4f6a8,nameTag,#A14046FF,,-0.01,,
5_000009,c97a75a4ea0540cd96cb7d2cd916fb6c,chatBalloon,#A14046FF,,-0.03,,
5_000011,b6c4f60733af4d7191f11b3641c9253e,nameTag,#000000FF,0.01,-0.01,1,크리스마스 시즌성 아이템
5_000012,96f19d3bde1a4ea5b61f81db16c35ae1,chatBalloon,#000000FF,,,1,크리스마스 시즌성 아이템
5_000014,255f6baeb35046e88f57d430e7065d46,nameTag,#FFFFFFFF,,-0.01,,
5_000015,7b36a34b0ebb4d5a80a40dac49914621,chatBalloon,#FFFFFFFF,-0.01,,,
5_000017,a5efcb6f37f94733b184f18c7012fb6c,nameTag,#8C3F00FF,,0.03,,
5_000018,5848d20a39e44f1d977d058dda35be7c,chatBalloon,#8C3F00FF,,,,
5_000020,5f960f2e34c4442990e58329d8efd158,nameTag,#000000FF,,0.01,,
5_000021,7125a9a8366d40c784ab68bfe4592e94,chatBalloon,#000000FF,,-0.02,,
5_000023,c761442a4ed84620a74ee238a2089a6d,nameTag,#FFFFFFFF,,-0.01,,
5_000024,57afdcfa7d5642d89b9a032d13cb21a9,chatBalloon,#FFFFFFFF,,-0.02,,
5_000026,527cd4f0690240b1b7e54f400d91e71b,nameTag,#A14046FF,,-0.01,,
5_000027,c1c71f0d4b734aaf8d37ab481331912c,chatBalloon,#A14046FF,,,,
5_000029,709ceb23d48741d88e4bd6c05e243577,nameTag,#CD4DB4FF,-0.01,-0.01,,
5_000030,5a0dc23475354ce3810f69d33af8786e,chatBalloon,#CD4DB4FF,,0.01,,
5_000032,8d598cdd985345e9a51e29767b54c362,nameTag,#AA4600FF,0.02,0.01,,
5_000033,4ce05f82b64c47fb855525f76f2582cf,chatBalloon,#AA4600FF,,,,
5_000035,c698e4c07b104985acc9cc3d20bb0a22,nameTag,#000000FF,,-0.01,,
5_000036,b6de7b6bcbcf41c5a60e4107c468ab98,chatBalloon,#000000FF,,,,
5_000038,7234d21592b14a6abef533ba9198518f,nameTag,#5139E4FF,-0.03,,,
5_000039,f4fae637400c4c41ab258d225b311f2e,chatBalloon,#5139E4FF,,-0.01,,
5_000041,73062333254349b68e5a58cf92656f7b,nameTag,#A14046FF,-0.02,-0.01,,
5_000042,db7ea8d6c91a420fa0c7ca7605337838,chatBalloon,#A14046FF,,-0.04,,
5_000044,d0797e42153548c2af1c950fb0e32bae,nameTag,#5D2200FF,0.01,0.01,,
5_000045,2c49cc0f6cd348f4a5b9a156faf05a3a,chatBalloon,#5D2200FF,-0.02,,,
5_000047,67dfd0da8a12425c8249a4f5dbcd2503,nameTag,#4D4E59FF,0.03,,,
5_000048,15ae2fd3f9884fce835da0ee38c60b22,chatBalloon,#000000FF,,-0.02,,
5_000049,db86f25624e8440aa0bc32994a108c6d,damageSkin,,,,1,원작 희귀 아이템
5_000050,c23517ed1f7c4e85a147ab990306ad69,nameTag,#FFFC00FF,,-0.01,,
5_000051,8a0388f72686434ab8967404b2981cb3,chatBalloon,#FFFC00FF,,-0.01,,
5_000053,e7656f2dc3054863b488341acd6849bc,nameTag,#000000FF,,-0.01,,
