id,name,mergeLevel,grade,sellingPrice,buyingPrice,category,detailCategory,mergePercent,maxLevel,nextEquipment,effectSound,minLevel,mergeGroup,mergeId,maxStar,star,scale,ruid,ruid_pc_only,outglow
1_001001,pistol01,1,normal,200,0,weapon,,100000,1,1_001002,1f22de9cf4b0426db9a18b3b82ffa16f,1,1,1_001001,4,0,2,,,
1_001002,pistol02,2,rare,800,0,weapon,,100000,5,1_001003,1f22de9cf4b0426db9a18b3b82ffa16f,2,1,1_001001,4,0,2,,,
1_001003,pistol03,3,epic,6400,0,weapon,,100000,13,1_001004,1f22de9cf4b0426db9a18b3b82ffa16f,6,1,1_001001,4,0,2,,,
1_001004,pistol04,4,unique,102400,0,weapon,,100000,29,1_001005,1f22de9cf4b0426db9a18b3b82ffa16f,14,1,1_001001,4,0,2,,,
1_001005,pistol05,5,legendary,3276800,0,weapon,,100000,50,,1f22de9cf4b0426db9a18b3b82ffa16f,30,1,1_001001,4,0,2,,,
1_002001,wristband01,1,normal,200,0,weapon,,100000,1,1_002002,e307923af3d94f00afeba4eb0ef44f68,1,2,1_002001,4,0,2,,,
1_002002,wristband02,2,rare,800,0,weapon,,100000,5,1_002003,e307923af3d94f00afeba4eb0ef44f68,2,2,1_002001,4,0,2,,,
1_002003,wristband03,3,epic,6400,0,weapon,,100000,13,1_002004,e307923af3d94f00afeba4eb0ef44f68,6,2,1_002001,4,0,2,,,
1_002004,wristband04,4,unique,102400,0,weapon,,100000,29,1_002005,e307923af3d94f00afeba4eb0ef44f68,14,2,1_002001,4,0,2,,,
1_002005,wristband05,5,legendary,3276800,0,weapon,,100000,50,,e307923af3d94f00afeba4eb0ef44f68,30,2,1_002001,4,0,2,,,
1_003001,fireStaff01,1,normal,200,0,weapon,,100000,1,1_003002,0a658c2cc44243d68e8f572e7b177d68,1,3,1_003001,4,0,2,5873e933a4a3434988d2eff6c1181bfb,76282c9da79c4e6c8215c6bbfdf815dc,
