mergeLevel,floor,scale,needExp,total
1,0.2,2,40,40
2,0.4,2.002,40,80
3,0.6,2.05205,45,125
4,0.8,2.10335125,50,175
5,1,2.155935031,60,235
6,0.759493671,2.209833407,60,295
7,0.886075949,2.265079242,97.46835443,392.4683544
8,1.012658228,2.321706223,149.8734177,542.3417722
9,1.139240506,2.379748879,218.7341772,761.0759494
10,1.265822785,2.439242601,307.5949367,1068.670886
11,1.774193548,2.500223666,535.8064516,1604.477338
12,1.935483871,2.562729257,714.1935484,2318.670886
13,2.096774194,2.626797489,928.8709677,3247.541854
14,2.258064516,2.692467426,1190,4437.541854
15,2.419354839,2.759779112,1500,5937.541854
16,5.245901639,2.82877359,3798.032787,9735.574641
17,5.573770492,2.899492929,4665.245902,14400.82054
18,5.901639344,2.971980253,5677.377049,20078.19759
19,6.229508197,3.046279759,6846.229508,26924.4271
20,6.557377049,3.122436753,8183.606557,35108.03366
21,19.635,3.200497672,27704.985,62813.01866
22,20.57,3.280510113,32644.59,95457.60866
23,21.505,3.362522866,38235.89,133693.4987
24,22.44,3.446585938,44543.4,178236.8987
25,23.375,3.532750586,51588.625,229825.5237
26,85.02,3.621069351,208043.94,437869.4637
27,88.29,3.711596085,238824.45,676693.9137
28,91.56,3.804385987,273031.92,949725.8337
29,94.83,3.899495637,310947.57,1260673.404
30,98.1,3.996983028,352865.7,1613539.104
31,421.6,4.096907603,1659839.2,3273378.304
32,435.2,4.199330293,1871360,5144738.304
33,448.8,4.304313551,2103525.6,7248263.904
34,462.4,4.411921389,2358240,9606503.904
35,476,4.522219424,2636564,12243067.9
36,2340,4.63527491,14056380,26299447.9
37,2405,4.751156783,15642120,41941567.9
38,2470,4.869935702,17369040,59310607.9
39,2535,4.991684095,19245720,78556327.9
40,2600,5.116476197,21283600,99839927.9
41,14760,5.244388102,130109400,229949327.9
42,15120,5.375497804,143367840,373317167.9
43,15480,5.50988525,157694760,531011927.9
44,15840,5.647632381,173178720,704190647.9
45,16200,5.78882319,189896400,894087047.9
46,104190,5.93354377,1308105450,2202192498
47,106455,6.081882364,1430116470,3632308968
48,108720,6.233929423,1561436640,5193745608
49,110985,6.389777659,1702620885,6896366493
50,113250,6.549522101,1854242250,8750608743
