id,name,grade,description,sellingPrice,buyingPrice,option,category,minLevel,offsetX,offsetY,scale,ruid,outglow,fixedItem,notNoticeUse,expireDate
3_000001,소울 에그 (Lv. 1 ~ 5),normal,노멀~레어 획득 가능,0,0,,egg,1,0,0,2,c0a5ee2465734773bbab5a2a86e42b1f,　,,0,
3_000002,소울 에그 (Lv. 6 ~ 10),normal,에픽 획득 가능,0,0,,egg,6,0,0,2,90deb95807144d9caf3d5ac5de808ec2,　,,0,
3_000003,소울 에그 (Lv. 11 ~ 15),rare,에픽~유니크 획득 가능,0,0,,egg,11,0,0,2,b69a52860ed84d509f58f98dd20e3fcd,　,,0,
3_000004,소울 에그 (Lv. 16 ~ 20),rare,유니크 획득 가능,0,0,,egg,16,0,0,2,1e6f583ac00643bc8e1f4bedbe9d8b4a,　,,0,
3_000005,소울 에그 (Lv. 21 ~ 25),epic,유니크 획득 가능,0,0,,egg,21,0,0,2,58e32c9ea8c84a74881cc7e46b26b55d,　,,0,
3_000006,소울 에그 (Lv. 26 ~ 30),epic,유니크~레전더리 획득 가능,0,0,,egg,26,0,0,2,c97a7a86387c4a879c98a8160803df1c,　,,0,
3_000007,소울 에그 (Lv. 31 ~ 35),unique,레전더리 획득 가능,0,0,,egg,31,0,0,2,08a1b25478034dfeb39b89f88ab0456d,　,,0,
3_000008,소울 에그 (Lv. 36 ~ 40),unique,레전더리 획득 가능,0,0,,egg,36,0,0,2,58688bc586ca469bbf8644bcb384b01a,　,,0,
3_000009,소울 에그 (Lv. 41 ~ 45),legendary,레전더리 획득 가능,0,0,,egg,41,0,0,2,70f970b171c0427e8474726c89a29fcd,　,,0,
3_100001,소울 에그 (Lv. 1),tutorial,튜토리얼용,0,0,,egg,1,0,0,2,c0a5ee2465734773bbab5a2a86e42b1f,　,1_001001,0,
3_100002,소울 에그 (Lv. 5),normal,5레벨 레어 획득 가능,0,0,,egg,5,0,0,2,c0a5ee2465734773bbab5a2a86e42b1f,,,0,
3_100003,소울 에그 (Lv. 10),normal,10레벨 에픽 획득 가능,0,0,,egg,10,0,0,2,90deb95807144d9caf3d5ac5de808ec2,,,0,
3_100004,소울 에그 (Lv. 15),rare,15레벨 유니크 획득 가능,0,0,,egg,15,0,0,2,b69a52860ed84d509f58f98dd20e3fcd,　,,0,
3_100005,소울 에그 (Lv. 20),rare,20레벨 유니크 획득 가능,0,0,,egg,20,0,0,2,1e6f583ac00643bc8e1f4bedbe9d8b4a,,,0,
3_100006,소울 에그 (Lv. 25),epic,25레벨 유니크 획득 가능,0,0,,egg,25,0,0,2,58e32c9ea8c84a74881cc7e46b26b55d,,,0,
4_000001,주문서,normal,주문서,0,0,,scroll,0,0,0,2,8e7f0863fb5a4a758f4dd9a2351777c9,　,,0,
5_000001,기본 대미지 스킨,normal,"장착 시, 기본 대미지 스킨이 적용됩니다.",0,0,,decoration,0,-16,-16,0,00881001d105461a92a74b9c8bf8dcc2,　,,0,
5_000002,기본 명찰,normal,"장착 시, 기본 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,00881001d105461a92a74b9c8bf8dcc2,　,,0,
5_000003,기본 말풍선,normal,"장착 시, 기본 말풍선이 적용됩니다.",0,0,,decoration,0,-16,-16,0,00881001d105461a92a74b9c8bf8dcc2,　,,0,
5_000004,검은 사슬 대미지 스킨,legendary,"장착 시, 검은 사슬 대미지 스킨이 적용됩니다.",0,0,,decoration,0,-16,-16,0,061d6398f5754fae8e8c245b37b9c30b,　,,0,
5_000005,검은 마법사 명찰,legendary,"장착 시, 검은 마법사 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,b605ecd80f7b435fae2887ac5968f8e8,　,,0,
5_000006,검은 마법사 말풍선,legendary,"장착 시, 검은 마법사 말풍선이 적용됩니다.",0,0,,decoration,0,-16,-16,0,3898f00e50fe4063a536109db6627c77,　,,0,
5_000007,꿀꿀 대미지 스킨,normal,"장착 시, 꿀꿀 대미지 스킨이 적용됩니다.",0,0,,decoration,0,-16,-16,0,993dd4bd192a4de3ad5c255f93a04817,　,,0,
5_000008,꿀꿀 명찰,normal,"장착 시, 꿀꿀 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,005371113d9944bca291a06e9a3f0c38,　,,0,
5_000009,꿀꿀 말풍선,normal,"장착 시, 꿀꿀 말풍선이 적용됩니다.",0,0,,decoration,0,-16,-16,0,0d3f54831ad64adaa90322391c67fd05,　,,0,
5_000011,크리스마스 리스 명찰,normal,"장착 시, 크리스마스 리스 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,04f63d9abe14446fb94b5dca654cb480,　,,0,
5_000012,크리스마스 리스 말풍선,normal,"장착 시, 크리스마스 리스 말풍선이 적용됩니다.",0,0,,decoration,0,-16,-16,0,2d1ac29f6c784b1b8dd5cbf959c60e3d,　,,0,
5_000014,호양이 명찰,normal,"장착 시, 호양이 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,0c8ed59ef4614944b8b66f2c647ed9c0,　,,0,
5_000015,호양이 말풍선,normal,"장착 시, 호양이 말풍선이 적용됩니다.",0,0,,decoration,0,-16,-16,0,1c68d656a8624f4a9eb59de3374c8f99,　,,0,
5_000017,꿀벌 명찰,normal,"장착 시, 꿀벌 명찰이 적용됩니다.",0,0,,decoration,0,-16,-16,0,0dcbae23bcf84f119be655854c69fb7b,　,,0,
