chapter,wave,group,monster,spawnMin,spawnMax,formation,option,delay,interval,spawnCount,spawnRadius,monsterWave,life,theme
1,1,1,Pudgy Flower,30,30,circle,12,0,1,1,15,　,2,forest
1,1,1,Toxiblossom,30,30,circle,12,1,1,1,15,　,2,forest
1,1,1,buggy,12,12,circle,30,2,1,1,15,　,2,forest
1,1,1,EliteBoss_Toxiblossom,1,1,random,　,5,1,1,15,　,1,forest
1,2,1,Toxiblossom,30,30,circle,12,0,1,1,15,　,2,forest
1,2,1,Hoppin' Sprout,30,30,circle,12,1,1,1,15,　,2,forest
1,2,1,buggy,12,12,circle,30,2,1,1,15,　,2,forest
1,2,1,EliteBoss_Chargin' Sprout,1,1,random,　,5,1,1,15,　,1,forest
1,3,1,Hoppin' Sprout,30,30,circle,12,0,1,1,15,　,2,forest
1,3,1,Chargin' Sprout,30,30,circle,12,1,1,1,15,　,2,forest
1,3,1,buggy,12,12,circle,30,2,1,1,15,　,2,forest
1,3,1,EliteBoss_Sparkinstone Bugs,1,1,random,　,5,1,1,15,　,1,forest
1,4,1,Log-a-Rhythmic Bugs,30,30,circle,12,0,1,1,15,　,2,forest
1,4,1,Sparkinstone Bugs,30,30,circle,12,1,1,1,15,　,2,forest
1,4,1,snail_big,12,12,circle,30,2,1,1,15,　,2,forest
1,4,1,EliteBoss_Ruins Sentinel,1,1,random,　,5,1,1,15,　,1,forest
1,5,1,green_slime,30,30,circle,12,0,1,1,15,　,2,forest
1,5,1,ribbon_pig,30,30,circle,12,1,1,1,15,　,2,forest
1,5,1,snail_big,12,12,circle,30,2,1,1,15,　,2,forest
1,5,1,Boss_slime,1,1,random,　,5,1,1,15,　,1,forest
1,6,1,Ruins Guardian,30,30,circle,12,0,1,1,15,　,2,forest
1,6,1,Ruins Sentinel,30,30,circle,12,1,1,1,15,　,2,forest
1,6,1,Sparrow,12,12,circle,30,2,1,1,15,　,2,forest
1,6,1,EliteBoss_Thorny Bramble,1,1,random,　,5,1,1,15,　,1,forest
1,7,1,Forest Howlet,30,30,circle,12,0,1,1,15,　,2,forest
1,7,1,Night Howlet,30,30,circle,12,1,1,1,15,　,2,forest
1,7,1,Sparrow,12,12,circle,30,2,1,1,15,　,2,forest
1,7,1,EliteBoss_Blue Spring Sprite,1,1,random,　,5,1,1,15,　,1,forest
1,8,1,Thorny Bramble,30,30,circle,12,0,1,1,15,　,2,forest
1,8,1,Hay Bundle,30,30,circle,12,1,1,1,15,　,2,forest
1,8,1,Blue Spring Sprite,12,12,circle,30,2,1,1,15,　,2,forest
1,8,1,EliteBoss_Dust Bundle,1,1,random,　,5,1,1,15,　,1,forest
1,9,1,Dust Bundle,30,30,circle,12,0,1,1,15,　,2,forest
