Key,Source,type,ko,en,es,zh-cn,zh-tw
normal,노멀,,노멀,Normal,Normal,普通,普通
rare,레어,,레어,Rare,Raro,稀有,稀有
epic,에픽,,에픽,Epic,Épico,史诗,史詩
unique,유니크,,유니크,Unique,Único,罕见,罕見
legendary,레전더리,,레전더리,Legendary,Legendario,传说,傳說
1_001001_CardDescription,권총을 소환합니다.\n빠른 속도로 총알을 발사합니다.,,권총을 소환합니다.\n빠른 속도로 총알을 발사합니다.,Summon a Pistol.\nShoots bullets rapidly.,Invoca una pistola.\nDispara balas a gran velocidad.,召唤手枪。\n快速发射子弹。,召喚槍枝。\n快速發射子彈。
1_002001_CardDescription,아대를 소환합니다.\n여러 개의 표창을 빠르게 던집니다.,,아대를 소환합니다.\n여러 개의 표창을 빠르게 던집니다.,Summon a Claw.\nQuickly throws multiple throwing stars.,Invoca una garra.\nLanza rápidamente varias estrellas voladoras.,召唤护腕。\n快速投掷多个飞镖。,召喚拳套。\n快速投擲多個飛鏢。
1_003001_CardDescription,파이어 스태프를 소환합니다.\n화재를 일으키는 파이어볼을 발사합니다.,,파이어 스태프를 소환합니다.\n화재를 일으키는 파이어볼을 발사합니다.,Summon a Fire Staff.\nShoots a fireball that spreads fire.,Invoca un bastón de fuego.\nDispara una bola de fuego que crea un incendio.,召唤火焰长杖。\n发射引起火灾的火球。,召喚火焰長杖。\n發射引起火災的火球。
1_004001_CardDescription,폴암을 소환합니다.\n적들을 때리며 날아다닙니다.,,폴암을 소환합니다.\n적들을 때리며 날아다닙니다.,Summon a Polearm.\nFlies around while striking enemies.,Invoca un arma de asta.\nVuela mientras golpeas a los enemigos.,召唤长枪。\n飞行并攻击敌人。,召喚矛。\n飛行並攻擊敵人。
1_005001_CardDescription,활을 소환합니다.\n강력한 화살을 발사합니다.,,활을 소환합니다.\n강력한 화살을 발사합니다.,Summon a Bow.\nShoots a powerful arrow.,Invoca un arco.\nDispara una flecha poderosa.,召唤弓。\n发射强大的箭矢。,召喚弓。\n發射強大的箭矢。
1_006001_CardDescription,부채를 소환합니다.\n적들을 밀어내는 폭풍을 일으킵니다.,,부채를 소환합니다.\n적들을 밀어내는 폭풍을 일으킵니다.,Summon a Fan.\nCreates a storm that pushes back enemies.,Invoca un abanico.\nCrea una tormenta que hace retroceder a los enemigos.,召唤扇子。\n掀起击退敌人的风暴。,召喚扇子。\n引發擊退敵人的風暴。
1_007001_CardDescription,데몬 소드를 소환합니다.\n플레이어 주변을 회전하며 닿는 적을 공격합니다.,,데몬 소드를 소환합니다.\n플레이어 주변을 회전하며 닿는 적을 공격합니다.,"Summon a Demon Sword.\nSpins around the player, striking nearby enemies.","Invoca una espada de demonio.\nGira alrededor del jugador, atacando a los enemigos que entren en contacto.",召唤恶魔剑。\n使其旋转在玩家周围，攻击接触到的敌人。,召喚惡魔之劍。\n使其在玩家周圍迴轉且攻擊碰觸到的敵人。
1_008001_CardDescription,캐논을 소환합니다.\n크게 폭발하는 포탄을 발사합니다.,,캐논을 소환합니다.\n크게 폭발하는 포탄을 발사합니다.,Summon a Cannon.\nShoots a shell that makes a big explosion.,Invoca un cañón.\nDispara una bala que produce una gran explosión.,召唤加农炮。\n发射大范围爆炸的炮弹。,召喚加農炮。\n發射大範圍爆炸的炮彈。
1_009001_CardDescription,브레스 슈터를 소환합니다.\n화살이 적들을 뚫고 가며 화상을 입힙니다.,,브레스 슈터를 소환합니다.\n화살이 적들을 뚫고 가며 화상을 입힙니다.,Summon a Whispershot.\nShoots an arrow that pierces and burns enemies.,Invoca un Tiro susurrante.\nLa flecha atraviesa y quema a los enemigos.,召唤龙息臂箭。\n发射箭矢穿透敌人，造成烧伤效果。,召喚龍息射手。\n發射箭矢貫穿敵人，造成燒傷效果。
1_010001_CardDescription,라이트닝 완드를 소환합니다.\n적에게 유도되는 라이트닝볼을 여러 개 발사합니다.,,라이트닝 완드를 소환합니다.\n적에게 유도되는 라이트닝볼을 여러 개 발사합니다.,Summon a Lightning Wand.\nShoots multiple lightning balls that seek out enemies.,Invoca una varita de relámpago.\nDispara múltiples bolas de rayos dirigidas al enemigo.,召唤雷电短杖。\n发射多个飞向敌人的雷电球。,召喚雷電短杖。\n發射多個飛往敵人的雷電球。
1_011001_CardDescription,사운드 슈터를 소환합니다.\n적을 유혹하는 음파를 발사합니다.,,사운드 슈터를 소환합니다.\n적을 유혹하는 음파를 발사합니다.,Summon a Sound Shooter.\nShoots a sound wave that charms the enemy.,Invoca a un tirador de sonido.\nDispara una onda sonora que tienta al enemigo.,召唤声波发射器。\n发射迷惑敌人的声波。,召喚聲波發射器。\n發射迷惑敵人的聲波。
1_012001_CardDescription,체스피스를 소환합니다.\n지속 피해를 입히는 중력장을 생성합니다.,,체스피스를 소환합니다.\n지속 피해를 입히는 중력장을 생성합니다.,Summon a Chess Piece.\nCreates a gravity field that deals continuous damage.,Invoca una pieza de ajedrez.\nCrea un campo gravitacional que provoca daño continuo.,召唤西洋棋。\n生成造成持续伤害的重力场。,召喚西洋棋。\n生成造成持續傷害的重力場。
1_013001_CardDescription,망치를 소환합니다.\n날아다니며 땅을 내려찍어 충격파를 일으킵니다.,,망치를 소환합니다.\n날아다니며 땅을 내려찍어 충격파를 일으킵니다.,Summon a Hammer.\nFlies around and smashes the ground to create a shock wave.,Invoca un martillo.\nVuela y golpea el suelo para crear una onda de choque.,召唤锤子。\n飞行并锤击地面，造成冲击波。,召喚錘子。\n飛行並錘擊地面後，造成衝擊波。
1_014001_CardDescription,버드 보우를 소환합니다.\n깃털을 휘날리는 새를 날려 보냅니다.,,버드 보우를 소환합니다.\n깃털을 휘날리는 새를 날려 보냅니다.,Summon a Bird Bow.\nShoots a bird that scatters feathers.,Invoca un arco de pájaro.\nEnvía un pájaro con plumas que revolotean.,召唤鸟弓。\n发射挥动羽毛的鸟。,召喚鳥弓。\n發射揮動羽毛的鳥。
1_015001_CardDescription,단검을 소환합니다.\n적들을 찌르며 날아다닙니다.,,단검을 소환합니다.\n적들을 찌르며 날아다닙니다.,Summon a Dagger.\nFlies around and strikes enemies.,Invoca una daga.\nVuela y apuñala a los enemigos.,召唤短剑。\n飞行并刺击敌人。,召喚短劍。\n飛行並刺擊敵人。
pistol,권총,,권총,Pistol,Pistola,手枪,槍手
wristband,아대,,아대,Claw,Garra,护腕,拳套
fireStaff,파이어 스태프,,파이어 스태프,Fire Staff,Bastón de fuego,火焰长杖,火焰長杖
polearm,폴암,,폴암,Polearm,Arma de Asta,长枪,矛
bow,활,,활,Bow,Arco,弓,弓
fan,부채,,부채,Fan,Abanico,扇子,扇子
demonSword,데몬 소드,,데몬 소드,Demon Sword,Espada de demonio,恶魔剑,惡魔之劍
cannon,캐논,,캐논,Cannon,Cañón,加农炮,加農砲
breathShooter,브레스 슈터,,브레스 슈터,Whispershot,Tiro susurrante,龙息臂箭,龍息射手
lightningWand,라이트닝 완드,,라이트닝 완드,Lightning Wand,Varita de relámpago,雷电短杖,雷電短杖
soundShooter,사운드 슈터,,사운드 슈터,Sound Shooter,Tirador de sonido,声波发射器,聲波發射器
chessPiece,체스피스,,체스피스,Chess Piece,Pieza de ajedrez,西洋棋,西洋棋
hammer,망치,,망치,Hammer,Martillo,锤子,鐵鎚
birdBow,버드 보우,,버드 보우,Bird Bow,Arco de pájaro,鸟弓,鳥弓
dagger,단검,,단검,Dagger,Daga,短剑,短劍
Helmet_Warrior,용사의 투구,,용사의 투구,Warrior Helmet,Casco de guerrero,勇士头盔,冒險家頭盔
Helmet_Sniper,명사수의 모자,,명사수의 모자,Marksman Hat,Sombrero de cazador furtivo,神射手帽子,神射手帽子
Helmet_Shark,상어탈,,상어탈,Shark Mask,Máscara de tiburón,鲨鱼面具,鯊魚面具
Helmet_Angel,가디언 엔젤,,가디언 엔젤,Guardian Angel,Ángel guardián,守卫天使,守護天使
Suit_Martial,무술 도복,,무술 도복,Martial Arts Uniform,Uniforme de artes marciales,武术道服,武術道服
Suit_Poor,접근 주의,,접근 주의,Access Warning,Advertencia de acceso,注意靠近,小心接近
Suit_Shield,실드 수트,,실드 수트,Shield Suit,Traje escudo,防护套装,盾牌盔甲
Suit_Chicken,닭이 되고 싶닭,,닭이 되고 싶닭,Wannabe Chicken,Aspirante a pollo,想成为鸡,想成為雞
Glove_Wing,치유의 날개,,치유의 날개,Healing Wings,Alas curativas,治愈的翅膀,治癒翅膀
Glove_Boxer,복싱 글러브,,복싱 글러브,Boxing Gloves,Guantes de boxeo,搏击手套,拳擊手套
Glove_Flame,화염 장갑,,화염 장갑,Flame Gloves,Guantes de llama,火焰手套,火焰手套
Glove_Weapon,메카닉 핸드,,메카닉 핸드,Mechanic Hand,Mano mecánica,机械手,機械手臂
Shoes_Roller,민첩한 발걸음,,민첩한 발걸음,Agile Steps,Pasos ágiles,敏捷的脚步,敏捷的腳步
Shoes_Bomb,폭발 주의,,폭발 주의,Explosion Warning,Advertencia de explosión,小心爆炸,小心爆炸
Shoes_Football,축구화,,축구화,Soccer Cleats,Botas de fútbol,足球鞋,足球鞋
Shoes_Slime,슬라임 슈즈,,슬라임 슈즈,Slime Shoes,Zapatos de babas,绿水灵鞋,綠水靈鞋
1_001001_SpecialBuffDescription,분신이 등장하여 난사합니다.,,분신이 등장하여 난사합니다.,Summons a clone that shoots randomly.,Invoca a un clon que dispara al azar.,生成分身并发动扫射。,生成分身並發動亂射。
1_002001_SpecialBuffDescription,표창을 날리는 팽이가 소환됩니다.,,표창을 날리는 팽이가 소환됩니다.,Summons a top that shoots throwing stars.,Invoca una peonza que lanza estrellas voladoras.,召唤投掷飞镖的陀螺。,召喚投擲飛鏢的陀螺。
1_003001_SpecialBuffDescription,불이 붙은 바위가 굴러가며 몬스터들을 납작하게 만듭니다.,,불이 붙은 바위가 굴러가며 몬스터들을 납작하게 만듭니다.,Summons a flaming boulder that flattens enemies.,Invoca a una roca llameante que aplasta a los enemigos.,滚动燃烧的岩石，压扁怪物。,滾動燃燒的岩石，將怪物壓扁。
1_004001_SpecialBuffDescription,"타격 시, 폴암이 3개 복제되어 날아갑니다.",,"타격 시, 폴암이 3개 복제되어 날아갑니다.","On hit, summons 3 flying polearms.","Al golpear, se copian tres armas de asta voladoras.",攻击时，复制3个长枪后飞射。,攻擊時，複製3個矛後發。
1_005001_SpecialBuffDescription,몬스터에게 화살 비를 내립니다.,,몬스터에게 화살 비를 내립니다.,Showers the enemy with arrows.,Hace llover flechas sobre el enemigo.,在怪物所在之处降下箭雨。,對怪物降下箭雨。
1_006001_SpecialBuffDescription,몬스터를 끌고 가는 태풍을 소환합니다.,,몬스터를 끌고 가는 태풍을 소환합니다.,Summons a typhoon that pulls the enemy.,Invoca un tifón que arrastra al enemigo.,召唤可卷走怪物的台风。,召喚可席捲怪物的颱風。
