id,name,ruid,text,interaction
guard,경비병 가드릭,35e4b5f323e34689bddf880dfe04eed4,마을 밖은 위험합니다.,npc_interaction_talk
crafter,대장장이 스미티아,ec0baf7455b143a5aaba261ab8e5ce55,강력한 무기를 만들어 달라고?,npc_interaction_talk
instructor,특성교관 마이,71446f6b7a3c44dfba932b5692683d09,강해지기 위해선 혹독한 훈련이 필요한 법!!!!!!,npc_interaction_talk
crack,균열,018490c89cf94f40859704167df57b09,,npc_interaction_look
soldier1,nil,4e79d1b991e54f41b58d534efc660bbf,갑시다!!,
soldier2,nil,4e79d1b991e54f41b58d534efc660bbf,으쌰!!,
soldier3,nil,4e79d1b991e54f41b58d534efc660bbf,넵!,
soldier4,nil,4e79d1b991e54f41b58d534efc660bbf,알겠습니다!,
soldier5,nil,4e79d1b991e54f41b58d534efc660bbf,가보자고~!,
soldier6,nil,4e79d1b991e54f41b58d534efc660bbf,충성!,
collector,장비수집가 센밀,abfb831f92064b09b0da47b2d17b42db,장비 도감을 완벽하게 채우고 싶은 강박증이~!,npc_interaction_talk
patrol,탐색대장 파트로스,508ad74b37084e5b909dd35e58a931c8,마을에 도움이 될 만한 물건이 있으면 들고 온다. 알겠나?,npc_interaction_talk
cashShop,명품상인 골드리치,c083939b63a74364b9220b54e4818bce,내가 더 부자가 되도록 많이 사가거라~,npc_interaction_talk
limitLand,개척자 다이달,2e17c7b0a8bb464fb5992e0a76208bf7,한계의 땅에 발을 들였다간 뼈도 못 추려!,npc_interaction_talk
rank,순위기록관 레나리우,6234464301354d258e5c89152dfa707e,순위를 보고 싶으신가요?,npc_interaction_talk
info,모험가정보관 부클러만,004beb9510914c86845557a49096a743,자네의 정보는 내가 잘 관리하고 있지...,npc_interaction_talk
attendance,출석관리자 피엥,0fec65b263654a19b5bf9f841b00ae2e,이 모험가님이... 오늘 출석하셨었나...?,npc_interaction_talk
pet,펫상인 유타,1ff1ab686f9e48ceb058e0e09459523e,귀여운 펫 입양해 가세요~!,npc_interaction_talk
quest,소울칼리버 칼자루,8e2b64a69b3e46918b1f68f63703375d,...,npc_interaction_look
barbosa,해적왕 바르보사,a36e7ed0cbb54312a87449241a2f17b5,,
chestnutMouse,밤도둑 서생원,0b6b7c4026204e26b11fb786d0974419,,
yeti,예티와 페페,32b334e37a3f4643b1f6e81bf279403c,,
seren,선택받은 세렌:여명,a3d5e8f3a728489cb789d2d74dda09b8,,
soulDust,의문의 연구원,2c55a484ecb948e0b142bb6eae2b0d0b,소울 더스트가 필요해..,npc_interaction_talk
cygnus,시그너스,0e3a77cc7fac45ffa4edb0552164a4a0,,
monk,추억의 사제,25ba4cb49e524b8bbedb02f45abe9282,,
pontiff,후회의 신관,0f6b0162aed8470c826e71ba31275ab6,,
executor,어둠의 집행자,50ae20fb37aa40cdbf9c5c47dc67fc9c,,
EmergencyRobotL,비상용 경비 로봇 L,1a121899d854485b85a6f9689fbde761,,
WildMonkey,시나운 원숭이,2048206a0aa3487e8d86c2d421978dbf,,
kingSageCat,요괴선사,02d90e6ae7b54d3eb1436c18f90e2b7d,,
guardianAngelSlime,가디언 엔젤 슬라임,841fddef3f5b40f9a1e4800d9a26c5ad,,
guardianAngelSlime_hit,가디언 엔젤 슬라임,8daa9481d843416c9bb513270e5c85f7,,
frog,개구리,183e7b4843cd4e1ca298bb6aa73ec4c2,,
2402Shop,놀부,0d05f579936e41ab88f4ccaed8867391,거기 너!! 가서 복조리 좀 가져오너라.,npc_interaction_talk
pilot,조종사 어빈,38ae3efd50ec4813b2bf3ee15bcaf8ac,어디로 가고 싶다고?,npc_interaction_talk
fieldMerchant,상인 도르,6bf844f502aa4088a35ad2e77911e0d9,얼마까지 알아보고 왔어?,npc_interaction_talk
