id,name,grade,skillDescription,statDescription,petType,skillInterval,effectAmount,itemDropBonus,expBonus,goodsBonus,moveRUID,ruid,pivotX,pivotY,set,exp
1_001,병아리,S,"장착 시, 맵 곳곳에 흩뿌려진 크리스탈 오브를 부숩니다. (속도 %.2f)","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",DiggingPet,1,1,0,0,0,f561128d31f14e59b2e8222c0f06f1f6,71b2185a3b5d40029bb22d6f69e2d741,0,-10,1,179
2_001,쁘띠 피코,S,"장착 시, 일정 범위 내의 경험치 구슬을 자동으로 획득합니다. (범위 %.2f)","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",CollectingPet,0,3,0,0,0,e392b8b332384864be5d2787bddedaaf,9b0582d9a5834b67b0386102cc26c7ad,0,-20,1,179
3_001,절세미호,S,"장착 시, %.2f초마다 주위 몬스터를 한 곳으로 모읍니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",GatheringPet,10,3,0,0,0,1bc04a35b54948bbb1ed70cc6c7ed0c7,252f379f49cc47e5a0203881286d7482,10,-30,2,179
4_001,쁘띠 포니,S,"장착 시, %.2f초에 한 번씩 플레이어의 체력을 1%% 회복시킵니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",HealingPet,10,1,0,0,0,90dd87f1a5a04557989c8228b7887507,155abedb8b3a4c72a9852716f359c2b8,0,-20,2,179
5_001,쁘띠 오르카,S,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 슬로우 디버프를 겁니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",SlowingPet,3,5,0,0,0,1fbcdb1ed4cd4e9bb7a0b9a5c148340f,95890226a10b44c98039c5648f430334,0,-30,3,179
6_001,쁘띠 레온,S,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 스턴 디버프를 겁니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",StunningPet,3,3,0,0,0,ef89ea0c5983441590b5d66ba4d4307f,fba28c5bc3664b8aad8adc5e3a4a1876,0,-30,3,179
7_001,쁘띠 힐라,S,"장착 시, %.2f초에 한 번씩 일정 구역의 몬스터에게 중독 디버프를 겁니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",PoisoningPet,3,2,0,0,0,9b6f73ace60145728d7b3f2c8c34dbf4,2f26687204a64757af3208e5789b10aa,0,-50,3,179
8_001,숲 속 도리,S,"장착 시, 소울 에그 드롭 확률이 %.2f%% 증가합니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",BonusPet,0,0,10,0,0,e5991c80ab8f4a6fb73fbab4b07cb6cc,03c261cd601142118a48448ae6bcd34e,0,-20,4,179
9_001,숲 속 윙클,S,"장착 시, 스테이지 내에서 경험치 획득량이 %.2f%% 증가합니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",BonusPet,0,0,0,30,0,02138d87f6dd4757921ff57fe58b5403,51918dffb9ef47109b09a81a4602b852,0,-20,4,179
10_001,숲 속 다롱,S,"장착 시, 클리어 보상(메소, 에너지 스톤, 주문서)이 %.2f%% 증가합니다.","S 등급 펫 효과(치명타 확률 5%, 회피율 5% 증가)가 적용됩니다.",BonusPet,0,0,0,0,30,9543b75bbc374d5b9a713c90f76c56d8,422d3437dc1a40b8a2da1a26a78ef492,0,-20,4,179
