Level,NeedToFillExp,NextLevel,max_Attack_Level,max_Hp_Level,max_Mp_Level,max_ReductCooltime_Level
1,50,2,10,10,5,5
2,100,3,10,10,5,5
3,150,4,10,10,5,5
4,200,5,10,10,5,5
5,250,6,10,10,5,5
6,300,7,10,10,5,5
7,350,8,10,10,5,5
8,400,9,10,10,5,5
9,450,10,10,10,5,5
10,500,11,10,10,5,5
11,550,12,10,10,5,5
12,600,13,10,10,5,5
13,650,14,10,10,5,5
14,700,15,10,10,5,5
15,750,16,10,10,5,5
16,800,17,10,10,5,5
17,850,18,10,10,5,5
18,900,19,10,10,5,5
19,950,20,10,10,5,5
20,1000,21,10,10,5,5
21,1050,22,10,10,5,5
22,1100,23,10,10,5,5
23,1150,24,10,10,5,5
24,1200,25,10,10,5,5
25,1250,26,10,10,5,5
26,1300,27,10,10,5,5
27,1350,28,10,10,5,5
28,1400,29,10,10,5,5
29,1450,30,10,10,5,5
30,1500,31,10,10,5,5
31,3080,32,30,30,15,15
32,3200,33,30,30,15,15
33,3320,34,30,30,15,15
34,3441,35,30,30,15,15
35,3563,36,30,30,15,15
36,3686,37,30,30,15,15
37,3809,38,30,30,15,15
38,3933,39,30,30,15,15
39,4057,40,30,30,15,15
40,4183,41,30,30,15,15
41,4308,42,30,30,15,15
42,4435,43,30,30,15,15
43,4562,44,30,30,15,15
44,4689,45,30,30,15,15
45,4818,46,30,30,15,15
46,4946,47,30,30,15,15
47,5076,48,30,30,15,15
48,5205,49,30,30,15,15
49,5336,50,30,30,15,15
50,5467,51,30,30,15,15
51,5598,52,30,30,15,15
52,5730,53,30,30,15,15
53,5863,54,30,30,15,15
54,5996,55,30,30,15,15
55,6129,56,30,30,15,15
56,6263,57,30,30,15,15
57,6398,58,30,30,15,15
58,6533,59,30,30,15,15
59,6668,60,30,30,15,15
60,6804,61,30,30,15,15
61,6940,62,30,30,15,15
62,7077,63,30,30,15,15
63,7214,64,30,30,15,15
64,7352,65,30,30,15,15
65,7490,66,30,30,15,15
66,7628,67,30,30,15,15
67,7767,68,30,30,15,15
68,7906,69,30,30,15,15
69,8046,70,30,30,15,15
70,8186,71,30,30,15,15
71,8327,72,30,30,15,15
72,8468,73,30,30,15,15
73,8609,74,30,30,15,15
74,8751,75,30,30,15,15
75,8893,76,30,30,15,15
76,9035,77,30,30,15,15
77,9178,78,30,30,15,15
78,9321,79,30,30,15,15
79,9465,80,30,30,15,15
80,9609,81,30,30,15,15
81,9753,82,30,30,15,15
82,9898,83,30,30,15,15
83,10043,84,30,30,15,15
84,10188,85,30,30,15,15
85,10334,86,30,30,15,15
86,10480,87,30,30,15,15
87,10627,88,30,30,15,15
88,10773,89,30,30,15,15
89,10920,90,30,30,15,15
90,11068,91,30,30,15,15
91,27646,92,50,50,25,25
92,28072,93,50,50,25,25
93,28500,94,50,50,25,25
94,28930,95,50,50,25,25
95,29362,96,50,50,25,25
96,29795,97,50,50,25,25
97,30231,98,50,50,25,25
98,30668,99,50,50,25,25
99,31107,100,50,50,25,25
100,31548,101,50,50,25,25
101,31990,102,50,50,25,25
102,32435,103,50,50,25,25
103,32881,104,50,50,25,25
104,33329,105,50,50,25,25
105,33778,106,50,50,25,25
106,34229,107,50,50,25,25
107,34682,108,50,50,25,25
108,35137,109,50,50,25,25
109,35593,110,50,50,25,25
110,36051,111,50,50,25,25
111,36511,112,50,50,25,25
112,36972,113,50,50,25,25
