accumulatedPoints,attack,hp,mp,reductCooltime
0,1,150,200,0
1,4,350,250,1
2,9,700,300,2
3,16,1050,350,3
4,25,1400,400,4
5,36,1750,450,5
6,49,2100,500,6
7,64,2450,550,7
8,81,2800,600,8
9,100,3150,650,9
10,121,3500,700,10
11,144,4250,750,11
12,169,5000,800,12
13,196,5750,850,13
14,225,6500,900,14
15,256,7250,950,15
16,289,8000,1000,16
17,324,8750,1050,17
18,361,9500,1100,18
19,400,10250,1150,19
20,441,11000,1200,20
21,484,11750,1250,21
22,529,12500,1300,22
23,576,13250,1350,23
24,625,14000,1400,24
25,676,14750,1450,25
26,729,15500,1500,26
27,784,16250,1550,27
28,841,17000,1600,28
29,900,17750,1650,29
30,961,18500,1700,30
31,1024,20500,1750,31
32,1089,22500,1800,32
33,1156,24500,1850,33
34,1225,26500,1900,34
35,1296,28500,1950,35
36,1369,30500,2000,36
37,1444,32500,2050,37
38,1521,34500,2100,38
39,1600,36500,2150,39
40,1681,38500,2200,40
41,1764,40500,2250,41
42,1849,42500,2300,42
43,1936,44500,2350,43
44,2025,46500,2400,44
45,2116,48500,2450,45
46,2209,50500,2500,46
47,2304,52500,2550,47
48,2401,54500,2600,48
49,2500,56500,2650,49
50,2601,58500,2700,50
51,2704,62500,2750,51
52,2809,66500,2800,52
53,2916,70500,2850,53
54,3025,74500,2900,54
55,3136,78500,2950,55
56,3249,82500,3000,56
57,3364,86500,3050,57
58,3481,90500,3100,58
59,3600,94500,3150,59
60,3721,98500,3200,60
61,3844,102500,3250,61
62,3969,106500,3300,62
63,4096,110500,3350,63
64,4225,114500,3400,64
65,4356,118500,3450,65
66,4489,122500,3500,66
67,4624,126500,3550,67
68,4761,130500,3600,68
69,4900,134500,3650,69
70,5041,138500,3700,70
71,5184,142500,3750,71
72,5329,146500,3800,72
73,5476,150500,3850,73
74,5625,154500,3900,74
75,5776,158500,3950,75
76,5929,162500,4000,76
77,6084,166500,4050,77
78,6241,170500,4100,78
79,6400,174500,4150,79
80,6561,178500,4200,80
81,6724,189550,4250,81
82,6889,200600,4300,82
83,7056,211650,4350,83
84,7225,222700,4400,84
85,7396,233750,4450,85
86,7569,244800,4500,86
87,7744,255850,4550,87
88,7921,266900,4600,88
89,8100,277950,4650,89
90,8281,289000,4700,90
91,8464,300050,4750,91
92,8649,311100,4800,92
93,8836,322150,4850,93
94,9025,333200,4900,94
95,9216,344250,4950,95
96,9409,355300,5000,96
97,9604,366350,5050,97
98,9801,377400,5100,98
99,10000,388450,5150,99
100,10201,399500,5200,100
101,10404,410550,5200,100
102,10609,421600,5200,100
103,10816,432650,5200,100
104,11025,443700,5200,100
105,11236,454750,5200,100
106,11449,465800,5200,100
107,11664,476850,5200,100
108,11881,487900,5200,100
109,12100,498950,5200,100
110,12321,510000,5200,100
111,12544,527000,5200,100
112,12769,544000,5200,100
113,12996,561000,5200,100
114,13225,578000,5200,100
115,13456,595000,5200,100
116,13689,612000,5200,100
117,13924,629000,5200,100
118,14161,646000,5200,100
119,14400,663000,5200,100
120,14641,680000,5200,100
121,14884,697000,5200,100
122,15129,714000,5200,100
123,15376,731000,5200,100
124,15625,748000,5200,100
125,15876,765000,5200,100
126,16129,782000,5200,100
127,16384,799000,5200,100
128,16641,816000,5200,100
129,16900,833000,5200,100
130,17161,850000,5200,100
131,17424,867000,5200,100
132,17689,884000,5200,100
133,17956,901000,5200,100
134,18225,918000,5200,100
135,18496,935000,5200,100
136,18769,952000,5200,100
137,19044,969000,5200,100
138,19321,986000,5200,100
139,19600,1003000,5200,100
140,19881,1020000,5200,100
141,20164,1054000,5200,100
142,20449,1088000,5200,100
143,20736,1122000,5200,100
144,21025,1156000,5200,100
145,21316,1190000,5200,100
146,21609,1224000,5200,100
147,21904,1258000,5200,100
148,22201,1292000,5200,100
149,22500,1326000,5200,100
150,22801,1360000,5200,100
151,23104,1394000,5200,100
152,23409,1428000,5200,100
153,23716,1462000,5200,100
154,24025,1496000,5200,100
155,24336,1530000,5200,100
156,24649,1564000,5200,100
157,24964,1598000,5200,100
158,25281,1632000,5200,100
159,25600,1666000,5200,100
160,25921,1700000,5200,100
161,26244,1734000,5200,100
162,26569,1768000,5200,100
163,26896,1802000,5200,100
164,27225,1836000,5200,100
165,27556,1870000,5200,100
166,27889,1904000,5200,100
167,28224,1938000,5200,100
168,28561,1972000,5200,100
169,28900,2006000,5200,100
170,29241,2040000,5200,100
171,29584,2142000,5200,100
172,29929,2244000,5200,100
173,30276,2346000,5200,100
174,30625,2448000,5200,100
175,30976,2550000,5200,100
176,31329,2652000,5200,100
177,31684,2754000,5200,100
178,32041,2856000,5200,100
179,32400,2958000,5200,100
180,32761,3060000,5200,100
181,33124,3162000,5200,100
182,33489,3264000,5200,100
183,33856,3366000,5200,100
184,34225,3468000,5200,100
185,34596,3570000,5200,100
186,34969,3672000,5200,100
187,35344,3774000,5200,100
188,35721,3876000,5200,100
189,36100,3978000,5200,100
190,36481,4080000,5200,100
191,36864,4182000,5200,100
192,37249,4284000,5200,100
193,37636,4386000,5200,100
194,38025,4488000,5200,100
195,38416,4590000,5200,100
196,38809,4692000,5200,100
197,39204,4794000,5200,100
198,39601,4896000,5200,100
199,40000,4998000,5200,100
200,40401,5100000,5200,100
