level,exp
1,0
2,18
3,32
4,50
5,72
6,196
7,256
8,324
9,400
10,484
11,1152
12,1352
13,1568
14,1800
15,2048
16,4624
17,5184
18,5776
19,6400
20,7056
21,15488
22,16928
23,18432
24,20000
25,21632
26,46656
27,50176
28,53824
29,57600
30,61504
31,131072
32,139392
33,147968
34,156800
35,165888
36,350464
37,369664
38,389376
39,409600
40,430336
41,903168
42,946688
43,991232
44,1036800
45,1083392
46,2262016
47,2359296
48,2458624
49,2560000
50,2663424
51,5537792
52,5537792
53,5537792
54,5537792
55,5537792
56,5537792
57,5537792
58,5537792
59,5537792
60,5537792
61,5537792
62,5537792
63,5537792
64,5537792
65,5537792
66,5537792
67,5537792
68,5537792
69,5537792
70,5537792
71,5537792
72,5537792
73,5537792
74,5537792
75,5537792
76,5537792
77,5537792
78,5537792
79,5537792
80,5537792
81,5537792
82,5537792
83,5537792
84,5537792
85,5537792
86,5537792
87,5537792
88,5537792
89,5537792
90,5537792
91,5537792
92,5537792
93,5537792
94,5537792
95,5537792
96,5537792
97,5537792
98,5537792
99,5537792
100,5537792
101,5537792
102,5537792
103,5537792
104,5537792
105,5537792
106,5537792
107,5537792
108,5537792
109,5537792
110,5537792
111,5537792
112,5537792
113,5537792
114,5537792
115,5537792
116,5537792
117,5537792
118,5537792
119,5537792
120,5537792
121,5537792
122,5537792
123,5537792
124,5537792
125,5537792
126,5537792
127,5537792
128,5537792
129,5537792
130,5537792
131,5537792
132,5537792
133,5537792
134,5537792
135,5537792
136,5537792
137,5537792
138,5537792
139,5537792
140,5537792
141,5537792
142,5537792
143,5537792
144,5537792
145,5537792
146,5537792
147,5537792
148,5537792
149,5537792
150,5537792
151,5537792
152,5537792
153,5537792
154,5537792
155,5537792
156,5537792
157,5537792
158,5537792
159,5537792
160,5537792
161,5537792
162,5537792
163,5537792
164,5537792
165,5537792
166,5537792
167,5537792
168,5537792
169,5537792
170,5537792
171,5537792
172,5537792
173,5537792
174,5537792
175,5537792
176,5537792
177,5537792
178,5537792
179,5537792
180,5537792
181,5537792
182,5537792
183,5537792
184,5537792
185,5537792
186,5537792
187,5537792
188,5537792
189,5537792
190,5537792
191,5537792
192,5537792
193,5537792
194,5537792
195,5537792
196,5537792
197,5537792
198,5537792
199,5537792
200,5537792
201,5537792
202,5537792
203,5537792
204,5537792
205,5537792
206,5537792
207,5537792
208,5537792
209,5537792
210,5537792
211,5537792
212,5537792
213,5537792
214,5537792
215,5537792
216,5537792
217,5537792
218,5537792
219,5537792
220,5537792
221,5537792
222,5537792
223,5537792
224,5537792
225,5537792
226,5537792
227,5537792
228,5537792
229,5537792
230,5537792
231,5537792
232,5537792
233,5537792
234,5537792
235,5537792
236,5537792
237,5537792
238,5537792
239,5537792
240,5537792
241,5537792
242,5537792
243,5537792
244,5537792
245,5537792
246,5537792
247,5537792
248,5537792
249,5537792
250,5537792
251,5537792
252,5537792
253,5537792
254,5537792
255,5537792
256,5537792
257,5537792
258,5537792
259,5537792
260,5537792
261,5537792
262,5537792
263,5537792
264,5537792
265,5537792
266,5537792
267,5537792
268,5537792
269,5537792
270,5537792
271,5537792
272,5537792
273,5537792
274,5537792
275,5537792
276,5537792
277,5537792
278,5537792
279,5537792
280,5537792
281,5537792
282,5537792
283,5537792
284,5537792
285,5537792
286,5537792
287,5537792
288,5537792
289,5537792
290,5537792
291,5537792
292,5537792
293,5537792
294,5537792
295,5537792
296,5537792
297,5537792
298,5537792
299,5537792
300,5537792
