level,type_1,count_1,ruid_1,type_2,count_2,ruid_2,type_3,count_3,ruid_3,type_4,count_4,ruid_4,type_5,count_5,ruid_5
2,Diamond_CUR,250,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
3,Diamond_CUR,250,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
4,Diamond_CUR,250,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
5,Diamond_CUR,250,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
6,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
7,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
8,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
9,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
10,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
11,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
12,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
13,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
14,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
15,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
16,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
17,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
18,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
19,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
20,Diamond_CUR,400,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
21,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,,,,
22,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
23,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,,,,
24,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
25,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,,,,
26,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
27,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
28,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,,,,
29,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,
30,CharCoin_CON,1,acbc2a04e46845f8b5b52aa4ff5704e4,,,,,,,,,,,,
31,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
32,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
33,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
34,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
35,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
36,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
37,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
38,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
39,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
40,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
41,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
42,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
43,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
44,Diamond_CUR,500,0b9b9fa3f08d430a9da85d432e49b0c7,,,,,,,,,,,,
