level,gold,essence
1,0,0
2,700,4
3,800,6
4,900,8
5,1000,10
6,3900,24
7,4400,28
8,4900,32
9,5400,36
10,5900,40
11,18000,88
12,20300,96
13,22500,104
14,24800,112
15,27000,120
16,83600,256
17,94000,272
18,104400,288
19,114900,304
20,125300,320
21,343000,672
22,385900,704
23,428700,736
24,471600,768
25,514500,800
26,1398100,1664
27,1572900,1728
28,1747700,1792
29,1922400,1856
30,2097200,1920
31,6186600,3968
32,6959900,4096
33,7733200,4224
34,8506600,4352
35,9279900,4480
36,25445800,9216
37,28626500,9472
38,31807200,9728
39,34988000,9984
40,38168700,10240
41,102341000,20992
42,115133600,21504
43,127926300,22016
44,140718900,22528
45,153511500,23040
46,619599400,47104
47,697049300,48128
48,774499200,49152
49,851949100,50176
50,929399000,51200
