level,111001,111002,111003,121001,121002,121003,141002,141003,141001,131001,131002,131003,151002,151003,151001
1,40,44,36,36,40,40,44,40,44,36,40,36,36,36,36
2,80,88,72,72,80,80,88,80,88,72,80,72,72,72,72
3,120,132,108,108,120,120,132,120,132,108,120,108,108,108,108
4,160,176,144,144,160,160,176,160,176,144,160,144,144,144,144
5,200,220,180,180,200,200,220,200,220,180,200,180,180,180,180
6,300,330,270,270,300,300,330,300,330,270,300,270,270,270,270
7,400,440,360,360,400,400,440,400,440,360,400,360,360,360,360
8,500,550,450,450,500,500,550,500,550,450,500,450,450,450,450
9,600,660,540,540,600,600,660,600,660,540,600,540,540,540,540
10,700,770,630,630,700,700,770,700,770,630,700,630,630,630,630
11,900,990,810,810,900,900,990,900,990,810,900,810,810,810,810
12,1100,1210,990,990,1100,1100,1210,1100,1210,990,1100,990,990,990,990
13,1300,1430,1170,1170,1300,1300,1430,1300,1430,1170,1300,1170,1170,1170,1170
14,1500,1650,1350,1350,1500,1500,1650,1500,1650,1350,1500,1350,1350,1350,1350
15,1700,1870,1530,1530,1700,1700,1870,1700,1870,1530,1700,1530,1530,1530,1530
16,2100,2310,1890,1890,2100,2100,2310,2100,2310,1890,2100,1890,1890,1890,1890
17,2500,2750,2250,2250,2500,2500,2750,2500,2750,2250,2500,2250,2250,2250,2250
18,2900,3190,2610,2610,2900,2900,3190,2900,3190,2610,2900,2610,2610,2610,2610
19,3300,3630,2970,2970,3300,3300,3630,3300,3630,2970,3300,2970,2970,2970,2970
20,3700,4070,3330,3330,3700,3700,4070,3700,4070,3330,3700,3330,3330,3330,3330
21,4500,4950,4050,4050,4500,4500,4950,4500,4950,4050,4500,4050,4050,4050,4050
22,5300,5830,4770,4770,5300,5300,5830,5300,5830,4770,5300,4770,4770,4770,4770
23,6100,6710,5490,5490,6100,6100,6710,6100,6710,5490,6100,5490,5490,5490,5490
24,6900,7590,6210,6210,6900,6900,7590,6900,7590,6210,6900,6210,6210,6210,6210
25,7700,8470,6930,6930,7700,7700,8470,7700,8470,6930,7700,6930,6930,6930,6930
26,8500,9350,7650,7650,8500,8500,9350,8500,9350,7650,8500,7650,7650,7650,7650
27,9300,10230,8370,8370,9300,9300,10230,9300,10230,8370,9300,8370,8370,8370,8370
28,10100,11110,9090,9090,10100,10100,11110,10100,11110,9090,10100,9090,9090,9090,9090
29,10900,11990,9810,9810,10900,10900,11990,10900,11990,9810,10900,9810,9810,9810,9810
30,11700,12870,10530,10530,11700,11700,12870,11700,12870,10530,11700,10530,10530,10530,10530
31,13300,14630,11970,11970,13300,13300,14630,13300,14630,11970,13300,11970,11970,11970,11970
32,14900,16390,13410,13410,14900,14900,16390,14900,16390,13410,14900,13410,13410,13410,13410
33,16500,18150,14850,14850,16500,16500,18150,16500,18150,14850,16500,14850,14850,14850,14850
34,18100,19910,16290,16290,18100,18100,19910,18100,19910,16290,18100,16290,16290,16290,16290
35,19700,21670,17730,17730,19700,19700,21670,19700,21670,17730,19700,17730,17730,17730,17730
36,22900,25190,20610,20610,22900,22900,25190,22900,25190,20610,22900,20610,20610,20610,20610
37,26100,28710,23490,23490,26100,26100,28710,26100,28710,23490,26100,23490,23490,23490,23490
38,29300,32230,26370,26370,29300,29300,32230,29300,32230,26370,29300,26370,26370,26370,26370
39,32500,35750,29250,29250,32500,32500,35750,32500,35750,29250,32500,29250,29250,29250,29250
40,35700,39270,32130,32130,35700,35700,39270,35700,39270,32130,35700,32130,32130,32130,32130
41,40500,44550,36450,36450,40500,40500,44550,40500,44550,36450,40500,36450,36450,36450,36450
42,45300,49830,40770,40770,45300,45300,49830,45300,49830,40770,45300,40770,40770,40770,40770
43,50100,55110,45090,45090,50100,50100,55110,50100,55110,45090,50100,45090,45090,45090,45090
44,54900,60390,49410,49410,54900,54900,60390,54900,60390,49410,54900,49410,49410,49410,49410
45,59700,65670,53730,53730,59700,59700,65670,59700,65670,53730,59700,53730,53730,53730,53730
46,67760,74536,60984,60984,67760,67760,74536,67760,74536,60984,67760,60984,60984,60984,60984
47,75820,83402,68238,68238,75820,75820,83402,75820,83402,68238,75820,68238,68238,68238,68238
48,83880,92268,75492,75492,83880,83880,92268,83880,92268,75492,83880,75492,75492,75492,75492
49,91940,101134,82746,82746,91940,91940,101134,91940,101134,82746,91940,82746,82746,82746,82746
50,100000,110000,90000,90000,100000,100000,110000,100000,110000,90000,100000,90000,90000,90000,90000
