category,ruid
pistol,b256c74411674081b6f6a91d508466c3
cannon,a2567dfe4406429daf05e30bc26166ee
soundShooter,479f99000a41493ab60431bff706c895
fireStaff,002b920e8e6148e88233bf1001250bed
lightningWand,859f471b54d94720adfabffeb7947175
chessPiece,fa912ac1756d4b6dbfa02333ea93f2e4
bow,e33209c866494b538d758cf1e87f0d76
breathShooter,44bbb8eeee8f41deae53ea534808baf6
birdBow,f776367d9f3f4e3389d7a02f4cf236f2
polearm,f46dd92e795d4d5fb19a543af907f578
demonSword,a970f0a445e74f349b19630d837cacc4
hammer,c09fa65be7a04114805e791d443b0b7f
wristband,176683a673734ee58e7752fa2d632bf4
fan,feac9cc16fde43dfb338a58757ecde4b
dagger,28ccf747631e4fc0b5e14fea9ebc8afc
