id,name,description,subInfo,category,questType,requiredLevel,objectiveType,objectiveId,objectiveNum,rewardType,rewardId,rewardNum,dialogId,stageGuide,npcDialogueId
1,조각난 소울칼리버,"엄청 강해보이는 검이 바닥에 박혀있길래 뽑았을 뿐인데 산산조각이 났다. 그리고 권총의 소울이라는 '캡틴'이 내 머릿속에서 말을 걸어왔다. 내가 부순 검의 이름은 소울칼리버! 무기의 자아라고 할 수 있는 소울들이 아주 많이 들어있는 검이었다고 한다. 날 강하게 만들어 주고 소울칼리버 같은 무기를 얻게 도와줄 테니 부서진 소울칼리버 조각을 모아달라고...? 내 머리에 어쩌다 들어왔는지, 소울칼리버 조각은 왜 모으는지 모르겠지만... 아무튼 서로 손해 볼 것 없는 거래잖아. 좋아, 캡틴과 함께 소울칼리버 조각을 모두 찾으러 떠나보자!",흩어진 소울칼리버 조각을 찾아서,main,objective,1,stageClear,10001,1,meso/diamond,0/0,100/150,quest_1_completed,10001,
2,몬스터 알 연구,"숲에 들어서니 왠지 평소보다 힘이 약해진 느낌이었는데, 몬스터를 잡다 보니 서서히 힘이 돌아왔어. 흠, 전투를 너무 쉬어서 적응할 시간이 필요했던 걸까? 아무튼, 중요한 건 이게 아니다! 몬스터가 알을 떨어뜨렸는데 이게 뭔지 어서 확인해 보자.",몬스터를 잡았더니 웬 알이?!,main,objective,1,getItem,3_000001,1,weaponScroll,0,6,quest_2_completed,,
3,알에 든 소울,"몬스터가 떨어뜨린 알에 소울이 갇혀있는 게 느껴진다고 한다. 캡틴이 소울칼리버 조각을 왜 모아달라고 하나 했더니, 소울칼리버가 부서지면서 흩어진 동료들을 다시 모으려던 거였어... 그냥 조금 건방진 앤 줄 알았는데 나름대로 생각이 깊은 면이 있네. 소울이 왜 소울칼리버 조각 안이 아니라 이상한 알에 갇혀있는지 알아봐야겠다. 이 마을에 소울칼리버를 만든 대장장이가 있다는 엄청난 사실을 알아버렸으니 당장 대화하러 가보자!",소울칼리버 제작자에게 추궁을!,main,objective,1,npc,crafter,1,item,3_100001,2,quest_3_completed,,crafter_1
4,소울 에그 사용법,대장장이 스미티아는 검 하나에 소울을 잔뜩 넣어 소울칼리버를 만들어 놓고 그 힘을 감당하지 못해 봉인해두었다고 한다. 소울칼리버의 소울들이 무기로서 활약하지 못해 좌절하고 있었다는 사실을 듣고 굉장히 미안해하며 소울을 돕기로 했다. 양심은 있군! 소울칼리버 조각을 먹은 몬스터를 잡으면 그 안에 들어있던 소울이 알로 다시 태어나는 것 같고 이 알을 '소울 에그'라 부르기로 했다. 소울칼리버 조각 대부분이 몬스터에게 먹혀서 이제 소울칼리버 조각 대신에 소울 에그를 모아야 해. 어쩌다 보니 불쌍한 소울을 돕는 착한 사람도 되고 강한 무기도 얻는 일석이조를?! 우선 스미티아가 소울이 든 무기에 대해 자세히 알려준다고 하니 들어보자.,무기로 다시 태어나는 소울들,main,objective,1,openUI,weapon,1,meso,0,200,quest_4_completed,,ui_weapon
5,소음공해 토끼 사냥,"소울 에그를 스미티아에게 가져가면 그 안의 소울을 무기로 만들어줄 거야. 그리고 같은 종류의 무기는 한 무기로 합쳐서 소울이 여러 개 든 무기로 만들 수 있다는데, 소울이 많이 들어갈수록 강력한 무기가 될 수 있을 거야! 스미티아는 소울에게 무기로서 함께 몬스터를 해치우는 경험을 줄 겸 한 가지 부탁한다. 마을 밖에 토기를 타고 다니는 토끼들이 돌아다녀서 덜그럭거리는 소리에 마을 사람들이 잠들 수가 없으니 잡아달라고 한다. 토끼가 대체 토기를 왜 타고 다니는 거야??",다시 태어난 소울의 데뷔전,main,objective,1,killMonster,Hoppin' Sprout,20,item/diamond,1_001002/0,1/150,quest_5_completed,10002_10003_10004,
6,악마 교관(?) 등장,"소울들의 힘으로 손쉽게 토기 토끼들을 잡고 왔는데, 웬 목소리 큰 사람이 고래고래 소리친다. 귀가 따갑긴 하지만, 강해지게 해준다니 궁금증이 생기긴 하는 걸? 특성교관 마이와 대화해보자.",강해지고 싶다면...?,main,objective,1,npc,instructor,1,characteristic,0,1,,,instructor_1
7,마이의 특훈,"이 교관... 아주 시끄럽다...!! 강해지는 법이 궁금해서 장단을 맞춰주긴 했는데, 목이 벌써 쉬는 것 같다. 어떻게 하루종일 저렇게 큰 목소리로 말하는 거지? 특성이란 걸 알고 있냐며 질문하던데 처음 듣는다! 목이 쉰 만큼 배울 건 있겠어. 더 크게 소리 질러 줄 각오를 하고 특성이 뭔지 이 시끄러운 교관, 마이에게 배워보자.",특성이란!!!!!,main,objective,1,openUI,characteristic,1,meso/diamond,0/0,200/150,quest_7_completed,,ui_characteristic
8,라이벌 훈련병 이기기,"특성교관 마이가 훈련 시작이라며 라이벌 훈련병인 벌레를 잡아 오란다. 숲에 가면 지옥 훈련을 받고 있는 벌레들이 있다는데, 내 라이벌이 고작 벌레라니?! 손쉽게 제압해서 내가 약하지 않다는 걸 마이에게 보여줘야겠어. 그나저나 대체 벌레들에게 왜 훈련을 시키고 있는 거지? 뭐, 지옥 훈련을 받은 강한 벌레라면 혹시나 소울칼리버 조각을 먹은 걸 수도 있잖아. 라이벌을! 이기자!",내 라이벌이 벌레라니,main,objective,1,killMonster/killMonster,Log-a-Rhythmic Bugs/Sparkinstone Bugs,50/50,item/item,3_000001/3_100002,5/1,quest_8_completed,10003_10004_10006/10003_10004_10006,
9,튼튼한 방어구,"라이벌이라던 벌레를 잔뜩 잡고 돌아왔더니, 이게 훈련 끝이라니? 특성을 알려준 건 고맙지만, 훈련 과정이 아주 엉망이군... 교관 자격이 의심스러워. 아무튼, 이 정도면 많이 강해지긴 한 것 같은데 튼튼하지는 않은 것 같아. 몬스터를 한 방에 잡을 수도 있겠지만 나도 한 방에 죽을 것 같잖아, 후. 몬스터에게 조금 맞는 정도로는 끄떡없는 튼튼한 몸이 갖고 싶어. 그러기 위해서는 튼튼한 방어구를 끼면 된다고~! 방어구에 대해 알아보자.",한 대 맞고 죽긴 싫어,main,objective,1,openUI,myInfo_armor,1,item/weaponScroll,2_104001/0,1/6,quest_9_completed,,ui_myInfo_armor
10,소울의 힘,"메소와 주문서를 모아서 방어구 레벨을 올리거나 방어구를 합쳐 승급해서 더 튼튼한 방어구를 만들 수 있어. 좋은 무기도 중요하지만 아무래도 튼튼한 방어구가 있어야 전투에 문제가 없지. 그나저나 캡틴, 날 강하게 만들도록 도와준다고 해놓고 완전히 까먹고 있었나 보다. 내 머릿속에 있는 이 소울 녀석이 어떤 방법으로 날 강해지게 만들 수 있다는 걸까? ",내 머릿속 조력자,main,objective,1,openUI,soul_111001,1,essence,0,5,quest_10_completed,,ui_soul
11,모험엔 정보가 생명,"캡틴이 도와달라고 했던 본 목적을 알게 되었다. 자신처럼 대~단한 소울은 덩치가 커서 소울칼리버가 부서질 때 여러 조각에 파편화되었다고 한다. 캡틴의 소울 피스가 전부 어디로 갔을지는 모르겠지만, 찾아내서 캡틴의 한계 돌파를 도우면 그만큼 나에게도 더 큰 힘을 보태줄 수 있을 거야. 그리고 모험 중에 에너지 스톤을 얻으면 캡틴의 레벨을 올릴 수 있다는데, 그럼 내 스탯을 더 올려줄 수 있게 부려 먹어야겠어. 흩어진 소울들을 찾아서 무기로 만들어주고, 캡틴 소울 피스도 찾고, 그만큼 나도 강해지려면... 정보가 필요해! 소울칼리버 조각을 먹은 게 아닐지 의심되는 몬스터가 있나 마을 경비병에게 물어봐야겠어.",현상수배: 소울 먹은 몬스터,main,objective,1,npc,guard,1,meso,0,300,,,guard_1
