id,name,description,ruid,offsetX,offsetY,wealthType,price,rewardType,rewardId,limitPurchaseCount,mapFilter
1,세배 봉투,,,,,9_000016,200,item,6_000044,5,
2,소울 피스 선택 교환권,,,,,9_000016,350,item,6_000051,5,
3,펫 11회 소환권,,,,,9_000016,200,item,6_000004,1,
4,펫 1회 소환권,,,,,9_000016,20,item,6_000003,10,
5,방어구 1회 소환권,,,,,9_000016,50,item,6_000046,5,
6,달콤한 전통 한과 대미지 스킨,,,,,9_000016,150,item,5_000180,1,
7,10 레벨 소울 에그,,,,,9_000016,50,item,3_100003,1,
8,1회 부활권 (스테이지),,,,,9_000016,10,item,9_000017,10,
9,균열 무료 입장권,,,,,9_000016,10,item,6_000001,50,
10,영웅의 비약,,,,,9_000016,10,item,6_000050,50,
11,행운의 물약,,,,,9_000016,5,item,6_000048,50,
12,공격력의 물약,,,,,9_000016,5,item,6_000049,50,
13,민첩의 물약,,,,,9_000016,5,item,6_000047,50,
14,계정 경험치 2배 쿠폰,,,,,9_000016,5,item,6_000002,,
