id,ruid,tile,innerTile,name,stage,chapter,description,step,goldReward,essenceReward,scrollReward,theme,recommendBattlePower,width,height,lastWidth,lastHeight,accountExp,bossBGM
10001,c07b289492d54815b2fe2dd4874154a6,2e05613ce74949868506ae584c32f16e,0,숲,1,1,스테이지 설명,1,300,1,0,forest,500,20,12,15,8,0.7,
10002,df4ca86d35fc4d20b48a5b2a39d91dc4,2e05613ce74949868506ae584c32f16e,0,숲,2,1,스테이지 설명,2,400,1,11,forest,1200,32,8,15,8,0.7,
10003,1611e674ae114aa0b1209db5ab0a49af,2e05613ce74949868506ae584c32f16e,0,숲,3,1,스테이지 설명,3,400,1,11,forest,1790,16,24,15,8,1.1,
10004,6afd79fc41d64db181434e91313b4dbf,2e05613ce74949868506ae584c32f16e,0,숲,4,1,스테이지 설명,4,400,1,12,forest,2270,16,14,15,8,2.1,
10005,c44678b4def34232a3b65eb0e7ba0d8b,2e05613ce74949868506ae584c32f16e,0,숲,5,1,스테이지 설명,5,500,1,14,forest,3100,18,10,15,8,2.5,11d73722121249679de8bf8e4478341d
10006,042ceccd688b4a40a86d4c1f9f7e190a,2e05613ce74949868506ae584c32f16e,0,숲,6,1,스테이지 설명,6,800,1,21,forest,3230,20,12,15,8,2.5,
10007,8b4877537eed4c52ae0983cf4aeddfad,2e05613ce74949868506ae584c32f16e,0,숲,7,1,스테이지 설명,7,800,1,21,forest,3410,32,8,15,8,1.7,
10008,2c4e1fd4c268420390ffcef1cf0d40e9,2e05613ce74949868506ae584c32f16e,0,숲,8,1,스테이지 설명,8,900,1,22,forest,3870,16,24,15,8,1.7,
10009,5752685b27f04f1c9c6129969390dcc9,2e05613ce74949868506ae584c32f16e,0,숲,9,1,스테이지 설명,9,900,1,22,forest,4050,16,14,15,8,3.8,
10010,23fbd75b8a104273af9c7477d78e662c,2e05613ce74949868506ae584c32f16e,0,숲,10,1,스테이지 설명,10,1000,1,25,forest,4490,18,10,15,8,6.5,5d44a32c7ab441c6aeddb5ead453ffc1
20001,a9e528f1805b4eb693c20d840f66307f,7be4af735104446380fbf11524348afa,0,사막,1,2,스테이지 설명,11,1400,5,60,desert,4890,20,12,15,8,13.1,
20002,cc0a017c9c0148ca965eae406dd2e2b3,7be4af735104446380fbf11524348afa,0,사막,2,2,스테이지 설명,12,1700,6,72,desert,5330,32,8,15,8,12.8,
20003,27bc50a463754197999b044b628f6ed6,7be4af735104446380fbf11524348afa,0,사막,3,2,스테이지 설명,13,1700,6,72,desert,5800,16,24,15,8,12.8,
20004,d6367a2d9f3146169417980b305676ee,7be4af735104446380fbf11524348afa,0,사막,4,2,스테이지 설명,14,1700,6,72,desert,6090,16,14,15,8,20.8,
20005,9eac961fe8834dc58964a5a8a0211c12,7be4af735104446380fbf11524348afa,0,사막,5,2,스테이지 설명,15,1900,7,81,desert,6690,18,10,15,8,11.6,4cb9a18f1ed540ada6f40e7cd1612a65
20006,3f841743c0834cf1a4f35bb9ec53ee09,7be4af735104446380fbf11524348afa,0,사막,6,2,스테이지 설명,16,3600,9,77,desert,7160,20,12,15,8,20,
20007,ef0326324a5241e8a1908a010cc4ae6b,7be4af735104446380fbf11524348afa,0,사막,7,2,스테이지 설명,17,3600,9,77,desert,7480,32,8,15,8,20,
20008,fc62611c972b4c20979174ece9cf0b81,7be4af735104446380fbf11524348afa,0,사막,8,2,스테이지 설명,18,3600,9,77,desert,7780,16,24,15,8,15.1,
20009,9214207d9f184dc5ad840e98e04d4125,7be4af735104446380fbf11524348afa,0,사막,9,2,스테이지 설명,19,3600,9,77,desert,7950,16,14,15,8,33.3,
20010,d0182852b8a6427fa9528a973c1615ff,7be4af735104446380fbf11524348afa,0,사막,10,2,스테이지 설명,20,3900,10,85,desert,8290,18,10,15,8,32.9,d835d42a9a054229a8c98f9ff2df850a
30001,6c9daae4120f42d58b10a21a1792ea2a,8d199a7e90d6435f981a1e299baa3c9a,0,해적,1,3,스테이지 설명,21,5700,9,175,pirates,8480,20,12,15,8,82.3,
30002,9e80bc3a042047a4912ead30d743c4a0,8d199a7e90d6435f981a1e299baa3c9a,0,해적,2,3,스테이지 설명,22,7100,12,219,pirates,8860,32,8,15,8,67.6,
30003,4edeedf08fd24b83a84e5664d25fa43a,8d199a7e90d6435f981a1e299baa3c9a,0,해적,3,3,스테이지 설명,23,7100,12,219,pirates,9340,16,24,15,8,67.6,
30004,b942455ad0d7442f8cef9108a9dacd40,8d199a7e90d6435f981a1e299baa3c9a,0,해적,4,3,스테이지 설명,24,7100,12,219,pirates,9700,16,14,15,8,107.8,
30005,75e9f131653e456db2f6031c06df4a59,8d199a7e90d6435f981a1e299baa3c9a,0,해적,5,3,스테이지 설명,25,7800,13,241,pirates,10280,18,10,15,8,49,1bcca4aaa4fa4823b1f7f0ce0a661cda
30006,6dae026cbc7a419383f12f000be8f7e5,8d199a7e90d6435f981a1e299baa3c9a,0,해적,6,3,스테이지 설명,26,14200,25,233,pirates,10570,20,12,15,8,90,
30007,4c87a6c7c772464f8dd8160a2cbede81,8d199a7e90d6435f981a1e299baa3c9a,0,해적,7,3,스테이지 설명,27,14200,25,233,pirates,11070,32,8,15,8,90,
30008,0f5ef45435c54348ab3d6118d2e3d7d0,8d199a7e90d6435f981a1e299baa3c9a,0,해적,8,3,스테이지 설명,28,14200,25,233,pirates,11270,16,24,15,8,60.2,
30009,a5a316b429114244a28a512d0b32535d,8d199a7e90d6435f981a1e299baa3c9a,0,해적,9,3,스테이지 설명,29,14200,25,233,pirates,11660,16,14,15,8,144.6,
30010,23f8983e18464742bec9be30034013ed,8d199a7e90d6435f981a1e299baa3c9a,0,해적,10,3,스테이지 설명,30,15800,28,258,pirates,11980,18,10,16,10,115.6,07c289547fcc4072b6e4f594ca8c227a
