stageStep,itemCategory,amount,itemCategory2,amount2,accountExp
1,diamond,200,gold,150,4
2,diamond,200,weaponScroll,6,7
3,diamond,200,gold,200,7
4,diamond,200,weaponScroll,6,11
5,diamond,200,gold,250,21
6,diamond,250,weaponScroll,11,25
7,diamond,250,gold,400,25
8,diamond,250,weaponScroll,11,17
9,diamond,250,gold,450,17
10,diamond,250,weaponScroll,13,38
11,diamond,250,gold,700,65
12,diamond,250,weaponScroll,36,131
13,diamond,250,essence,3,128
14,diamond,250,gold,850,128
15,diamond,250,weaponScroll,41,208
16,diamond,250,essence,5,116
17,diamond,250,gold,1800,200
18,diamond,250,weaponScroll,39,200
19,diamond,250,essence,5,151
20,diamond,250,gold,1950,333
21,diamond,300,weaponScroll,88,329
22,diamond,300,essence,6,823
23,diamond,300,gold,3550,676
24,diamond,300,weaponScroll,110,676
25,diamond,300,essence,7,1078
26,diamond,300,gold,7100,490
27,diamond,300,weaponScroll,117,900
28,diamond,300,essence,13,900
29,diamond,300,gold,7100,602
30,diamond,300,weaponScroll,129,1446
31,diamond,300,essence,12,1156
32,diamond,300,gold,14650,3468
33,diamond,300,weaponScroll,283,2592
34,diamond,300,essence,15,2592
35,diamond,300,gold,15750,3851
36,diamond,350,weaponScroll,282,1925
37,diamond,350,essence,30,3200
38,diamond,350,gold,29250,3200
39,diamond,350,weaponScroll,282,2228
40,diamond,350,essence,33,4828
41,diamond,350,gold,51200,5163
42,diamond,350,weaponScroll,715,10325
43,diamond,350,essence,38,8464
44,diamond,350,gold,58500,8464
45,diamond,350,weaponScroll,770,12288
46,diamond,350,essence,73,6144
47,diamond,350,gold,117050,10000
48,diamond,350,weaponScroll,693,10000
49,diamond,350,essence,73,6490
50,diamond,350,gold,127400,15142
51,diamond,400,weaponScroll,1497,15552
52,diamond,400,essence,89,31104
53,diamond,400,gold,234050,25088
54,diamond,400,weaponScroll,1711,25088
55,diamond,400,essence,96,36827
56,diamond,400,gold,468100,16997
57,diamond,400,weaponScroll,1632,28800
58,diamond,400,essence,170,28800
59,diamond,400,gold,468100,17573
60,diamond,400,weaponScroll,1785,43931
61,diamond,400,essence,174,43691
62,diamond,400,gold,936250,87381
63,diamond,400,weaponScroll,3840,64335
64,diamond,400,essence,203,75057
65,diamond,400,gold,1019650,98645
66,diamond,500,weaponScroll,3543,49323
67,diamond,500,essence,368,78400
68,diamond,500,gold,1912850,78400
69,diamond,500,weaponScroll,3543,52783
70,diamond,500,essence,394,113105
71,diamond,400,gold,3276800,105139
72,diamond,400,weaponScroll,8607,245325
73,diamond,400,essence,442,184832
74,diamond,400,gold,3821550,184832
75,diamond,400,weaponScroll,9000,259584
76,diamond,500,essence,820,129792
77,diamond,500,gold,7643150,204800
78,diamond,500,weaponScroll,9500,204800
79,diamond,500,essence,840,130972
80,diamond,500,gold,8222850,299364
