WorldVersion,SeasonID,RankSeason,Year,Month,Day,Hour,Minute,RankCriteria,B1,B2,B3,S2,S3,G1,G2,G3,P1,P2,P3,P4,D1,D2,D3,D4,M1,M2,M3,M4,C
0.2.1,1.1,1.0,2025,5,27,0,0,CT10009,PEN10005,PEN20014,PEN30006,PEN10008,PEN10003,PEN20003,PEN20012,PEN30003,PEN20001,PEN20005,PEN30011,PEN30016,PEN20004,PEN20013,PEN30014,PEN30009,PEN20008,PEN20009,PEN30001,PEN30008,PEN40001
0.2.1,1.2,1.0,2025,6,10,0,0,CT10002,PEN10005,PEN20014,PEN30006,PEN10008,PEN10003,PEN20003,PEN20012,PEN30003,PEN20001,PEN20005,PEN30011,PEN30016,PEN20004,PEN20013,PEN30014,PEN30009,PEN20008,PEN20009,PEN30001,PEN30008,PEN40001
0.2.1,1.3,1.1,2025,6,24,0,0,CT10016,PEN10007,PEN20001,PEN30014,PEN10004,PEN10002,PEN20008,PEN20006,PEN30016,PEN20008,PEN20013,PEN30014,PEN30005,PEN20012,PEN20010,PEN30013,PEN30010,PEN20016,PEN20010,PEN30015,PEN30002,PEN40001
0.2.1,1.4,1.2,2025,7,8,0,0,CT10007,PEN10006,PEN20007,PEN30016,PEN10001,PEN10002,PEN20014,PEN20005,PEN30002,PEN20003,PEN20007,PEN30016,PEN30003,PEN20016,PEN20002,PEN30003,PEN30011,PEN20001,PEN20005,PEN30007,PEN30015,PEN40001
0.2.1,1.5,1.1,2025,7,22,0,0,CT10015,PEN10003,PEN20009,PEN30004,PEN10002,PEN10004,PEN20004,PEN20010,PEN30007,PEN20004,PEN20013,PEN30014,PEN30009,PEN20008,PEN20010,PEN30009,PEN30005,PEN20012,PEN20014,PEN30013,PEN30002,PEN40001
0.2.1,1.6,1.0,2025,8,5,0,0,CT10007,PEN10002,PEN20004,PEN30015,PEN10005,PEN10001,PEN20002,PEN20004,PEN30001,PEN20014,PEN20013,PEN30014,PEN30016,PEN20005,PEN20014,PEN30007,PEN30011,PEN20015,PEN20001,PEN30007,PEN30004,PEN40001
0.2.1,1.7,1.2,2025,8,19,0,0,CT10001,PEN10005,PEN20007,PEN30009,PEN10004,PEN10003,PEN20006,PEN20015,PEN30010,PEN20009,PEN20007,PEN30001,PEN30016,PEN20001,PEN20004,PEN30005,PEN30003,PEN20004,PEN20015,PEN30012,PEN30011,PEN40001
0.2.1,1.8,1.0,2025,9,2,0,0,CT10006,PEN10005,PEN20012,PEN30013,PEN10003,PEN10004,PEN20004,PEN20016,PEN30006,PEN20002,PEN20003,PEN30009,PEN30004,PEN20009,PEN20007,PEN30005,PEN30003,PEN20011,PEN20011,PEN30015,PEN30013,PEN40001
0.2.1,1.9,1.0,2025,9,16,0,0,CT10002,PEN10006,PEN20012,PEN30014,PEN10004,PEN10006,PEN20003,PEN20014,PEN30002,PEN20015,PEN20013,PEN30015,PEN30014,PEN20015,PEN20016,PEN30002,PEN30011,PEN20008,PEN20008,PEN30005,PEN30007,PEN40001
0.2.1,1.10,1.1,2025,9,30,0,0,CT10006,PEN10002,PEN20007,PEN30003,PEN10007,PEN10006,PEN20013,PEN20003,PEN30009,PEN20011,PEN20001,PEN30013,PEN30010,PEN20004,PEN20008,PEN30013,PEN30007,PEN20014,PEN20012,PEN30016,PEN30014,PEN40001
0.2.1,1.11,1.1,2025,10,14,0,0,CT10004,PEN10001,PEN20011,PEN30004,PEN10004,PEN10001,PEN20016,PEN20011,PEN30016,PEN20010,PEN20003,PEN30016,PEN30010,PEN20003,PEN20007,PEN30002,PEN30015,PEN20013,PEN20014,PEN30016,PEN30008,PEN40001
0.2.1,1.12,1.0,2025,10,28,0,0,CT10006,PEN10006,PEN20005,PEN30012,PEN10005,PEN10007,PEN20006,PEN20015,PEN30010,PEN20008,PEN20007,PEN30008,PEN30012,PEN20012,PEN20011,PEN30002,PEN30016,PEN20013,PEN20009,PEN30002,PEN30016,PEN40001
0.2.1,1.13,1.0,2025,11,11,0,0,CT10012,PEN10002,PEN20007,PEN30014,PEN10005,PEN10007,PEN20010,PEN20016,PEN30008,PEN20014,PEN20004,PEN30008,PEN30005,PEN20007,PEN20012,PEN30005,PEN30015,PEN20014,PEN20002,PEN30011,PEN30002,PEN40001
0.2.1,1.14,1.2,2025,11,25,0,0,CT10004,PEN10001,PEN20001,PEN30009,PEN10005,PEN10006,PEN20010,PEN20007,PEN30007,PEN20010,PEN20013,PEN30016,PEN30006,PEN20010,PEN20013,PEN30006,PEN30001,PEN20015,PEN20010,PEN30002,PEN30003,PEN40001
0.2.1,1.15,1.1,2025,12,9,0,0,CT10012,PEN10002,PEN20010,PEN30002,PEN10006,PEN10002,PEN20003,PEN20006,PEN30011,PEN20010,PEN20001,PEN30015,PEN30007,PEN20003,PEN20016,PEN30002,PEN30007,PEN20012,PEN20009,PEN30002,PEN30003,PEN40001
0.2.1,1.16,1.2,2025,12,23,0,0,CT10010,PEN10002,PEN20011,PEN30013,PEN10001,PEN10004,PEN20013,PEN20002,PEN30010,PEN20002,PEN20012,PEN30014,PEN30003,PEN20010,PEN20014,PEN30007,PEN30014,PEN20010,PEN20006,PEN30011,PEN30001,PEN40001
0.2.1,1.17,1.2,2026,1,6,0,0,CT10010,PEN10002,PEN20003,PEN30013,PEN10008,PEN10005,PEN20013,PEN20002,PEN30006,PEN20006,PEN20011,PEN30002,PEN30008,PEN20015,PEN20005,PEN30010,PEN30006,PEN20014,PEN20008,PEN30004,PEN30004,PEN40001
0.2.1,1.18,1.2,2026,1,20,0,0,CT10014,PEN10007,PEN20016,PEN30013,PEN10004,PEN10004,PEN20011,PEN20007,PEN30014,PEN20004,PEN20013,PEN30014,PEN30004,PEN20006,PEN20003,PEN30002,PEN30011,PEN20013,PEN20009,PEN30007,PEN30007,PEN40001
