RUID,AttachedType,Pos,Scale,Rotation,PlayRate,Loop,RemoveTime,DelayTime,Layer,FlipX,FlipY
4c0b6c384cf14ff08bd09502c372e491,Synergy,"0,0","1,1",0,1,FALSE,0,0.5,Front,FALSE,FALSE
e4533ae9f3e54484893443464cf15c7b,Synergy,"0,0.3","1,1",0,1,FALSE,0,1,Front,FALSE,FALSE
2eac0db869c74165b49d4711503ad897,Synergy,"0,0.3","1,1",0,1,FALSE,0,2.4,Front,FALSE,FALSE
307562624b2141e9b05655874a54f6c1,Synergy,"0,0.3","1,1",0,1,FALSE,0,0,Back,TRUE,FALSE
7ec618a092d244bb8119a79538b340aa,Synergy,"0,-0.5","0.7,0.7",0,1,FALSE,0,0,Front,FALSE,FALSE
af55fcb744604ac5aa3b8f9955b30c72,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
a66fc22314704d0397aa52c453e9ddf2,Field,"0,0","1,1",0,1,FALSE,0,0.8,Front,FALSE,FALSE
dd9f7e4325514a719c13cdaf9bf44dd6,Synergy,"0.1,0.5","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
d622907403cd4d0889e61d4f444d5199,Synergy,"0,0","1.2,1.2",0,1,FALSE,0,0,Front,FALSE,FALSE
4521af8cd5ed497280aed5cd903d22e4,Synergy,"0,-1","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
14db626d2f244ad88065694535ed3ae8,Synergy,"0,0","1,1",0,1,FALSE,0,1.2,Front,FALSE,FALSE
db78bc04aa6548939462dc6e7f6ac0c9,Synergy,"0,0","1.5,1.5",0,1,FALSE,0,0,Front,FALSE,FALSE
03fd3df500854e7a89aeb26d6797f981,Synergy,"0,0","1.2,1.2",0,1,FALSE,0,0.7,Front,FALSE,FALSE
0b077c3ead184339aabbca0483b5ccac,Synergy,"0,0","1.2,1.2",0,1.1,FALSE,0,0.7,Front,FALSE,FALSE
322158c6c45d4ae5aabe1ca99c870994,Synergy,"0,0","1,1",0,1,FALSE,0,1,Front,FALSE,FALSE
17f852f208bc4355866198e46e254e1b,Synergy,"0,pivot","1,1",0,1,FALSE,0,1.9,Front,FALSE,FALSE
1aa7087906f24b659677d270b536130f,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
6f19611451374e16ab956a8a7a28bd2e,Synergy,"0,0","1,1",0,1,FALSE,0,1,Front,FALSE,FALSE
446ab0e4bb5f4c5f91808b88c1f66ea6,Field,"0,0","1,1",0,1,FALSE,0,2.5,Front,FALSE,FALSE
28c6ae128b7e4108b7347b3282aa08cf,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
e9077483391f435dbdb3a89fcc3ac484,Synergy,"0,0","1.5,1.5",0,1,FALSE,0,1.3,Front,FALSE,FALSE
1303245b94fa4b54ab58b4c22c6fc545,Synergy,"0,1","1,1",0,1,FALSE,0,0.5,Front,FALSE,FALSE
4f73a30be6dd42de96838d1d1353e819,Map,"-2,-1","1.3,1.3",0,1,FALSE,0,0,Front,FALSE,FALSE
a253ce3570514eb1a4ad29b7f0498d83,Synergy,"0,0","1,1",0,1,FALSE,0,1,Front,FALSE,FALSE
b95e5eb680e84c4f95d395abfbe1df5f,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
837371a733824a239a6edc25080fef6d,Map,"-2,2.5","1.5,1.5",0,1,FALSE,0,0,Front,FALSE,FALSE
fc2faa9a98a946dd9ac4f36a6c69897b,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,TRUE,FALSE
0ca745f911b9434b951c66c4ab24e01c,Synergy,"0.2,1.4","0.85,0.85",0,1,FALSE,0,0,Front,FALSE,FALSE
32a513c480184526bc464298535aac31,Synergy,"0.2,1.4","0.85,0.85",0,1,FALSE,0,0,Back,FALSE,FALSE
8099cdcba64641e5a03bff09fa29f876,Synergy,"0.1,1.2","0.8,0.8",0,1,FALSE,0,0,Front,FALSE,FALSE
bb387c49a5834aabb6f250241829241a,Synergy,"0.2,1.4","0.75,0.75",0,1,FALSE,0,0,Front,FALSE,FALSE
fe701a8edcd141b4bb7297aa2274fc41,Synergy,"0.2,1.4","0.75,0.75",0,1,FALSE,0,0,Back,FALSE,FALSE
3f4de8e515bc4c1fb647555b070abf8a,Synergy,"0.2,1","-0.75,0.75",0,1,FALSE,0,0,Front,FALSE,FALSE
024cb0b764e84b9985776cdec21cc07c,Synergy,"0.2,1","-0.75,0.75",0,1,FALSE,0,0,Back,FALSE,FALSE
59821142bbd048aca7e9a6a2fbaf7a65,Synergy,"0.1,1.4","0.8,0.8",0,1,FALSE,0,0,Front,FALSE,FALSE
e4d7fc91ece043e68472d865ca36dd4e,Synergy,"0.1,1.4","0.8,0.8",0,1,FALSE,0,0,Back,FALSE,FALSE
4d191cfbf7ea450f9a06d4726b394cf5,Synergy,"0.03,0.5","0.8,0.8",0,1,FALSE,0,0,Front,FALSE,FALSE
a33c3c5df06c419eabe7b08257c2b8fc,Synergy,"0.03,0.5","0.8,0.8",0,1,FALSE,0,0,Back,FALSE,FALSE
fd97ea853dcd487b8c32b48d9aa8a867,Field,"-0.02,0.4","0.8,0.8",0,1,FALSE,0,1,Front,FALSE,FALSE
b6dbe98f30cd47b382d78af1665e60af,Synergy,"-1,1","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
ab453d4975724f92bd67124b1591300e,Synergy,"0,2","0.9,0.9",0,1,FALSE,0,0,Front,FALSE,FALSE
b8a027a9eff84f12b6dfe1045acebf7d,Synergy,"0.05,0","0.75,0.75",0,1,FALSE,0,1.5,Front,FALSE,FALSE
38430f4627df466bb93699b69e64b203,Synergy,"0.05,0.15","0.75,0.75",0,1,FALSE,0,1.5,Front,FALSE,FALSE
5ef85d4e75de4a409707d3c799db3d55,Synergy,"0.05,0","0.75,0.75",0,1,FALSE,0,1.5,Front,FALSE,FALSE
dfd59bac4c1a4279be8844e81130f6ec,Synergy,"0,0.55","-0.75,0.75",0,1,FALSE,0,0,Front,FALSE,FALSE
e4ed0f1e35014726be17137fcc2774dd,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,TRUE,FALSE
e37c2ac60f1c47f8a18165a24948bf91,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
5ad2cc7e888c466a8c2e16112929b69f,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
070a627ffe164af288bd24eee2b9316d,Synergy,"0,1.1","0.85,0.85",0,1,FALSE,0,0,Front,FALSE,FALSE
f498defc52ea4c9a9a158de3ea032bb4,Synergy,"0,1.1","0.85,0.85",0,1,FALSE,0,0,Back,FALSE,FALSE
7575709bc65a4be7beb960baf7d478c1,Synergy,"0,1.6","0.7,0.7",0,1,FALSE,0,0,Front,TRUE,FALSE
94258e012b4f4292b74150179a76d927,Synergy,"0,1.6","0.7,0.7",0,1,FALSE,0,0,Back,TRUE,FALSE
87d5403a244b4c6193d1ffd5445d9951,Synergy,"0,0.1","0.9,0.9",0,1,FALSE,0,1.3,Front,FALSE,FALSE
e385765483574c089bd3371e89c87287,Synergy,"0,0.7","0.9,0.9",0,1,FALSE,0,0.5,Front,FALSE,FALSE
76c95b7e514f4cf99dd607c9817d1da2,Synergy,"0,0.6","0.75,0.75",0,1,FALSE,0,0,Front,FALSE,FALSE
be2c6b507e954309996c562e17cff886,Synergy,"0,0.6","0.75,0.75",0,1,FALSE,0,0,Back,FALSE,FALSE
bf08f4db27a3416fb2aae0160bb86e88,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
8f1608f2028143118810706707a4ac42,Field,"0,0","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
accdf67cc0154385b03faa04bc6e9f2b,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
e2299d72468a445b9c9ff23e26c67a54,Field,"0,0","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
8f3639792c4d4605b779ca576b9ac9f6,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
ef55f907d8464415ad32ee96ebbff5c0,Field,"0,0","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
deedea5f8cd243b688d1590718d0bd79,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
238b458de90841b0b656058c2795fcc6,Field,"0,0","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
dbb15f59847248309a0acff5a069047b,Synergy,"0,0","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
b8c04a7c9e1b4ea2842501b0516de983,Field,"0,0","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
1ea1269e1d9d4314bb44665290ec8574,Synergy,"0,1.5","0.9,0.9",0,1,FALSE,0,0,Front,FALSE,FALSE
db5d5f642e654feaaee43d7527058ba6,Synergy,"0,1.5","0.9,0.9",0,1,FALSE,0,0,Back,FALSE,FALSE
0bb4d2d4b34f4fa58cef6e28a8b927c0,Field,"0,1","1,1",0,1,FALSE,0,0.2,Front,FALSE,FALSE
0862f34c2d4b4f4cbddffd20df37b422,Field,"0,1","1,1",0,1,FALSE,0,0.2,Back,FALSE,FALSE
b762c666e9004f6c93cbfd340d90e410,Synergy,"0,1.5","0.7,0.7",0,1,FALSE,0,0,Back,FALSE,FALSE
ff0e3c8f36874931a20416693d146f01,Synergy,"0,1.5","0.75,0.75",0,1,FALSE,0,0,Front,FALSE,FALSE
8cc42832beeb4769ac44af0cc63d0568,Synergy,"0,1.5","0.75,0.75",0,1,FALSE,0,0,Back,FALSE,FALSE
0e39664580ff4f23bd030b8c0d404ecd,Synergy,"0,1","0.5,0.72",0,1,FALSE,0,0,Front,FALSE,FALSE
daae13099bfe4a31b4a8c393786f6ace,Synergy,"0,1","0.5,0.72",0,1,FALSE,0,0,Back,FALSE,FALSE
0fa89a0ff48146e38b2504664e451022,Field,"0,1.25","1,1",0,1,FALSE,0,0.5,Front,FALSE,FALSE
12a4e74272af4255bcbb809ce4bb6fd5,Synergy,"-0.1,0.7","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
05c4d2eca5d7424d89c53abf25e6f038,Synergy,"0,0.5","1,1",0,1,FALSE,0,0,Back,FALSE,FALSE
1b85984ff24341b7b96b688dc3b211c5,Synergy,"0,1.15","0.6,0.6",0,1,FALSE,0,0,Front,TRUE,FALSE
f2ccbccd7a0549cdb31f0a34640d2ed6,Synergy,"0,1.15","0.6,0.6",0,1,FALSE,0,0,Back,TRUE,FALSE
14e37b1476d247e7b93e30f48e365184,Synergy,"0,0","1,1",0,1,TRUE,1.7,0,Back,FALSE,FALSE
f81718b8b9424b9aa551ca92e7b2d5e0,Synergy,"0,1","0.05,0.05",0,1,TRUE,0.7,0,Front,FALSE,FALSE
58a7d48901d64cc8a4a5d7c2a6c1174c,Synergy,"0,0.8","0.8,0.8",0,1,FALSE,0,0.7,Front,FALSE,FALSE
c5fe1494a93047208835dd9e75a5f48f,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
f4867181a293497193012c164cb93dcd,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
6b6609342589404ca21175d14473a1bb,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
124e5b8736ef4e169d79dd4ee401f8e6,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
304ac1ee9b5e4e6193830a3b13f43d7c,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
d9cc7da040db417eb7103c99a78228f8,Synergy,"-0.2,0.8","1.25,1.25",0,1,TRUE,1.7,0.7,Back,FALSE,FALSE
6b6f6b2f85c24c1e94ec1b596c8600dd,Synergy,"0,0","1,1",0,1,FALSE,0,0,Front,FALSE,FALSE
6f92eac94cd643c2841e16e6e493349f,Synergy,"0,0","1,1",0,1,FALSE,0,0.26,Front,FALSE,FALSE
