CharID,Version,Cost,Scale,Name,Role,MainStats,BattleOnly,IdleRUID,MoveRUID,AttackRUID,SkillRUID,DeadRUID,AttackComponent,SkillComponent,DictionaryEnable,CollectionEnable,HPBarPosY_1,HPBarPosY_2,HPBarPosY_3
C10001,1,1,1,슬라임,SRD,Status_MagicalAttack,,37291140ca7149c29e4cce958b0e7767,250125f56da14199aac7d2db7c6b7358,702e1a12101b4898b67da75fede51134,b84c8473f5ef4f3885be6215fe333e85,5d4019c8aeb34b44b3ddb827c176354d,C10001_Slime_Attack,C10001_Slime_Skill,TRUE,TRUE,0,0,0
C10002,1,1,1,주황버섯,Tank,Status_PhysicalAttack,,b1dac2598a0949fa83cc289ee16b5b6e,7cbb75e7c3104ea89352b858f7f8c888,0f2785271a4f4a9ea0ebe2ca61f6fe7e,f915bbb69c3e4604b008554d6b4d243d,584a30d1ce2b4cdebb3492db2d09eced,C10002_OrangeMushRoom_Attack,C10002_OrangeMushRoom_Skill,TRUE,TRUE,0,0,0
C10003,1,1,0.6,변형된 달팽이,Tank,"Status_MagicalAttack,Status_HP",,be8403cdd1534522ac060ec8497371cd,1e24c789979b4ababce55b34861ace25,11eb051bbc134831851e8764befc155e,dd98cb24d257406fa8cb044870a9fab8,c5d61976c96c4130903ab227c7bf72ce,C10003_MutantSnail_Attack,C10003_MutantSnail_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10004,1,1,1,돌의 정령,LRD,Status_MagicalAttack,,644d1c15a5e342178c988e1bad77748c,2765a07dacdf4f88a5e8057a2d994649,125f3938575d41069cae32530a8c02d8,9cdcdce8d5484b92b9e20e051d73c667,b2713933f715443fa47dc4b1f4f9fd1b,Set_ArcaneRiver_Attack,C10004_StoneSpirit_Skill,TRUE,TRUE,-0.35,-0.35,-0.35
C10005,1,1,0.5,스톤골렘,Tank,"Status_MagicalAttack,Status_HP",,35b81333e60440c99196851e1de5d990,9477f9f02afc4b92b46499e88f6fc472,c07a84a241c0489a98f2171eb0ab8070,192cf926eeb84448aa62b52759d7c462,fde5d2f6f09e4f3a831b57c6104d3c06,C10005_StoneGolem_Attack,C10005_StoneGolem_Skill,TRUE,TRUE,-0.075,-0.075,-0.075
C10006,1,1,1,스톤볼,Tank,"Status_PhysicalAttack,Status_HP",,ea50dee6f5b34a6dab5a535cfb857718,ea50dee6f5b34a6dab5a535cfb857718,e9e70877c2f346b196d976dd2a57debb,2f2ff53fff674554aa267bbbf9469a65,e86f0ececc6b4287ac07ba06dc50f7a9,C10006_StoneBall_Attack,C10006_StoneBall_Skill,TRUE,TRUE,0.2,0.2,0.2
C10007,1,1,1,스타픽시,LRD,Status_MagicalAttack,,7d75b402fb764b30af19b85a50f3ded9,ed976c075cee4bdfae283f497279a24a,738194272e2648679eb67d5328fd93b7,738194272e2648679eb67d5328fd93b7,49478e4b7f704ef4ae5fd9bc77545484,C10007_StarPixie_Attack,C10007_StarPixie_Skill,TRUE,TRUE,0.1,0.1,0.1
C10008,1,1,0.5,추억의 사제,LRD,Status_MagicalAttack,,36ff7a667243465caef855b4fb7b9f84,fd234d210d06488cad1fc407a7cbf325,ec2e5084d4cc486d9e1ab710ae0beaac,7fd7a44ebd284cbd9754b7a35be7226d,c98a45db37bf458d8df01756d60f57e3,C10008_MemoryMonk_Attack,C10008_MemoryMonk_Skill,TRUE,TRUE,-0.05,-0.05,-0.1796
C10009,1,1,1,노블레스,SRD,Status_PhysicalAttack,,5b02b6c0f19b456cb8350e89bff8948b,13bb13073de040079154cee5eb0e132d,0797decc5c604e4b85bb9d22bb7fa399,6132acea07de48849b391a0eba86350d,8fd08b056f1c4e2da8e4a07ab7c6fb8c,C10009_Nobless_Attack,C10009_Nobless_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
C10010,1,1,1,초보자,LRD,Status_PhysicalAttack,,f7ff25cf7ca34fb3a061c1672b84aeca,1d7d437bf03d458fb963a03ba32f3ece,bfb2f88e9769418d8a5842f4c6badb10,981d8ddddee342ceb6269eeb31143331,f3f5eef1e2f84b309457375cbf02f637,C10010_Newbie_Attack,C10010_Newbie_Skill,TRUE,TRUE,-0.1,-0.1,-0.1
