SetID,CharID,Name,Level,MaxHP,MaxMP,MP,PhysicalAttack,MagicalAttack,Defence,MagicalResistance,AttackSpeed,AttackRange,SkillRange,CriticalPercent,CriticalDamagePercent,BloodAbsorptionPercent,MoveSpeed
C100011,C10001,슬라임,1,650,70,15,40,70,35,35,0.91,1,100,0,140,0,1
C100012,C10001,슬라임,2,1170,70,15,60,105,35,35,0.91,1,100,0,140,0,1
C100013,C10001,슬라임,3,2106,70,15,90,158,35,35,0.91,1,100,0,140,0,1
C100021,C10002,주황버섯,1,650,70,30,50,45,40,40,0.85,1,1,0,140,0,1
C100022,C10002,주황버섯,2,1170,70,30,75,68,40,40,0.85,1,1,0,140,0,1
C100023,C10002,주황버섯,3,2106,70,30,113,102,40,40,0.85,1,1,0,140,0,1
C100031,C10003,변형된 달팽이,1,600,80,25,50,0,40,40,0.72,2,100,0,140,0,1
C100032,C10003,변형된 달팽이,2,1080,80,25,75,0,40,40,0.72,2,100,0,140,0,1
C100033,C10003,변형된 달팽이,3,1944,80,25,113,0,40,40,0.72,2,100,0,140,0,1
C100041,C10004,돌의 정령,1,450,70,40,0,80,15,15,0.00,12,100,0,140,0,1
C100042,C10004,돌의 정령,2,810,70,40,0,120,15,15,0.00,12,100,0,140,0,1
C100043,C10004,돌의 정령,3,1458,70,40,0,180,15,15,0.00,12,100,0,140,0,1
C100051,C10005,스톤골렘,1,650,0,0,45,50,40,40,0.78,1,100,0,140,0,1
C100052,C10005,스톤골렘,2,1170,0,0,68,75,40,40,0.78,1,100,0,140,0,1
C100053,C10005,스톤골렘,3,2106,0,0,101,113,40,40,0.78,1,100,0,140,0,1
C100061,C10006,스톤볼,1,600,80,20,45,40,30,30,0.91,2,100,0,140,0,1
C100062,C10006,스톤볼,2,1080,80,20,68,60,30,30,0.91,2,100,0,140,0,1
C100063,C10006,스톤볼,3,1944,80,20,101,90,30,30,0.91,2,100,0,140,0,1
C100071,C10007,스타픽시,1,500,75,25,45,70,15,15,0.98,5,100,0,140,0,1
C100072,C10007,스타픽시,2,900,75,25,68,105,15,15,0.98,5,100,0,140,0,1
C100073,C10007,스타픽시,3,1620,75,25,101,158,15,15,0.98,5,100,0,140,0,1
C100081,C10008,추억의사제,1,500,55,25,40,70,15,15,0.91,5,100,0,140,0,1
C100082,C10008,추억의사제,2,900,55,25,60,105,15,15,0.91,5,100,0,140,0,1
C100083,C10008,추억의사제,3,1620,55,25,90,158,15,15,0.91,5,100,0,140,0,1
C100091,C10009,노블레스,1,600,80,20,60,40,35,35,0.85,1,0,0,140,0,1
C100092,C10009,노블레스,2,1080,80,20,90,60,35,35,0.85,1,0,0,140,0,1
C100093,C10009,노블레스,3,1944,80,20,135,90,35,35,0.85,1,0,0,140,0,1
C100101,C10010,초보자,1,500,75,25,60,40,15,15,0.85,5,100,0,140,0,1
C100102,C10010,초보자,2,900,75,25,90,60,15,15,0.85,5,100,0,140,0,1
C100103,C10010,초보자,3,1620,75,25,135,90,15,15,0.85,5,100,0,140,0,1
C100111,C10011,헥터,1,600,60,0,50,70,40,40,0.85,3,100,0,140,0,1
C100112,C10011,헥터,2,1080,60,0,75,105,40,40,0.85,3,100,0,140,0,1
C100113,C10011,헥터,3,1944,60,0,113,158,40,40,0.85,3,100,0,140,0,1
C100121,C10012,네펜데스,1,450,0,0,40,40,15,15,0.91,12,100,0,140,0,1
C100122,C10012,네펜데스,2,810,0,0,60,60,15,15,0.91,12,100,0,140,0,1
C100123,C10012,네펜데스,3,1458,0,0,90,90,15,15,0.91,12,100,0,140,0,1
C100131,C10013,루팡,1,500,70,15,50,45,15,15,0.91,5,100,0,140,0,1
C100132,C10013,루팡,2,900,70,15,75,68,15,15,0.91,5,100,0,140,0,1
C100133,C10013,루팡,3,1620,70,15,113,102,15,15,0.91,5,100,0,140,0,1
C100141,C10014,월묘,1,550,0,0,60,0,20,20,0.98,1,0,0,140,0,1
C100142,C10014,월묘,2,990,0,0,90,0,20,20,0.98,1,0,0,140,0,1
C100143,C10014,월묘,3,1782,0,0,135,0,20,20,0.98,1,0,0,140,0,1
C100151,C10015,호돌이,1,600,70,20,60,0,30,30,0.91,1,100,0,140,0,1
C100152,C10015,호돌이,2,1080,70,20,90,0,30,30,0.91,1,100,0,140,0,1
C100153,C10015,호돌이,3,1944,70,20,135,0,30,30,0.91,1,100,0,140,0,1
C100161,C10016,호문,1,650,100,40,40,55,35,35,0.85,1,100,0,140,0,1
C100162,C10016,호문,2,1170,100,40,60,83,35,35,0.85,1,100,0,140,0,1
C100163,C10016,호문,3,2176,100,40,90,124,35,35,0.85,1,100,0,140,0,1
C100171,C10017,마루,1,600,80,20,40,70,35,35,0.85,1,0,0,140,0,1
C100172,C10017,마루,2,1080,80,20,60,105,35,35,0.85,1,0,0,140,0,1
C100173,C10017,마루,3,1944,80,20,90,158,35,35,0.85,1,0,0,140,0,1
C100181,C10018,가루나비,1,600,80,20,40,70,30,30,0.91,1,1,0,140,0,1
C100182,C10018,가루나비,2,1080,80,20,60,105,30,30,0.91,1,1,0,140,0,1
C100183,C10018,가루나비,3,1944,80,20,90,158,30,30,0.91,1,1,0,140,0,1
C100191,C10019,구피,1,500,70,15,50,45,15,15,0.91,5,100,0,140,0,1
C100192,C10019,구피,2,900,70,15,75,68,15,15,0.91,5,100,0,140,0,1
C100193,C10019,구피,3,1620,70,15,113,102,15,15,0.91,5,100,0,140,0,1
C100201,C10020,스톰,1,600,90,20,60,40,30,30,0.91,1,100,0,140,0,1
C100202,C10020,스톰,2,1080,90,20,90,60,30,30,0.91,1,100,0,140,0,1
