ItemID,Type,Tags,Name,RUID,Guide,Guide(ko),SpecialAbility,StatusEffect_1,StatusEffect_2,PhysicalAttack,MagicalAttack,MaxHP,MaxMP,MP,Defence,MagicalResistance,AttackSpeed,AttackRange,CriticalPercent,CriticalDamagePercent,BloodAbsorptionPercent,MoveSpeed
IB00001,Box,,재료 아이템 상자,be88af6c794f4e129e1a88ea828cbc8d,ItemGuide_1,아이템 선택 획득,무작위로 3개의 기본 아이템 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00002,Box,Attacker,공격형 재료 아이템 상자,6041e5461e5b4ff8837f967f4a39af43,ItemGuide_1,아이템 선택 획득,무작위 공격 재료 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00003,Box,Defender,방어형 재료 아이템 상자,c48e70fab797421ead1087308e835206,ItemGuide_1,아이템 선택 획득,무작위 방어 재료 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00004,Box,,완성 아이템 상자,4402474191d34188b1fe0593f2993ee1,ItemGuide_1,아이템 선택 획득,무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00005,Box,MI10001,힘의 완성 아이템 상자,7317a8ae042745d584f1b6c1654c2c37,ItemGuide_1,아이템 선택 획득,카알 대검(공격력)을 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00006,Box,MI10002,민첩함의 완성 아이템 상자,5edb7df8c4f04443ab2bd31ac2a5c1e1,ItemGuide_1,아이템 선택 획득,워보우(공격속도)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00007,Box,MI10003,단단한 완성 아이템 상자,115a712d6f5b430195f4f055c390afb4,ItemGuide_1,아이템 선택 획득,나무 방패(물리 방어력)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00008,Box,MI10004,현명함의 완성 아이템 상자,dc5eb5e0047a47cf9ea7d9e2911dd8af,ItemGuide_1,아이템 선택 획득,낡은 고깔 모자(마법 방어력)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00009,Box,MI10005,지혜의 완성 아이템 상자,7e6fdf416e8b420781de320330fb36cb,ItemGuide_1,아이템 선택 획득,고목나무 스태프(마력)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00010,Box,MI10006,충만함의 완성 아이템 상자,bbf9bbf0c2c4443e807dbb0fa8a8085e,ItemGuide_1,아이템 선택 획득,허름한 망토(시작 MP)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00011,Box,MI10007,단단함의 완성 아이템 상자,2db8e4db477945b997bec0c2096525f0,ItemGuide_1,아이템 선택 획득,노가다 목장갑(HP Max)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00012,Box,MI10008,치명적인 완성 아이템 상자,9316ee76a41e4e8f8d3a2fbc946caf56,ItemGuide_1,아이템 선택 획득,추 귀고리(크리티컬 확률)를 재료로 하는 무작위 완성 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00013,Box,,소모 아이템 상자,1291577727404261901f2bfe4ab996f3,ItemGuide_1,아이템 선택 획득,무작위 소모 아이템 3종 중 1개를 선택해 획득합니다.,,,,,,,,,,,,,,,
IB00014,Box,,메달 상자,d89f782cdca5431bbfaef72648396255,ItemGuide_2,메달 선택 획득,무작위 메달 아이템 4개 중 1개를 선택해 획득합니다. <i>메달 아이템을 장착하면 해당 시너지를 획득합니다. </i>,,,,,,,,,,,,,,,
CI0001,Consumable,Normal,카르마의 가위,06a4091b1eb34d7a9cc98c2d9f955e15,ItemGuide_3,아이템 장착 해제,아이템을 장착한 캐릭터에게 사용하면 해당 유닛이 장착한 아이템들을 모두 인벤토리에 꺼냅니다.,,,,,,,,,,,,,,,
CI0002,Consumable,Special,황금 카르마의 가위,17f357b7b92e44efa4bc7b2f9cd190d7,ItemGuide_3,아이템 장착 해제,아이템을 장착한 캐릭터에게 사용하면 해당 유닛이 장착한 아이템들을 모두 인벤토리에 꺼냅니다. 무한정 사용할 수 있습니다.,,,,,,,,,,,,,,,
CI0003,Consumable,Rare,검은 보따리,b600a96f4b8a4fdb812721dc9b28d777,ItemGuide_4,캐릭터 복사,"1~2코스트 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",,,,,,,,,,,,,,,
CI0004,Consumable,Epic,푸른 보따리,15734459589041bbae287fe10fea5783,ItemGuide_4,캐릭터 복사,"1~4코스트 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",,,,,,,,,,,,,,,
CI0005,Consumable,Epic,황금 보따리,c9ffced7362d4e86815ce8defe209a54,ItemGuide_4,캐릭터 복사,"1~5코스트 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",,,,,,,,,,,,,,,
CI0006,Consumable,Normal,나무 변환망치,6a758973146c4d509e1c2e216437741d,ItemGuide_5,아이템 무작위 변경,"아이템을 장착한 캐릭터에게 사용하여, 장착한 아이템들을 무작위 아이템으로 변환할 수 있습니다. 변환된 아이템은 장착 해제되어, 인벤토리로 돌아갑니다.",,,,,,,,,,,,,,,
CI0007,Consumable,Rare,황금 변환망치,1cf72cc57d6e4daf9851fc4b89c839d3,ItemGuide_6,아이템 상자로 변경,"아이템을 장착한 캐릭터에게 사용하여, 장착한 아이템들을 아이템 상자로 변환할 수 있습니다. 변환된 아이템은 장착 해제되어, 인벤토리로 돌아갑니다.",,,,,,,,,,,,,,,
CI0008,Consumable,Rare,수상한 초대장,ca7658a7f9064e2a8e5d3018d5e365ce,ItemGuide_7,캐릭터 시너지 상점,상점을 새로고침하여 대상 유닛과 시너지를 공유하는 캐릭터들로만 채웁니다.,,,,,,,,,,,,,,,
CI0009,Consumable,Epic,거짓말 탐지기,9c41867bd2b44df194cba7a711b9b5f6,ItemGuide_8,상점에서 캐릭터 등장 안함,남은 게임동안 해당 캐릭터가 상점에서 등장하지 않습니다.,,,,,,,,,,,,,,,
CI0010,Consumable,Special,하트,3b62b4a06805422f8863068f22526d89,ItemGuide_9,팀 체력 회복,팀 체력을 1 회복합니다.,,,,,,,,,,,,,,,
MI10001,MaterialItem,Attacker,카알 대검,thumbnail://444f1da6365d4599a27bbfd207585856,ItemGuide_10,"재료 아이템, 공격력",,,,10,0,0,0,0,0,0,0,0,0,0,0,0
MI10002,MaterialItem,Attacker,워보우,thumbnail://3ffe515570ad435caa397ca0f2e2f83b,ItemGuide_11,"재료 아이템, 공격속도",,,,0,0,0,0,0,0,0,10,0,0,0,0,0
MI10003,MaterialItem,Defender,나무 방패,thumbnail://7d4cc6871503458bb8de7576c7047ef3,ItemGuide_12,"재료 아이템, 물리 방어",,,,0,0,0,0,0,20,0,0,0,0,0,0,0
MI10004,MaterialItem,Defender,낡은 고깔 모자,thumbnail://fa9ad14cb01e460b80e143dadfce3364,ItemGuide_13,"재료 아이템, 마법 방어",,,,0,0,0,0,0,0,20,0,0,0,0,0,0
MI10005,MaterialItem,Attacker,고목나무 스태프,thumbnail://2bb5fd1f15984d6b8ae81e9dd7a5cba9,ItemGuide_14,"재료 아이템, 주문력",,,,0,10,0,0,0,0,0,0,0,0,0,0,0
MI10006,MaterialItem,"Attacker,Defender",허름한 망토,thumbnail://c33def64db8b48f39b7b125fab1092e1,ItemGuide_15,"재료 아이템, 최대 마나",,,,0,0,0,0,15,0,0,0,0,0,0,0,0
MI10007,MaterialItem,Defender,노가다 목장갑,thumbnail://2e58683f2f094f099a0813c36e278dd5,ItemGuide_16,"재료 아이템, 최대 체력",,,,0,0,150,0,0,0,0,0,0,0,0,0,0
MI10008,MaterialItem,Attacker,추 귀고리,thumbnail://568d83943c74456680788e184819b1ab,ItemGuide_17,"재료 아이템, 크리티컬 확률",,,,0,0,0,0,0,0,0,0,0,20,0,0,0
NI10001,NormalItem,"MI10001,MI10001",화염의 카타나,thumbnail://b7884d08a2e546b9b6994248a7069b76,ItemGuide_18,공격력 증폭,전투 시작 후 5초마다 공격력 +15% (중첩 가능),,,30,0,0,0,0,0,0,0,0,0,0,0,0
NI10002,NormalItem,"MI10001,MI10007",스틸 미셀,thumbnail://22f978b94d72488692b7dd2889c7d2e0,ItemGuide_19,"상태이상 면역, 보호막","전투 시작 후 14초간 <B>저지 불가</b>. 전투 당 1번, 남은 체력이 30%가 되면 최대 체력의 20%만큼 보호막 획득.",SE0016,,15,0,300,0,0,0,0,0,0,0,0,0,0
NI10003,NormalItem,"MI10001,MI10004",용기의 날개,thumbnail://7228761e2bff44658ff49294345365da,ItemGuide_20,"흡혈, 치유","흡혈 +20%, 가해량의 20%만큼 가장 체력이 낮은 아군을 치유",,,15,0,0,0,0,0,25,0,0,0,0,0,0
NI10004,NormalItem,"MI10001,MI10003",도깨비 방망이,thumbnail://9f3a7c2e67c546e9b35816a10ca67823,ItemGuide_21,"흡혈, 생존","흡혈 +20%, 체력이 60%가 되면 2초간 <b>은신</b> 및 <b>무적</b>",SE0001,SE0002,15,0,0,0,0,25,0,0,0,0,0,0,0
NI10005,NormalItem,"MI10001,MI10005",드래곤 레이지,thumbnail://c7968102cc074308869642757340d928,ItemGuide_22,가해량 증폭,최종 가해량 +20%,,,15,15,0,0,0,0,0,0,0,0,0,0,0
NI10006,NormalItem,"MI10001,MI10008",소드 귀고리,thumbnail://33971a452aef4894a802e70110437c47,ItemGuide_36,"화상, 회복력 감소",기본 공격 및 스킬로 피해를 입힌 대상을 6초동안 화상 및 회복력 감소 상태로 만듭니다. 화상 상태인 적을 공격 시 8%의 추가 고정 피해를 입힙니다.,SE0010,SE0017,10,0,0,0,0,0,0,0,0,20,0,0,0
