RuneID,Name,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7
RC10001,로저,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10002,카이지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10003,카산드라,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10004,바이킨,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10005,조종사 어빈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10006,쿤,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10007,레아,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10008,피오,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10009,돈 지오바네,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10010,비셔스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10011,라케리스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10012,용잡이,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10013,마르셀,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10014,히나,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10015,레인,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10016,세라,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10017,리나,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10018,어린 륀느,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10019,키단,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10020,쿠디,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10021,선더,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10022,몽롱 할배,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10023,슈미,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10024,몽땅따,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10025,토미,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10026,압둘라 8세,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10027,소문난,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10028,떠돌이 연금술사,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10029,유타,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10030,왕연해,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10031,산신령,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10032,천지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10033,샨,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10034,세피,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10035,돼지와함께춤을,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10036,무라트,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10037,요원 M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10038,요원 W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10039,크리슈라마,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10040,사비트라마,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10041,노공,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10042,신전관리인,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10043,알케스터,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10044,클로이,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10045,카호,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10046,리옹,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10047,요정 크리엘,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10048,신수,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10049,리더 알,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10050,마티어스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10051,리본돼지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10052,메소다이저 X,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10053,슈멧,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10054,에뜨랑,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10055,펜릴,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10056,스카두르,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10057,벨,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10058,돼지와함께일어서,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10059,치노,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10060,총리대신,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC10061,설이,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
RC10062,휴머노이드 A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
RC10063,노야,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
RC10064,양철 나무꾼,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
RC10065,트리스탄의 영혼,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
RC10066,다로미,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
RC20001,골드 리치,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20002,정체불명의 그녀,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20003,루티,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20004,마스테마,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20005,로코,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20006,마에스터,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20007,파웬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20008,카르카사,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20009,토푸,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20010,아레다,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20011,만지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20012,변신술사 바로크,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20013,에이센,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20014,해나,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20015,길 잃은 병정,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20016,루스카,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20017,조교 챙,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20018,빅 헤드워드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20019,칸토어,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20020,골드리치 주니어,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20021,나무꾼,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20022,오코,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20023,헤라,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20024,트루,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20025,카슨,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20026,베딘,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20027,매드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20028,러셀론,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20029,아르웬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20030,마슈르,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20031,탕윤,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20032,프레드릭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20033,삐돌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20034,스크루지,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20035,기계장치,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20036,라나,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20037,위즈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20038,콜렉터,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20039,덴마,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20040,수아르,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20041,빅스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20042,바실리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20043,소공,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20044,패트릭 드 블랑,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20045,마법제련술사,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20046,비스트,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20047,알리샤,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RC20048,트리스탄,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
