Name(ko),Key,header_1,header_1_desc,coef_1,header_2,header_2_desc,coef_2,header_3,header_3_desc,coef_3,header_4,header_4_desc,coef_4,header_5,header_5_desc,coef_5,header_6,header_6_desc,coef_6,header_7,header_7_desc,coef_7,StatusEffect_1,StatusEffect_2,StatusEffect_3
슬라임,SkillDesc_Active_C10001,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.6/2.6/2.7,ap",SkillDescCoef_29,기절 지속시간,"int,1.2/1.2/1.2,int",,,,,,,,,,,,,,,,SE0004,,
주황버섯,SkillDesc_Active_C10002,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.2/2.2/2.2,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.5/0.5/0.5,ap",SkillDescCoef_119,회복력 감소 지속시간,"int,6/6/6,int",,,,,,,,,,SE0010,,
변형된달팽이,SkillDesc_Active_C10003,"SkillDescCoef_63,SkillDescCoef_10",보호막 획득량 (최대 체력 비례),"hp,0.25/0.25/0.25,emp","SkillDescCoef_19,SkillDescCoef_3",기본 공격 추가 피해량 (공격력 비례),"ad,1.2/1.2/1.5,ad",,,,,,,,,,,,,,,,,,
돌의정령,SkillDesc_Active_C10004,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,2.9/2.9/3.0,ap",,,,,,,,,,,,,,,,,,,SE0004,,
스톤볼,SkillDesc_Active_C10006,SkillDescCoef_90,체력 회복량,"sum,1+2,hp",SkillDescCoef_26,기본 회복량,"int,100/150/220,int","SkillDescCoef_118,SkillDescCoef_10",회복량 (최대 체력 비례),"hp,0.06/0.06/0.06,hp","SkillDescCoef_17,SkillDescCoef_5",공격력 증가량 (마력 비례),"ap,0.25/0.25/0.25,ap",,,,,,,,,,,,
스타픽시,SkillDesc_Active_C10007,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.45,ap",,,,,,,,,,,,,,,,,,,,,
추억의사제,SkillDesc_Active_C10008,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,1.8/1.8/1.9,ap",,,,,,,,,,,,,,,,,,,,,
노블레스,SkillDesc_Active_C10009,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.5/2.5/2.5,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.4,ap",,,,,,,,,,,,,,,
초보자,SkillDesc_Active_C10010,SkillDescCoef_30,껍질 피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.1/2.1/2.1,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.4,ap",SkillDescCoef_101,파편 피해량,"ad,0.7/0.7/0.7,ad",,,,,,,,,,,,
헥터,SkillDesc_Active_C10011,"SkillDescCoef_24,SkillDescCoef_5",기본 피해량 (마력 비례),"ap,3.0/3.0/3.2,ap","SkillDescCoef_77,SkillDescCoef_5",위협 대상 피해량 (마력 비례),"ap,4.2/4.2/4.5,ap",,,,,,,,,,,,,,,,,,
루팡,SkillDesc_Active_C10013,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.8/2.8/2.8,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.3/0.3/0.3,ap",,,,,,,,,,,,,,,
호돌이,SkillDesc_Active_C10015,SkillDescCoef_17,공격력 증가량,"int,20/25/30,ad",SkillDescCoef_32,낙인 지속시간,"int,5/5/5,int",SkillDescCoef_62,버프 지속시간,"int,5/5/5,int",,,,,,,,,,,,,SE0015,,
